sample_id,depth_score
GSM1300062,0.6993141896370927
GSM1300064,0.650656215683328
GSM1300066,0.5013225286366555
GSM1300068,0.7435666747456355
GSM1300070,0.6192309102924487
GSM1300072,0.7306029541108094
GSM1300074,0.7634434889855446
GSM1300076,0.7154432188051253
GSM1300078,0.6757484495000963
GSM1300080,0.730997754073242
GSM1300082,0.6854884706638695
GSM1300084,0.6520733641414873
GSM1300086,0.5572139965968846
GSM1300088,0.28701481747810653
GSM1300090,0.6705942963523327
GSM1300092,0.30505666773127493
GSM1300094,0.6436658319961011
GSM1300096,0.6725257128413064
GSM1300098,0.718140645079277
GSM1300100,0.8020778089059044
GSM1300102,0.6750026043737092
GSM1300104,0.7710657371705891
GSM1300106,0.7005284841173332
GSM1300108,0.6954290651248952
GSM1300110,0.7490311345034757
GSM1300112,0.6466985922600581
GSM1300114,0.7158591345796383
GSM1300116,0.6972216253245496
GSM1300118,0.6413414215197406
GSM1300120,0.8559007103718455
GSM1300122,0.7170015086946335
GSM1300124,0.7121822075823268
GSM1300126,0.7993168640914399
GSM1300128,0.6981303763712441
GSM1300130,0.8034555557359848
GSM1300132,0.8240319958646742
GSM1300134,0.7459593742037669
GSM1300136,0.7143091882231883
GSM1300138,0.730215301529584
GSM1300141,0.8616490878888885
GSM1300143,0.7713256895021893
GSM1300145,0.7218812418618932
GSM1300147,0.764148521292717
GSM1300148,0.6343968673166427
GSM1300150,0.7901528783208771
GSM1300152,0.6890035994428367
GSM1300154,0.8186446664786955
GSM1300156,0.6609855982345909
GSM1300158,0.7229273173289538
GSM1300160,0.7202860009357228
GSM1300162,0.7043835224151465
GSM1300164,0.7362634652649697
GSM1300166,0.8450604192182312
GSM1300168,0.6513650014571666
GSM1300170,0.7696841622943617
GSM1300172,0.9146534446126249
GSM1300174,0.8773843193719872
GSM1300176,0.772179893565456
GSM1300178,0.7396437898933851
GSM1300180,0.8335120801278062
GSM1300182,0.8180141381170103
GSM1300184,0.7289540155622134
GSM1300186,0.724432947040186
GSM1300188,0.6194898695075965
GSM1300191,0.5740220379284318
GSM1300193,0.9113760394458161
GSM1300195,0.8429350132302297
GSM1300197,0.7534262833609108
GSM1300199,0.5810026369961181
GSM1300201,0.6818521449871233
GSM1300203,0.9220082811594564
GSM1300205,0.0
