white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,10,0,7,6,1,2,2,0,2,2,0,2,2,0,1,1,0,1,75,1,1,7,4,0,4,7,3,3,38,38,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,4,0,0,1,r1bqk2r/pp3ppp/1bn1pn2/3P4/8/1NN1P3/PP1BBPPP/R2QK2R b KQkq - 0 10,exd5
1,11,0,6,6,0,2,2,0,2,2,0,2,2,0,1,1,0,0,74,1,1,7,4,0,4,7,3,3,36,39,0,0,0,0,1,0,0,2,4,0,0,0,0,1,1,3,4,0,0,1,r1bqk2r/pp3ppp/1bn2n2/3p4/8/1NN1P3/PP1BBPPP/R2QK2R w KQkq - 0 11,Nb5
0,11,1,6,6,0,2,2,0,2,2,0,2,2,0,1,1,0,0,74,1,1,7,4,0,4,7,3,3,39,38,0,0,0,0,1,0,0,2,4,0,0,0,0,1,1,1,4,0,0,1,r1bqk2r/pp3ppp/1bn2n2/1N1p4/8/1N2P3/PP1BBPPP/R2QK2R b KQkq - 1 11,O-O
1,12,2,6,6,0,2,2,0,2,2,0,2,2,0,1,1,0,0,74,1,1,7,4,0,6,7,3,5,38,36,0,0,0,0,1,0,0,2,4,0,0,0,0,1,3,1,4,0,0,1,r1bq1rk1/pp3ppp/1bn2n2/1N1p4/8/1N2P3/PP1BBPPP/R2QK2R w KQ - 2 12,O-O
0,12,3,6,6,0,2,2,0,2,2,0,2,2,0,1,1,0,0,74,1,1,7,6,0,6,7,5,5,36,37,0,0,0,0,1,0,0,2,4,0,0,0,0,3,3,1,4,0,0,1,r1bq1rk1/pp3ppp/1bn2n2/1N1p4/8/1N2P3/PP1BBPPP/R2Q1RK1 b - - 3 12,Ne4
1,13,4,6,6,0,2,2,0,2,2,0,2,2,0,1,1,0,0,74,1,1,7,6,0,6,7,5,5,36,44,0,0,0,0,1,0,0,2,4,0,0,0,0,3,3,1,4,0,0,1,r1bq1rk1/pp3ppp/1bn5/1N1p4/4n3/1N2P3/PP1BBPPP/R2Q1RK1 w - - 4 13,Rc1
0,8,2,8,7,1,2,2,0,2,2,0,2,2,0,1,1,0,1,77,1,1,7,4,0,6,7,3,5,37,36,0,0,0,0,0,1,0,3,4,0,0,0,0,1,2,4,4,0,0,0,r1bq1rk1/pppp2pp/2n2n2/2b1p3/2P2P2/2NP2P1/PP2NPBP/R1BQK2R b KQ - 2 8,Qe8
1,9,3,8,7,1,2,2,0,2,2,0,2,2,0,1,1,0,1,77,1,1,7,4,0,6,7,3,5,36,40,0,0,0,0,0,1,0,3,4,0,0,0,0,1,2,4,4,0,0,1,r1b1qrk1/pppp2pp/2n2n2/2b1p3/2P2P2/2NP2P1/PP2NPBP/R1BQK2R w KQ - 3 9,O-O
0,9,4,8,7,1,2,2,0,2,2,0,2,2,0,1,1,0,1,77,1,1,7,6,0,6,7,5,5,40,32,0,0,0,0,0,1,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r1b1qrk1/pppp2pp/2n2n2/2b1p3/2P2P2/2NP2P1/PP2NPBP/R1BQ1RK1 b - - 4 9,d6
1,10,0,8,7,1,2,2,0,2,2,0,2,2,0,1,1,0,1,77,1,1,7,6,0,6,7,5,5,32,44,0,0,0,0,0,1,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r1b1qrk1/ppp3pp/2np1n2/2b1p3/2P2P2/2NP2P1/PP2NPBP/R1BQ1RK1 w - - 0 10,Na4
0,10,1,8,7,1,2,2,0,2,2,0,2,2,0,1,1,0,1,77,1,1,7,6,0,6,7,5,5,44,29,0,0,0,0,0,1,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r1b1qrk1/ppp3pp/2np1n2/2b1p3/N1P2P2/3P2P1/PP2NPBP/R1BQ1RK1 b - - 1 10,Bd4
1,11,2,8,7,1,2,2,0,2,2,0,2,2,0,1,1,0,1,77,1,1,7,6,0,6,7,5,5,29,43,0,0,0,0,0,1,0,3,4,0,0,0,0,2,2,4,4,0,0,0,r1b1qrk1/ppp3pp/2np1n2/4p3/N1Pb1P2/3P2P1/PP2NPBP/R1BQ1RK1 w - - 2 11,Nxd4
