subtype,n_valid,n_q1,n_q4,median_os_q1,median_os_q4,logrank_p,cox_hr,cox_p,direction,significant
LumA,382,96,96,2.0424366872005475,1.78507871321013,0.8516863272767778,0.4511271555776995,0.4805145229006582,CORRECT,False
LumB,169,44,43,1.5099247091033539,1.9794661190965093,0.9332777425224646,0.9721872951233302,0.9868764289681127,REVERSED,False
HER2,57,15,15,2.521560574948665,1.3333333333333333,0.05752173929128441,0.061801551372966945,0.33511405076979567,CORRECT,False
Basal,128,32,32,1.434633812457221,2.10403832991102,0.228323775771432,0.12938646022226147,0.4404074289788692,REVERSED,False
ILC,72,18,18,1.7796030116358659,1.3333333333333335,0.1324546460357706,37123049.5768536,0.07511215728576737,CORRECT,False
