stage,n,IRF8,IRF8_sem,IRF4,IRF4_sem,PRDM1,PRDM1_sem,XBP1,XBP1_sem,PAX5,PAX5_sem,CD19,CD19_sem,MS4A1,MS4A1_sem,BCL6,BCL6_sem,MYC,MYC_sem,MKI67,MKI67_sem,EZH2,EZH2_sem,HSPA5,HSPA5_sem,DDIT3,DDIT3_sem,ATF4,ATF4_sem
HD,12014,0.5682522929059096,0.008752989482482263,0.13126730422239785,0.0037251460320126893,0.10801862993603754,0.0033507353663603688,0.5090235400965422,0.006236946009519233,0.06736620175339168,0.002859852554165113,0.03314257700003269,0.0018348323776085302,0.21963983236985038,0.0062804389434698545,0.09054120518954699,0.0028310932889271936,0.20861880666852742,0.004473106073185209,0.25360431799448885,0.005806285818812165,0.15222955118501333,0.0034548463069011288,1.0146987689255325,0.008038568808155355,0.1209263133143369,0.003114521750724367,0.6706061429648218,0.006218719748840584
MGUS,13222,0.169262606851167,0.004203525769744334,0.08321098951285391,0.0027542910291550437,0.1374745291052311,0.003411213525569973,0.486830341273311,0.006223382401192331,0.08104901342693216,0.003158413723006784,0.03350516050162819,0.0018541516618640443,0.1882253777660318,0.005571600175344062,0.09083480063172422,0.002883566420862806,0.19348695026810395,0.003992038487724592,0.19912240349830515,0.00534121174451373,0.13088553463220617,0.003205062250093549,0.8354674321012832,0.0072981364503004464,0.08796449258402653,0.002633556528152102,0.5720248584557709,0.005820366431704541
SMM,10015,0.15419231157351074,0.00459581029067815,0.08535050784307958,0.0032108690342307713,0.1613543746142963,0.004055140996052174,0.48019177717227846,0.006695501971435469,0.10313214718776004,0.003827776678114664,0.046456617598613914,0.0023167378061836356,0.22333923741579903,0.0068156836054478346,0.049544858619934205,0.00229542038535886,0.14792123588274697,0.003964575614881332,0.2482101708543647,0.006448203776545098,0.13195073738898686,0.0034692268523686923,0.7994058984817308,0.007833548766471384,0.08963836591208597,0.002893948823834333,0.5044023214792329,0.005993096431489989
MM,12248,0.11679651703005459,0.003641159923884933,0.28091284692599067,0.0049691062465903385,0.32393177169780246,0.0049274660677288366,0.8423909273526026,0.008414052944439279,0.07657979772109501,0.0029802558982287403,0.04216590677257697,0.002031631695764089,0.17081390387840367,0.00534030306957115,0.07299832371667424,0.0026246695584230787,0.2386146848577618,0.00470291184546081,0.25816699829004286,0.006710237871852024,0.1364040584461768,0.003418304094899309,1.1560610817632913,0.008814935401983075,0.10030426619795509,0.002734479278242953,0.6868640944230907,0.006039714237001286
