gene,desc,Q1,Q2,Q3,Q4,ratio_Q4Q1
EPAS1,Wall1: Belzutifan target,13.737632835820895,13.927654135338344,14.110251127819549,13.882444029850745,1.0105412042788227
SLC2A1,Wall1: HIF glycolysis,11.452782089552239,12.13397218045113,12.55605939849624,13.459228358208955,1.1751929140856605
EZH2,Wall2: Tazemetostat,6.771443283582089,7.0668593984962405,7.057994736842105,7.15001343283582,1.0559068625992343
HDAC1,Wall2: Entinostat,10.720484328358207,10.869293233082706,10.961668421052634,11.022152985074628,1.0281394615650374
DNMT3A,Wall2: Decitabine,8.404297761194032,8.519551879699248,8.618967669172934,8.684424626865672,1.033331382779546
OGDHL,Wall2: aKG depletion,10.804364925373136,9.76615187969925,9.495887218045112,8.673089552238805,0.8027394124638264
NAP1L1,Wall2: Chromatin remdl,12.469183582089553,12.710275939849623,12.912875939849624,13.239723880597014,1.0617955693277503
LOXL2,Wall3: Simtuzumab,10.059813432835822,10.617052631578947,11.122171428571429,11.978425373134328,1.1907204296688092
LOX,Wall3: LOX crosslink,10.357029850746267,11.123742105263158,12.25842180451128,12.925275373134328,1.2479712388009587
RUNX1,Wall3: RUNX1 hub,9.406758208955223,9.902213533834587,10.38998796992481,11.031425373134327,1.1727127590706459
RUNX2,Wall3: Bone met,6.809053731343283,7.157179699248119,7.720631578947369,8.189393283582092,1.2027212013153694
CBFB,Wall3: RUNX complex,9.74516791044776,10.0176022556391,10.094065413533835,10.20069552238806,1.0467439469618507
TGFBI,Wall3: ECM anchor,11.871894029850745,12.53696842105263,14.00306992481203,15.446123880597016,1.3010665224739382
PLOD2,Wall3: Collagen OH,11.878041791044776,12.220006015037594,12.485651879699248,13.244568656716417,1.1150464773328133
FOXP3,Wall4: Treg marker,3.984355223880598,4.742532330827069,5.015945112781955,5.292246268656716,1.3282566365913244
CD276,Wall4: B7-H3,10.460540298507464,10.63499022556391,10.759663157894737,11.036641791044776,1.0550737797568173
CD274,Wall4: PDL1,5.462346268656717,5.4051947368421045,5.373490225563909,5.163628358208954,0.9453132599517127
IL2RA,Wall4: Treg activ,4.342182835820895,4.887201503759399,5.477605263157894,5.974829850746268,1.375996837686527
TGFB1,Wall4: TGF-b,10.816753731343285,11.15284812030075,11.50173157894737,11.934623134328357,1.1033461083380187
SLC13A2,Met: Dicarboxylate,4.934584328358208,2.401223308270677,1.1958345864661653,0.4352141791044777,0.08819672542697803
SUCLG1,Met: TCA,11.033731343283582,10.620027819548874,10.51871052631579,10.434488059701492,0.9456898790682573
GOT1,Met: Attractor gate,11.410996268656715,11.062443609022555,10.681715037593984,10.261866417910449,0.8992962732007325
ACAT1,Met: Hub,12.03355447761194,11.491296992481201,11.113457894736841,10.617403731343284,0.882316505160353
LDHD,Met: Reversibility,8.338720149253732,7.421693233082706,6.887881954887219,6.322618656716418,0.7582241091616748
CAV1,Novel: Membrane node,11.709897014925373,12.282064661654136,12.460123308270676,12.918303731343284,1.103195332536032
IFI16,Novel: Innate sensing,10.831605970149255,11.161770676691729,11.447954135338344,11.702055223880597,1.0803619755122378
BCL6,Novel: Diff repressor,10.153426119402985,10.364723308270678,10.468003759398497,10.784003731343285,1.0621049096654458
IL1RAP,Novel: IL-1 signal,7.7709261194029855,8.054293984962406,8.453261654135336,8.96722910447761,1.1539459990602166
AXL,Novel: AXL invasion,10.632357462686569,11.005032330827067,11.22021879699248,11.768290298507463,1.1068373443808075
