gene,role,diff_expr,block_expr,suppression_pct,elevation_pct,pval_supp,pval_elev,result
CDX2,CANDIDATE,2.464,0.5056,79.5,-79.5,3.887135101663691e-154,1.0,CONFIRMED
IRF8,CONTROL,0.3427,1.0677,-211.5,211.5,0.9999999999999963,3.618188833307779e-15,CONTROL UNEXPECTED
