pos,neg,rt,rg,rmin
CA9,FBP1+SLC22A6,0.8557665930450796,0.8513223464318694,0.8513223464318694
CA9,SLC22A6+UMOD,0.8507733273813745,0.8685972182464706,0.8507733273813745
CA9,FBP1+G6PC,0.8386886972587413,0.8258908957307718,0.8258908957307718
CA9,SLC22A6+PCK1,0.8460237336391264,0.8217739706104222,0.8217739706104222
EGLN3,SLC22A6+UMOD,0.8210261855930537,0.8419815747627879,0.8210261855930537
VIM,SLC22A6+UMOD,0.820614533259683,0.8433184261507616,0.820614533259683
CA9,SLC22A6+G6PC,0.8615487201048284,0.8197753262823398,0.8197753262823398
EGLN3,FBP1+PCK1,0.8167426306675938,0.8369780544195404,0.8167426306675938
VEGFA,SLC22A6+PCK1,0.8231159503269333,0.8123343292649092,0.8123343292649092
VEGFA,FBP1+PCK1,0.8097763322577374,0.8423877544451989,0.8097763322577374
EGLN3,SLC22A6+PCK1,0.8283096744597105,0.8092959949912779,0.8092959949912779
CA9,SLC22A6+SLC13A3,0.834738774134388,0.807858295408775,0.807858295408775
CA9,G6PC+UMOD,0.8073451307328668,0.8668802178687842,0.8073451307328668
CA9,SLC34A1+SLC22A6,0.8869107527361706,0.803944552244125,0.803944552244125
VIM+CA9,SLC22A6,0.8114339906560997,0.8038846313684208,0.8038846313684208
EGLN3,FBP1+SLC22A6,0.820492887786091,0.8029976133136636,0.8029976133136636
VIM,SLC22A6+SLC13A3,0.820669494611226,0.8029166339591643,0.8029166339591643
CA9,SLC22A6+AQP1,0.8325407357674055,0.8022910232022814,0.8022910232022814
CA9,FBP1+PCK1,0.8018789091227763,0.8354623673422441,0.8018789091227763
VIM+VEGFA,SLC22A6,0.8025229526191486,0.8017469108104793,0.8017469108104793
EGLN3,SLC34A1+PCK1,0.8328062748251392,0.8009467047015799,0.8009467047015799
EGLN3,G6PC+UMOD,0.8003673946240362,0.8286727293990273,0.8003673946240362
CA9+VEGFA,SLC22A6,0.8338870296807113,0.7991108711203788,0.7991108711203788
SLC2A1+CA9,FBP1,0.7986699616191862,0.7996251169525386,0.7986699616191862
VEGFA,SLC34A1+PCK1,0.8287509449177793,0.7949849356418752,0.7949849356418752
CA9,SLC34A1+PCK1,0.8296881512418934,0.791457601902673,0.791457601902673
CA9,G6PC+PCK1,0.7907754012460582,0.8109407449365145,0.7907754012460582
SLC2A1+VEGFA,FBP1,0.7901938776910575,0.8012537354582641,0.7901938776910575
CA9+EGLN3,SLC22A6,0.8063959799357271,0.7898951568500047,0.7898951568500047
VIM,G6PC+UMOD,0.7897398500820437,0.8301798844452923,0.7897398500820437
VEGFA,FBP1+SLC22A6,0.7893824900954567,0.8157136856522292,0.7893824900954567
VEGFA,SLC22A6+UMOD,0.7878021137708261,0.8156817418437555,0.7878021137708261
VIM+VEGFA,FBP1,0.7869147339375748,0.8737002982726136,0.7869147339375748
VIM+EGLN3,FBP1,0.7847447837250274,0.8684693214070827,0.7847447837250274
CA9,G6PC+AQP1,0.8050014588700769,0.7841220628831514,0.7841220628831514
VIM,FBP1+SLC34A1,0.8153709061324255,0.7829509639735838,0.7829509639735838
CA9,G6PC+SLC13A3,0.7946500957604731,0.782809174482731,0.782809174482731
EGLN3,G6PC+PCK1,0.7900760572086776,0.7825871323738358,0.7825871323738358
CA9,FBP1+AQP1,0.7968399051813081,0.7816896577396473,0.7816896577396473
VIM+CA9,FBP1,0.779596414423283,0.8879178578903033,0.779596414423283
VEGFA,G6PC+PCK1,0.7923790448987785,0.7789658608037008,0.7789658608037008
VIM+CA9,G6PC,0.7772697247256233,0.7923246101468873,0.7772697247256233
VIM,FBP1+SLC22A6,0.7923346599315557,0.7760495241171469,0.7760495241171469
CA9+EGLN3,FBP1,0.7755786014249121,0.8403943225655834,0.7755786014249121
CA9,SLC34A1+G6PC,0.8412236759837955,0.775227618575236,0.775227618575236
SLC2A1,SLC22A6+UMOD,0.8415579973862192,0.7744142342841288,0.7744142342841288
VIM,SLC34A1+PCK1,0.7881597480903059,0.7742792495178319,0.7742792495178319
CA9+VEGFA,G6PC,0.8089991299537829,0.7731276507355271,0.7731276507355271
CA9+VEGFA,FBP1,0.773023711160392,0.8472300903441325,0.773023711160392
SLC2A1+VIM,FBP1,0.805764331940841,0.772771989902494,0.772771989902494
VIM+VEGFA,G6PC,0.7878331884801132,0.7714785909582551,0.7714785909582551
VIM+EGLN3,SLC22A6,0.7710286041621299,0.7847897497084424,0.7710286041621299
CA9+EGLN3,G6PC,0.7863052561393292,0.7705632155389064,0.7705632155389064
VIM,SLC34A1+UMOD,0.7702442348254361,0.7878640230856079,0.7702442348254361
SLC2A1+VEGFA,PCK1,0.7926431210583007,0.7700908319080663,0.7700908319080663
SLC2A1,FBP1+UMOD,0.8111520848192393,0.7690027954400863,0.7690027954400863
EGLN3+VEGFA,SLC22A6,0.7871077560920903,0.7689736306365933,0.7689736306365933
SLC2A1,SLC34A1+UMOD,0.828944447199683,0.768505644457071,0.768505644457071
VEGFA,G6PC+UMOD,0.7681710811881239,0.796286159000748,0.7681710811881239
VIM,G6PC+SLC13A3,0.7884633503248336,0.7671613981176423,0.7671613981176423
EGLN3+VEGFA,PCK1,0.7670764160862116,0.8240021937805411,0.7670764160862116
SLC2A1,G6PC+UMOD,0.8446204235683328,0.7669323739887065,0.7669323739887065
CA9+VEGFA,PCK1,0.7667065337152118,0.818729013280972,0.7667065337152118
VIM+VEGFA,PCK1,0.7665799340693963,0.8479230203563864,0.7665799340693963
VEGFA,FBP1+G6PC,0.7990766567853372,0.7660783901935132,0.7660783901935132
VEGFA,SLC34A1+SLC22A6,0.8231779231636988,0.7659895932092413,0.7659895932092413
VEGFA,SLC22A6+G6PC,0.8074593089303939,0.7647344130563947,0.7647344130563947
EGLN3,SLC22A6+AQP1,0.7727473393019528,0.76442011046991,0.76442011046991
EGLN3,PCK1+UMOD,0.763982569130137,0.8699880462196086,0.763982569130137
VIM,SLC34A1+SLC22A6,0.8282320215960839,0.7629859064460238,0.7629859064460238
EGLN3,SLC34A1+SLC22A6,0.846036551579722,0.7628356934455734,0.7628356934455734
EGLN3,SLC22A6+G6PC,0.8264146943712858,0.762575475082677,0.762575475082677
EGLN3,FBP1+G6PC,0.8341198772910114,0.7621667233985022,0.7621667233985022
SLC2A1+VEGFA,SLC22A6,0.7842396045946225,0.7615199276995073,0.7615199276995073
EGLN3+VEGFA,FBP1,0.7612677825787035,0.8073090873703517,0.7612677825787035
CA9,PCK1+UMOD,0.7607693840865605,0.8618880274086593,0.7607693840865605
SLC2A1,PCK1+UMOD,0.8285383434343097,0.759412694076675,0.759412694076675
VIM+EGLN3,G6PC,0.7591213624974222,0.7614954975020518,0.7591213624974222
VIM,FBP1+UMOD,0.7582424857676826,0.8425387892728987,0.7582424857676826
EGLN3,PCK1+SLC13A3,0.7558948967189851,0.781659127165797,0.7558948967189851
CA9,PCK1+AQP1,0.7557798130970192,0.7563304020540511,0.7557798130970192
VEGFA,PCK1+UMOD,0.7555668349145563,0.8332862450559438,0.7555668349145563
CA9,FBP1+SLC34A1,0.8216938706933659,0.7551109706755479,0.7551109706755479
VEGFA,SLC22A6+AQP1,0.7542491530654747,0.8016475890411785,0.7542491530654747
SLC2A1+CA9,SLC22A6,0.8143148941189285,0.7541578659854349,0.7541578659854349
VEGFA,G6PC+AQP1,0.7542547047025633,0.7541266288812168,0.7541266288812168
VEGFA,PCK1+AQP1,0.7513090190533447,0.7882445933408175,0.7513090190533447
CA9,PCK1+SLC13A3,0.751040583277509,0.8098766504701983,0.751040583277509
CA9,SLC34A1+UMOD,0.7505709586158666,0.7545859722924126,0.7505709586158666
SLC2A1+EGLN3,FBP1,0.7917398490047803,0.7496860145787958,0.7496860145787958
VIM,FBP1+PCK1,0.7488358452379139,0.7887436467324218,0.7488358452379139
VIM,PCK1+UMOD,0.7483730988063405,0.8608264484022302,0.7483730988063405
EGLN3,SLC22A6+SLC13A3,0.8113755132856424,0.7470212265219243,0.7470212265219243
VIM,SLC34A1+SLC13A3,0.7655413211424176,0.7469120884059506,0.7469120884059506
VIM,PCK1+SLC13A3,0.7460567779306414,0.8344230531807673,0.7460567779306414
SLC2A1+CA9,G6PC,0.7976793971780779,0.7460303280787093,0.7460303280787093
VIM,SLC22A6+PCK1,0.7659615205201455,0.7448646601183069,0.7448646601183069
VIM,SLC34A1+AQP1,0.776508299104643,0.7431718950271542,0.7431718950271542
VIM,FBP1+SLC13A3,0.7428403798023728,0.8067602855999183,0.7428403798023728
CA9+COL1A1,FBP1,0.7664405961302657,0.7426563306062933,0.7426563306062933
SLC2A1,SLC22A6+SLC13A3,0.8473574866897788,0.7425655826977989,0.7425655826977989
EGLN3,PCK1+AQP1,0.7424716943060924,0.7545617175930864,0.7424716943060924
EGLN3,FBP1+AQP1,0.7618009885433203,0.7410920571902084,0.7410920571902084
SLC2A1,UMOD+SLC13A3,0.7406067539070409,0.7853129710784043,0.7406067539070409
SLC2A1+VEGFA,G6PC,0.7911380651820273,0.7404018153135858,0.7404018153135858
CA9+FAP,FBP1,0.7686655997793799,0.7381319228562387,0.7381319228562387
VIM,FBP1+G6PC,0.7804079796621024,0.737743423781698,0.737743423781698
SLC2A1+CA9,PCK1,0.758013737674827,0.7371973765676673,0.7371973765676673
SLC2A1,SLC34A1+SLC13A3,0.8339828354287109,0.7365138775773232,0.7365138775773232
SLC2A1,PCK1+SLC13A3,0.8327779977671871,0.7355307039957276,0.7355307039957276
CA9+EGLN3,PCK1,0.7354038289954643,0.812274462834785,0.7354038289954643
SLC2A1,FBP1+SLC13A3,0.8024046625690184,0.7352984181220887,0.7352984181220887
VEGFA,PCK1+SLC13A3,0.7346272616417331,0.7357660818631961,0.7346272616417331
VIM,SLC22A6+AQP1,0.7399065618103884,0.733840941253433,0.733840941253433
VIM,FBP1+AQP1,0.7319392274672754,0.7731569085708394,0.7319392274672754
CA9,FBP1+UMOD,0.7305196664836732,0.8203693561362808,0.7305196664836732
EGLN3+VEGFA,G6PC,0.787285636798916,0.7287233611083214,0.7287233611083214
