pos,neg,rt,rg,rmin
CA9,FBP1+SLC22A6+UMOD,0.8888411204553053,0.8936390892399089,0.8888411204553053
CA9,FBP1+SLC22A6+ALDOB,0.8840110605616762,0.8765579281348498,0.8765579281348498
CA9+VEGFA,FBP1+SLC22A6,0.8726240925134099,0.8720806680070107,0.8720806680070107
CA9,FBP1+SLC22A6+AGXT,0.8796109083386061,0.8635636807083409,0.8635636807083409
CA9+LDHA,FBP1+SLC22A6,0.8616092355480632,0.8922917921546322,0.8616092355480632
CA9+MYC,FBP1+SLC22A6,0.8598755349983506,0.8846949345960889,0.8598755349983506
CA9+EGLN3,FBP1+SLC22A6,0.8594476772024997,0.8653725695231306,0.8594476772024997
CA9+VIM,FBP1+SLC22A6,0.8574589072852167,0.8783358407170209,0.8574589072852167
CA9,FBP1+SLC22A6+PCK1,0.8677211218754497,0.854553146354698,0.854553146354698
CA9,FBP1+SLC22A6+SLC22A8,0.8708153561068486,0.8543149905535183,0.8543149905535183
CA9,FBP1+SLC22A6+G6PC,0.8801973714745011,0.8524702710207748,0.8524702710207748
CA9,FBP1+SLC22A6+SLC13A3,0.8686910624411528,0.8493298776548567,0.8493298776548567
CA9,FBP1+SLC22A6+CPT1A,0.8488711833295748,0.8616329112930181,0.8488711833295748
CA9,FBP1+SLC22A6+HNF1A,0.8603135593502627,0.848214291506215,0.848214291506215
CA9,FBP1+SLC22A6+SLC34A1,0.8969563654733551,0.8463050160542382,0.8463050160542382
CA9,FBP1+SLC22A6+AQP1,0.8603344279664114,0.8454686385497902,0.8454686385497902
CA9,FBP1+SLC22A6+PAX8,0.8402573474236141,0.8585271736857536,0.8402573474236141
CA9+EZH2,FBP1+SLC22A6,0.8498265344473572,0.838570163345876,0.838570163345876
CA9+SLC2A1,FBP1+SLC22A6,0.8608094602792918,0.8162953887795518,0.8162953887795518
CA9+PDK1,FBP1+SLC22A6,0.8694072621632393,0.8123442129156704,0.8123442129156704
CA9,FBP1+SLC22A6+GATM,0.8521772592774651,0.7686924820129816,0.7686924820129816
CA9+SCD,FBP1+SLC22A6,0.8605254636983382,0.7664788159820111,0.7664788159820111
CA9+COL1A1,FBP1+SLC22A6,0.806598458144026,0.744864999433663,0.744864999433663
CA9+FAP,FBP1+SLC22A6,0.8137442057109834,0.7432621930414334,0.7432621930414334
CA9+TGFB1,FBP1+SLC22A6,0.849446551516198,0.7132328668188244,0.7132328668188244
CA9+TOP2A,FBP1+SLC22A6,0.8319768243151504,0.6761923306195561,0.6761923306195561
CA9+FOXP3,FBP1+SLC22A6,0.8148051901893754,0.6436192727613914,0.6436192727613914
