tf,depth_r,r_SCD,r_ACLY,r_FASN,r_PLIN2
SREBF1,0.14178946737284445,0.17968500868113868,0.14154946736248125,-0.0024676901686994726,-0.08366771856489602
SREBF2,-0.3278584133103681,0.06854593738844778,-0.21977786072292924,0.16859571352109953,-0.24455466563721356
MYC,0.6225039261120191,0.10658428521187757,0.5307225158249352,-0.27807967662639094,0.6283060473878487
EPAS1,-0.05139098971617926,0.1154580608862047,0.1949753861619717,-0.11610700058221234,0.03015747502323706
HIF1A,-0.22170812249010052,0.18336378069693343,-0.6753178528581766,0.3296346024775954,-0.5527919592551106
MLXIPL,-0.187832303619497,0.10778987665677264,0.12560752322222302,0.06406209130381212,0.13692703690255498
PPARA,-0.31184545424448484,-0.06725024008814905,-0.3407313401908907,0.15042067181829394,-0.2709794746513741
PPARG,-0.18387472042923325,-0.09597303908170392,-0.06135095842550373,-0.08852464024298826,-0.005226474753545374
