sample_id,depth_a,depth_b,depth_full
GSM1300062,0.6726684271489969,0.28152810446388543,0.6993141896370927
GSM1300064,0.7244088040303676,0.5262290944632548,0.650656215683328
GSM1300066,0.7007327005884338,0.7639082332984314,0.5013225286366555
GSM1300068,0.6183738160276782,0.1783288027821901,0.7435666747456355
GSM1300070,0.9510149530341548,0.7245111233109105,0.6192309102924487
GSM1300072,0.6895470834172674,0.43157377958642806,0.7306029541108094
GSM1300074,0.8006738845085507,0.453722818028802,0.7634434889855446
GSM1300076,0.7307735207248182,0.256011100322713,0.7154432188051253
GSM1300078,0.5988707551525456,0.2041243995596811,0.6757484495000963
GSM1300080,0.5732571663378488,0.3209309816804753,0.730997754073242
GSM1300082,0.7678012022933765,0.2584772610132601,0.6854884706638695
GSM1300084,0.8349268134798614,0.5138800836479956,0.6520733641414873
GSM1300086,0.2876531292939537,0.20155529074128709,0.5572139965968846
GSM1300088,0.1023399226105236,0.197182640844349,0.2870148174781065
GSM1300090,0.9419142756062031,0.4202607505153999,0.6705942963523327
GSM1300092,0.44051237467439686,0.2406589015236682,0.3050566677312749
GSM1300094,0.5976386247155776,0.12602554886398742,0.6436658319961011
GSM1300096,0.6488480260336913,0.31947470542722456,0.6725257128413064
GSM1300098,0.8251625146560257,0.3146356703356329,0.718140645079277
GSM1300100,0.9059282914499058,0.5754380941912509,0.8020778089059044
GSM1300102,0.8095133089808841,0.24999982545300004,0.6750026043737092
GSM1300104,0.8613030867511573,0.4178833221437227,0.7710657371705891
GSM1300106,0.48129611020176943,0.2967333999381906,0.7005284841173332
GSM1300108,0.7848303521570306,0.3699031640644799,0.6954290651248952
GSM1300110,0.5860787326793391,0.5515854679777064,0.7490311345034757
GSM1300112,0.28890816126613905,0.16406140401893987,0.6466985922600581
GSM1300114,0.7305130529485051,0.5190464475388857,0.7158591345796383
GSM1300116,0.6565101664272492,0.25077199689415064,0.6972216253245496
GSM1300118,0.7323931249785975,0.3043889905418945,0.6413414215197406
GSM1300120,0.9581126700779785,0.7649107619950732,0.8559007103718455
GSM1300122,0.6469614246101684,0.2789121700960697,0.7170015086946335
GSM1300124,0.7738266323620284,0.2863125355162437,0.7121822075823268
GSM1300126,0.9622472935880931,0.779418388737606,0.7993168640914399
GSM1300128,0.6756637937666381,0.297089631987964,0.6981303763712441
GSM1300130,0.882481386673507,0.8457302634611427,0.8034555557359848
GSM1300132,0.7282023193732438,0.439245814229413,0.8240319958646742
GSM1300134,0.9203323767489799,0.42236882170624845,0.7459593742037669
GSM1300136,0.524221166063666,0.32026594346225246,0.7143091882231883
GSM1300138,0.7690883793497628,0.2985148805206861,0.730215301529584
GSM1300141,0.9209939774617519,0.6269080221863068,0.8616490878888885
GSM1300143,0.8451477788019112,0.6635199251517188,0.7713256895021893
GSM1300145,0.6570171953445246,0.3945054851204589,0.7218812418618932
GSM1300147,0.8203148275517136,0.680349282375101,0.764148521292717
GSM1300148,0.6238053075528562,0.4178261312312417,0.6343968673166427
GSM1300150,0.8099129214224989,0.58730931713823,0.7901528783208771
GSM1300152,0.5402795868796608,0.18523403306836594,0.6890035994428367
GSM1300154,0.7756756405001932,0.7047751968955766,0.8186446664786955
GSM1300156,0.7948184333252731,0.20531784374899043,0.6609855982345909
GSM1300158,0.9476548616305961,0.6549766648895814,0.7229273173289538
GSM1300160,0.6934259894051626,0.2642447609430326,0.7202860009357228
GSM1300162,0.6901552958422388,0.3695625015788332,0.7043835224151465
GSM1300164,0.8080016005158084,0.4120280605662303,0.7362634652649697
GSM1300166,0.8488655410455737,0.5175126210006751,0.8450604192182312
GSM1300168,0.7981139204291249,0.23641812267515494,0.6513650014571666
GSM1300170,0.8863829394137461,0.46193793027058616,0.7696841622943617
GSM1300172,1.0,1.0,0.9146534446126248
GSM1300174,0.9531396526279065,0.7182737602987428,0.8773843193719872
GSM1300176,0.8036129470948647,0.6459465484895051,0.772179893565456
GSM1300178,0.7693849797612906,0.24646805587780707,0.7396437898933851
GSM1300180,0.8152317840870209,0.7559636643739108,0.8335120801278062
GSM1300182,0.9037252441957141,0.599606957153612,0.8180141381170103
GSM1300184,0.7308569174259285,0.2432631577448583,0.7289540155622134
GSM1300186,0.8507397429902048,0.7058867712819394,0.724432947040186
GSM1300188,0.7771390434491476,0.23365336750499033,0.6194898695075965
GSM1300191,0.9983314221278169,0.9167873262710603,0.5740220379284318
GSM1300193,0.8666937440722466,0.7692583447582236,0.911376039445816
GSM1300195,0.7932017995182381,0.7318892319564101,0.8429350132302297
GSM1300197,0.6095424006907193,0.5010653430565852,0.7534262833609108
GSM1300199,0.25990354673723504,0.0,0.5810026369961181
GSM1300201,0.8203508688705189,0.586970811418362,0.6818521449871233
GSM1300203,0.9756910676339785,0.5518022235369224,0.9220082811594564
GSM1300205,0.0,0.08285535607620143,0.0
