ID,Comp,Dataset,n,Tech,Status
R1-LumA_vs_TNBC,A,GSE176078 scRNA per-patient,20,scRNA,CONFIRMED
R1-A(fix),A,GSE176078 scRNA per-patient,20,scRNA,CONFIRMED (LumA>HER2>TNBC; LumB n=2 untestable)
R1-B(fix),A,GSE176078 scRNA per-patient,20,scRNA,NOT CONFIRMED
R2-A(prot),B,CPTAC-BRCA proteomics,80,MS protein,CONFIRMED ★ PROTEIN ★
R2-E(prot),B,CPTAC-BRCA proteomics,80,MS protein,NOT CONFIRMED (MS dynamic range)
R3-A(fix),C,METABRIC mRNA,1980,microarray,NOT CONFIRMED
R3-B,C,METABRIC mRNA,1980,microarray,CONFIRMED
R3-C,C,METABRIC mRNA,1980,microarray,CONFIRMED
R3-D,D,GSE96058 SCAN-B,3273,RNA-seq,NOT TESTABLE
R3-F,D,GSE96058 SCAN-B,3273,RNA-seq,NOT TESTABLE
R3-E,D,GSE96058 SCAN-B,3273,RNA-seq,CONFIRMED
