gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,cum_shift
CAPZA1,0.016134480074318523,0.1649458217507233,0.8947406759906759,-0.7297948542399526,-0.011774860534074706,restore_normal,-0.6668477681563333
CDKN1A,0.01603066817624736,0.17860678996950433,0.9128438228438228,-0.7342370328743185,-0.011770310236720623,restore_normal,-0.6786180783930539
MTPN,-0.01648949220687506,0.9664997200906412,0.2551092657342656,0.7113904543563756,-0.011730467353154764,restore_normal,-0.6903485457462086
SLC16A11,0.016136055047070174,0.1332850226549964,0.8594318181818182,-0.7261467955268218,-0.011717144664874406,restore_normal,-0.702065690411083
UBE2NL,0.016058338405238484,0.17710287926647683,0.9054079254079254,-0.7283050461414485,-0.011695368893182208,restore_normal,-0.7137610593042653
APOL2,0.016342492617040676,0.12434451436529073,0.8397042540792541,-0.7153597397139634,-0.011690761264803586,restore_normal,-0.7254518205690689
THSD7A,0.015908107872017577,0.2254629743607309,0.9602214452214454,-0.7347584708607144,-0.011688617014330929,restore_normal,-0.7371404375833998
KIAA1456,0.016046581423591992,0.13676435485442032,0.8632459207459207,-0.7264815658915004,-0.011657545599816571,restore_normal,-0.7487979831832163
WHAMMP2,0.016295954542776037,0.17598056583436,0.8899344405594404,-0.7139538747250804,-0.011634559888158728,restore_normal,-0.7604325430713751
OCLN,0.016087165332314496,0.13603701868167506,0.8590326340326341,-0.722995615350959,-0.011630949998689334,restore_normal,-0.7720634930700644
IFNA1,0.016238421809088507,0.1422565725179318,0.8578001165501165,-0.7155435440321847,-0.011619297890764711,restore_normal,-0.783682790960829
FBXW12,0.01605837509621905,0.1714779321174313,0.893822843822844,-0.7223449117054128,-0.01159968554101075,restore_normal,-0.7952824765018398
CREB3L1,0.01613465530473094,0.15507781266089435,0.8737907925407925,-0.7187129798798981,-0.011596186193398179,restore_normal,-0.806878662695238
GALK1,-0.016472125510279198,0.9380238934481943,0.23537296037296038,0.7026509330752339,-0.01157415435953004,restore_normal,-0.818452817054768
DYNLRB2,-0.016460178826971802,0.7314229564208425,0.029189976689976645,0.7022329797308658,-0.011558880424567318,restore_normal,-0.8300116974793353
LOC729966,0.015823839077290906,0.24380640334135767,0.9714306526806527,-0.727624249339295,-0.011513809030279598,restore_normal,-0.841525506509615
LSM12,0.016469733228815033,0.09062105624840103,0.7889845571095572,-0.6983635008611562,-0.01150186055592458,restore_normal,-0.8530273670655396
PRB1,0.016089067377436202,0.20312749202285085,0.9159965034965034,-0.7128690114736526,-0.011469397556885938,restore_normal,-0.8644967646224255
KCMF1,0.016112546002087225,0.21134280493796498,0.9214248251748252,-0.7100820202368602,-0.01144122921632144,restore_normal,-0.8759379938387469
NCOA2,0.016084521735862296,0.16707591591373008,0.8783828671328672,-0.7113069512191371,-0.011441032117754152,restore_normal,-0.8873790259565011
SMOC1,0.016052243090346172,0.1725114024261665,0.8851529720279722,-0.7126415696018057,-0.011439495711534036,restore_normal,-0.8988185216680351
NLRP1,0.01633427476614068,0.10087869060221717,0.8010926573426573,-0.7002139667404401,-0.011437487327827641,restore_normal,-0.9102560089958628
CLEC2D,-0.016540938096088333,0.9938173749318958,0.30830856643356636,0.6855088084983294,-0.011338958765694138,restore_normal,-0.9215949677615569
PDZD11,0.01603282042716523,0.2262432952877821,0.9326631701631701,-0.706419874875388,-0.011325903000057628,restore_normal,-0.9329208707616146
TNNT3,0.016382865567396085,0.11000651873037819,0.799800407925408,-0.6897938891950298,-0.011300800555893484,restore_normal,-0.944221671317508
RGPD3,0.01593894242030542,0.19881967093791578,0.9078001165501167,-0.708980445612201,-0.01130039849973535,restore_normal,-0.9555220698172433
DNER,-0.016223570502892744,0.7350045117321089,0.03892773892773889,0.69607677280437,-0.01129285059901775,restore_normal,-0.966814920416261
ZBTB18,0.01598531781837172,0.13638329278304823,0.8415705128205129,-0.7051872200374647,-0.011272641833752903,restore_normal,-0.9780875622500139
PKMYT1,0.01609409928773531,0.18709398425014795,0.8851937645687648,-0.6980997803186169,-0.011235287177194027,restore_normal,-0.9893228494272079
ZNF169,0.016348165186722604,0.10555419377006321,0.7921357808857808,-0.6865815871157176,-0.011224349200329928,restore_normal,-1.0005471986275378
ADIG,0.01637080491012722,0.10866584388657619,0.7923149766899766,-0.6836491328034004,-0.011191886580102124,restore_normal,-1.01173908520764
PEAK1,0.016297485492508926,0.11424636947393091,0.8008449883449883,-0.6865986188710573,-0.011189831030227722,restore_normal,-1.0229289162378676
CACNG6,0.015940017904047164,0.2322262909280467,0.9335722610722611,-0.7013459701442144,-0.011179467321030106,restore_normal,-1.0341083835588978
GPSM1,0.015630765627676495,0.15650572502946272,0.8706701631701631,-0.7141644381407004,-0.011162936952198556,restore_normal,-1.0452713205110964
NNAT,0.01654821030837228,0.08467980617213508,0.7586844405594405,-0.6740046343873054,-0.011153570438658696,restore_normal,-1.0564248909497551
FBXL3,0.01627431942078041,0.1832009428075069,0.8684251165501167,-0.6852241737426098,-0.011151557078327564,restore_normal,-1.0675764480280827
PDXDC1,-0.016421990899920576,0.931060947453039,0.2524358974358974,0.6786250500171416,-0.011144374395839644,restore_normal,-1.0787208224239224
PLSCR4,-0.016377189212618905,0.7899620115367613,0.10988636363636359,0.6800756479003977,-0.011137727564559205,restore_normal,-1.0898585499884816
C19orf84,0.016145065740543894,0.21108002196458903,0.9008916083916083,-0.6898115864270193,-0.011137053411453103,restore_normal,-1.1009956033999349
SLCO4C1,-0.016337539674363973,0.7735998912474538,0.0927068764568764,0.6808930147905774,-0.011124116643138353,restore_normal,-1.1121197200430732
COL4A5,-0.016311440639259583,0.8127861310532406,0.13107663170163167,0.681709499351609,-0.011119664031893139,restore_normal,-1.1232393840749664
TMEM95,0.016070868404598,0.1644395229873553,0.8550116550116551,-0.6905721320242998,-0.011098093857645198,restore_normal,-1.1343374779326116
SUMO4,0.016022895487176076,0.19354367388793559,0.8860256410256412,-0.6924819671377056,-0.011095566186201555,restore_normal,-1.1454330441188132
IRGQ,0.01617531039162363,0.15332289337433672,0.8392409673659672,-0.6859180739916305,-0.011094937750039289,restore_normal,-1.1565279818688525
SCFD1,0.01626370476053821,0.16549119008039767,0.8476791958041958,-0.6821880057237981,-0.011094904316272202,restore_normal,-1.1676228861851248
KRT19,-0.016236024664796216,0.9102695157835696,0.23052738927738922,0.6797421265061804,-0.011036309931655374,restore_normal,-1.17865919611678
HS6ST2,-0.01563104659746757,0.7337639192019962,0.027919580419580373,0.7058443387824158,-0.011033085750066628,restore_normal,-1.1896922818668467
NOVA2,0.016437971123822764,0.10085086022621809,0.767333916083916,-0.666483055857698,-0.010955629226705992,restore_normal,-1.2006479110935526
ATP5J2,-0.01652859349648419,0.9684810287819607,0.3074752331002331,0.6610057956817277,-0.010925496095643363,restore_normal,-1.211573407189196
NUP50,0.01633697652205875,0.20714416455887244,0.8750699300699301,-0.6679257655110576,-0.010911887549632267,restore_normal,-1.2224852947388283
