gene,r_PC2,p_PC2
GSS,0.815027417913601,6.842198674705792e-21
SRSF7,-0.8134849973702719,9.27033555895157e-21
SLC2A4RG,0.8129239061961939,1.0346055784862264e-20
CYP3A7,0.8128683052716358,1.0459016643563159e-20
UBASH3B,-0.8127209154217663,1.0764275228886481e-20
NEK2,0.8126641696160108,1.0884089083009668e-20
SSBP4,-0.8116706720241847,1.320366293071173e-20
METTL7B,0.8086367666430325,2.365238629324001e-20
TPPP3,0.8083014051155174,2.5210668996806654e-20
KLK7,0.8068080998406763,3.3443521849106695e-20
SLC28A1,0.8063678465310264,3.633213937830573e-20
DECR2,0.8054410883737748,4.322440578209535e-20
RNF24,-0.8053051440172492,4.433644753912902e-20
TTC36,0.8038342480864387,5.828708219182025e-20
APOC3,0.8030000624105571,6.799993905472097e-20
FCN3,0.8025146215939133,7.435566911018535e-20
NPHS1,0.8021838049140233,7.901282806599402e-20
CADM4,0.801615555847873,8.768010111063816e-20
HOXB2,-0.8010932946028435,9.645340256706739e-20
EXOC3L4,0.7968326831067352,2.0781208130111257e-19
PPL,-0.7958030383919468,2.4948514575549577e-19
PRAP1,0.7941519386868456,3.3372082780253045e-19
SLC9A1,-0.793994727226731,3.4304636215770227e-19
NPR3,0.7917141267316277,5.1030713264377615e-19
AZGP1,0.7915744068107378,5.227916301422654e-19
OGG1,0.7914702712488566,5.322883984920847e-19
CASZ1,-0.7913577724183053,5.427355776527978e-19
PDK2,0.7909453701589098,5.82758293655026e-19
ASB15,0.7897451548143533,7.161831541745077e-19
CHAF1B,-0.7896500753227113,7.279341790612021e-19
NSG1,0.7895598417528322,7.392588316903503e-19
CYP27A1,0.7884870538836214,8.876776419650428e-19
EPHB1,-0.7865620450196222,1.229392299442687e-18
GJA3,0.7859462165617501,1.3634204775362345e-18
KRT7,-0.7832834535389829,2.124492744377415e-18
ANXA13,0.7830355915463681,2.2133384513292806e-18
CAPN12,0.7829124430366385,2.258807889546068e-18
FAM78A,0.782839681765198,2.286096713559338e-18
PRKCB,-0.7822661141393746,2.5126744327831886e-18
IFI27L2,-0.7819770653097091,2.63494891202036e-18
KCNK10,0.7819604053424223,2.642169310864456e-18
TSPAN18,0.7812732479141793,2.9572551102164972e-18
NTNG1,0.7811689054258977,3.008173978921779e-18
LURAP1,-0.7810372518169498,3.0736325491783664e-18
SLC2A1,-0.780649893085975,3.2743247657612693e-18
REEP1,0.7789421558145337,4.320827649800287e-18
MRO,0.7780919336160017,4.95603753812599e-18
PLG,0.7779875919959619,5.03995687211281e-18
ZBTB25,-0.7769757140900411,5.92845105422058e-18
OSBPL6,0.7769003099982371,6.000413251011048e-18
ALDH1L1,0.7768460379021288,6.0527304696071645e-18
MICU1,0.7765174999421085,6.378986819937209e-18
LAMA1,-0.776027201660561,6.897735078603415e-18
CYP3A5,0.7759181245515512,7.018573158129476e-18
DDO,0.7738380412329859,9.756084701230594e-18
CDHR5,0.7734191632341274,1.0420635449350315e-17
POLD3,0.773031866099392,1.1073907942989455e-17
MTHFR,0.7728536283479643,1.1387700927444277e-17
LAMA3,0.7723959425873547,1.2233390893376834e-17
CMBL,0.7714388072192995,1.4202814178121205e-17
EPS8L1,-0.771218974249994,1.4696691480852324e-17
GPX3,0.7693074333336094,1.975210279996178e-17
ADTRP,-0.7684173425127572,2.2645356719964744e-17
SEMA4A,-0.7682485636334537,2.3238403813488038e-17
AOX1,0.768015858812807,2.4080762354912224e-17
GLYCTK,0.7678001514236105,2.4887919370242594e-17
ABHD6,0.7673450055548402,2.667780033017359e-17
RHOBTB1,0.7663678593834654,3.095085270284141e-17
NEK6,0.7663281524888834,3.113779879467266e-17
CD24,-0.7653883852257939,3.589511848184099e-17
HYAL2,-0.7648252194449134,3.907515909370122e-17
HOXB7,-0.7634067039011556,4.833983898738096e-17
GLTPD2,0.7620683542642129,5.900631162281137e-17
SERPINF2,0.7616914937560657,6.239928543539863e-17
RELN,-0.7609638967514436,6.949161561173275e-17
UGT2B28,0.7601560496156718,7.827945764289236e-17
NTS,-0.7600889524325931,7.905584444816459e-17
HAO2,0.7599316630979599,8.090514842246679e-17
MPZL1,-0.7599207418944743,8.103509411910298e-17
LRRC28,0.7593792566590651,8.773723546810284e-17
ENPP7,0.7593180671638871,8.852747383144581e-17
APH1B,-0.7589672707536737,9.319242633856655e-17
FAAH,0.756347461052449,1.3637969628280194e-16
KRT75,0.7561837938376393,1.3964060589509703e-16
LPAR2,-0.7558055382731064,1.4746796589754647e-16
