,PC1,PC2,PC3,PC4,PC5
ZBTB18,0.01598531781837172,0.0008859514075892906,0.0023829120230815797,-0.0005000385225231086,-0.010204722685483551
C19orf84,0.016145065740543894,0.001332160873024846,0.001311317768579268,0.002149241562722892,0.005993088790815126
FAM150B,-0.015806997143451143,0.014451022831784656,0.0007631898551338903,-0.00015341379284697322,0.006831082365191283
DYNLRB2,-0.016460178826971802,0.0035229857315093554,-0.003876848430923142,-0.001108867280446127,0.0046588045867205965
SLC17A3,-0.01246094715353202,0.03488765371410865,0.0016760267454947267,-0.0027106925238389026,-0.00455602010508992
DNER,-0.016223570502892744,-0.0031848835658075943,-0.008698074778242554,-0.002976040107127114,-0.000250596224968863
ZNF169,0.016348165186722604,0.0011060346615313175,-0.003774197399294635,4.792883362049116e-05,0.007124973571236362
AMPD3,0.015971694406993562,-0.008024366371333838,-0.0033656228930363584,-0.0016198050472290902,-0.007772938258011853
CLEC2D,-0.016540938096088333,-0.0015955642735977574,0.0024901908602804708,-0.0026534201538894182,0.0029245494962315925
DDC,-0.014000561572162703,0.02591290888335087,-0.01583214975281681,-0.012960083897552174,0.004122579858788585
TMED8,0.015921723849324675,0.0026136989374159793,0.00051456513571234,5.303842396672778e-05,-0.00542101030118216
ABI2,0.015848258244943354,0.004750273524257454,-0.004866318657587293,0.00657337752361357,-0.010069295689548941
POM121L12,0.01598188477283225,0.002297782471095173,-0.006709772787289263,-0.003923116507332627,0.0034756711993094262
HOXB8,-0.01609683003536221,-0.007738677194796752,-0.0019168311745299859,0.0007149328602560301,-0.001877795643206432
MTPN,-0.01648949220687506,-0.0018769592922642806,-0.0014025798744517733,0.003229591282995128,0.007002917385445211
SLC27A2,-0.014467999824508483,0.018978090958131435,0.0033563237307886757,-0.016561994817730658,-0.01277295234086791
GALK1,-0.016472125510279198,0.0016228156435530831,-0.0021878958570409443,0.000803598576919788,0.006405011587258095
ZNF843,0.01607682307989523,0.002896959558717288,0.0012127751474770997,0.002147350395921903,0.008274231059663713
ARHGAP35,0.01567377311140832,-0.0006923863245590306,-0.0012999526461381708,-0.005006508860400562,-0.0022291753800891254
CCDC142,0.015905892443172715,0.000892932098998632,0.003032706396543421,0.010553534530188717,0.004758583996219592
TNNT3,0.016382865567396085,0.0011779643242594018,-0.00020809649441085458,-0.0011655944203595543,0.0024302654735118175
ADIG,0.01637080491012722,-0.0016843918288520616,-0.0009678120023035282,0.0004679085767769873,0.0037875277161516676
GGA1,0.01600537773699487,-0.00373305094065112,-0.002695661076623561,-0.0026451864387228466,0.0009245354779512242
MTIF2,0.016210191762610404,0.0018655988564320073,-0.005808454404323617,0.0108238415734937,-0.005769104734938412
PCDHGA1,0.01593818573284571,-7.818474361345718e-05,0.009725996890268547,0.0012034823009273215,0.005646771752366551
NAT8,-0.01231090032348842,0.03212631846969272,-0.021728974969573902,-0.013965676401551464,-0.0008334206887328205
KIAA1456,0.016046581423591992,9.314758416906484e-05,0.005908869946290291,-0.00891499197181477,-0.008637817144386018
IRGQ,0.01617531039162363,-0.002824498237540298,0.0020341429924961543,-0.0012182539081175164,-0.009990178660936615
SLITRK4,-0.01611822293701576,-0.005644852756748783,-0.01658872259919432,-0.006207931618354911,0.006819411634694398
FGFR2,0.01584204371844621,0.00033883696730377215,-0.004434807477310762,0.0004770376161880033,-0.001156122079963883
RUNDC3B,-0.01593429063322396,0.014432025913586326,-0.005496670522618617,-0.004343286160694719,-0.0012244923845363346
UTP20,0.015795407872332974,-9.083946429985808e-05,0.0016433790866602267,-0.000268458928354553,0.0029676606871713155
RALYL,-0.01474621168098258,0.0163785054095483,-0.02717666845921045,-0.013541730003397997,0.009918451023709175
SCFD1,0.01626370476053821,0.0034947576406853696,0.0003755664793528827,-0.0023253706328457734,-0.0102080865138656
KRT19,-0.016236024664796216,-0.009664864323002644,-0.0036491970972239852,-0.00018323408516829416,-0.0007940364108400609
FKBP9,0.016028454368839297,0.002117525074753716,-0.00872066720344421,-0.009017327202535317,-0.0013844608639316015
