gene,Q4_mean,Q1_mean,Q4_Q1,p
KRT19,14.158419178082191,8.366223287671232,1.692330816297448,4.079929524913479e-21
TWIST1,2.7195013698630137,1.739582191780822,1.5633063038963049,0.0009050837210476722
KRT7,13.182631506849315,8.702536986301368,1.514803098544361,2.746811694808465e-16
PROM1,11.244413698630137,8.567197260273973,1.3124960292760341,1.1016946587041933e-09
IL2RA,4.177198630136986,3.5002260273972605,1.1934079125270671,0.013974210688226432
CD44,11.982171232876711,10.191409589041095,1.1757127365431863,1.9657616244639487e-10
CA9,6.302186301369864,5.402221917808219,1.1665913082918054,0.06757598643362288
POSTN,8.068464383561645,7.071083561643836,1.141050472982315,0.011980432678082102
UMOD,2.2802958904109594,2.0024095890410956,1.138775385473234,0.1354590352953362
LOXL2,8.998105479452056,7.93742602739726,1.1336300098752026,0.00014446772783258967
AXL,10.721323287671233,9.593584931506848,1.1175511809886143,4.874514189540844e-10
ITGA3,14.679917808219182,13.222223287671234,1.1102457112232729,6.125839598912982e-13
EZH2,7.290082191780821,6.5761301369863014,1.108567034312778,3.8481309831861343e-07
MET,13.80014794520548,12.682494520547944,1.0881255919110506,2.0209580072727697e-11
SLC2A1,10.85684383561644,9.988493150684931,1.0869349945879445,0.02007980962783669
SOX4,11.953741095890411,11.000798630136988,1.0866247452724087,5.94882356445614e-10
TGFB1,10.522121917808219,9.799245205479451,1.0737685019001317,0.00013997118416828492
CAV1,9.751686301369865,9.082765753424658,1.0736471128351932,0.006004116957274882
ERBB2,12.983408219178083,12.11921095890411,1.0713079582405554,3.4400735551316146e-13
TET2,8.732031506849314,8.16122191780822,1.0699415510138266,1.367076018133789e-06
COL1A1,11.961116438356164,11.185802739726029,1.0693122029199063,0.018079194579560157
CDH1,11.079087671232875,10.394660273972603,1.0658440308174373,0.023683139911777232
TOP2A,8.285224657534249,7.871610958904109,1.0525448536830218,0.17567020719993454
MMP9,6.971127397260274,6.626952054794521,1.0519355335129086,0.3356388640126452
IFI16,10.370634246575344,9.884546575342466,1.049176420825314,0.015076825430941474
KDM1A,10.455568493150684,9.972116438356165,1.0484802809215825,2.890109443946352e-13
CDKN1A,12.749493150684929,12.194953424657534,1.0454728002022007,0.0017647888824526923
HDAC1,10.738305479452055,10.272964383561643,1.0452975434566372,1.7803466378592033e-08
MMP2,9.386375342465753,8.992175342465753,1.043837997052881,0.051281170524044906
PBRM1,9.355442465753425,8.971342465753425,1.0428139889489498,0.019056560248530984
SETD2,10.545849315068493,10.118679452054796,1.042215866489484,1.0062084950603634e-06
ASXL1,10.370434246575343,9.982106849315068,1.038902244207562,3.3876593585104876e-06
FGFR1,10.91751095890411,10.64961780821918,1.02515509292015,0.12210740356674349
MKI67,7.856013698630138,7.680105479452056,1.0229042682739773,0.615009335881873
CCND1,11.868287671232876,11.607427397260274,1.0224734769015826,0.08294348436489377
DNMT3A,8.566087671232877,8.396076712328766,1.0202487357465106,0.09275917883799421
VHL,8.931924657534246,8.777291780821917,1.017617263155468,0.08434188530470163
RCOR1,8.947420547945207,8.815176712328766,1.0150017208877693,0.13591026001640497
EGFR,9.431294520547944,9.313260273972602,1.0126736749998848,0.39353234496093725
BAP1,10.986776712328767,10.858560273972602,1.0118077740799318,0.8941361170278935
ACTA2,11.01761506849315,10.906994520547945,1.0101420732901931,0.6413920066979772
CDKN2A,6.063069863013698,6.004564383561644,1.0097433329000327,0.9360504246869471
VIM,15.227879452054797,15.103805479452054,1.0082146823565,0.13084879135758568
HIF1A,12.132279452054796,12.051008219178083,1.0067438528507122,0.9812646888188177
FOXP3,3.52368904109589,3.508964383561643,1.0041960110530648,0.754195917412767
RPTOR,10.32365616438356,10.282287671232876,1.004023179515123,0.5120953219626083
EPAS1,11.311793150684931,11.423034246575343,0.9902615991731478,0.08575930685961293
MTOR,10.210132876712327,10.322701369863012,0.9890949589441493,0.2075705457867124
CD8A,6.417905479452054,6.523868493150685,0.9837574902732372,0.9531843568016507
TIGIT,3.7294575342465754,3.7936506849315066,0.9830785332928924,0.9625397423538646
CDK4,10.838004109589042,11.132635616438355,0.9735343461750776,0.0004808674212063446
B2M,15.090380821917805,15.514601369863014,0.972656627747724,0.0005726876142104526
VEGFA,10.410509589041096,10.866334246575342,0.9580515742252749,0.023204021211576734
FGFR3,8.999816438356163,9.441046575342467,0.9532645997740036,0.03356620676033155
ATP5A1,13.326095890410958,14.003020547945205,0.951658600594414,3.992141595760133e-08
FN1,12.527428767123288,13.35339726027397,0.9381453711593459,0.009789699923834397
LDHB,13.815220547945206,14.763232876712328,0.9357855239113615,1.0841852389234303e-12
CPT1A,10.357683561643835,11.103105479452054,0.9328635711827375,2.804857303669178e-10
MYC,10.086157534246574,10.88536301369863,0.9265797194796336,2.4096471268835833e-05
FH,10.207580821917807,11.059139726027396,0.92299945129503,9.67665067467788e-13
SUCLG1,11.180060273972604,12.137593150684932,0.9211100762783131,1.9674989190965013e-11
GOT1,11.044760273972603,12.122369863013699,0.9111056243684996,1.34978291593778e-13
ACADM,9.984042465753426,11.009852054794521,0.9068279491165071,7.626185128105555e-12
ACAT1,11.080991780821918,12.323112328767124,0.8992039174836126,1.7916013945429658e-09
SLC2A9,8.481612328767122,9.486861643835615,0.8940376441813791,0.0013483767365120435
FBP1,8.917554794520548,9.9794698630137,0.8935899424859423,1.5681558583077009e-06
HMOX1,10.500854794520547,11.930969863013699,0.8801341412268011,1.8945907621140837e-07
LDHD,8.775542465753425,10.361753424657532,0.8469166616099828,1.7403747173650483e-08
GPX3,12.874769863013698,15.217061643835619,0.8460745785409003,1.758909037897478e-13
OGDHL,10.974194520547947,13.030664383561644,0.8421822061666965,1.075063271714306e-09
HAVCR2,8.858638356164384,10.520419178082191,0.8420422574585097,1.2644380407090568e-08
CD274,4.43332602739726,5.576310958904109,0.7950283377382142,0.0006335488713437565
SLC16A1,7.290269863013699,9.4313,0.7729866603784249,2.1945730815415157e-12
LRP2,9.823846575342467,13.531069863013698,0.7260213677688521,1.0574238751290052e-17
MIOX,7.477153424657535,11.095912328767124,0.6738655217567682,2.4687650522848824e-11
CUBN,7.534515068493151,11.786809589041095,0.6392327264084859,2.976947937485045e-18
SLC34A1,2.7414657534246576,6.649609589041097,0.41227463123069724,1.3404730845610711e-17
SLC13A2,2.5759657534246574,6.2896465753424655,0.4095564532937123,7.56267711290251e-13
SLC5A2,0.781631506849315,5.100046575342466,0.15325965009195602,4.0735379402911196e-15
SLC22A6,1.1181602739726026,10.023535616438357,0.11155346827773811,2.2813679996528594e-21
FABP1,0.41643972602739726,4.018149315068493,0.1036396583934911,1.8503977274159755e-18
