white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
1,12,3,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,4,0,6,7,3,5,44,34,0,0,0,1,0,0,0,3,5,0,0,0,0,1,2,3,4,0,0,1,r2qr1k1/pbpnppbp/1p4p1/8/3P4/BQP1PN2/P3BPPP/3RK2R w K - 3 12,O-O
0,12,4,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,6,0,6,7,5,5,34,41,0,0,0,1,0,0,0,3,5,0,0,0,0,3,2,3,4,0,0,1,r2qr1k1/pbpnppbp/1p4p1/8/3P4/BQP1PN2/P3BPPP/3R1RK1 b - - 4 12,e6
1,13,0,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,6,0,6,7,5,5,41,39,0,0,0,1,0,0,0,3,5,0,0,0,0,3,2,3,4,0,0,1,r2qr1k1/pbpn1pbp/1p2p1p1/8/3P4/BQP1PN2/P3BPPP/3R1RK1 w - - 0 13,c4
0,8,1,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,4,0,4,7,3,3,38,38,0,0,0,1,0,0,0,3,4,0,0,0,0,1,2,3,3,0,0,1,rnbqk2r/pp2ppbp/6p1/2p5/3PP3/2P1BN2/P4PPP/R2QKB1R b KQkq - 1 8,O-O
1,9,2,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,4,0,6,7,3,5,38,36,0,0,0,1,0,0,0,3,4,0,0,0,0,1,2,3,3,0,0,1,rnbq1rk1/pp2ppbp/6p1/2p5/3PP3/2P1BN2/P4PPP/R2QKB1R w KQ - 2 9,Rc1
0,9,3,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,4,0,6,7,3,5,36,36,0,0,0,1,0,0,0,3,4,0,0,0,0,1,2,3,3,0,0,1,rnbq1rk1/pp2ppbp/6p1/2p5/3PP3/2P1BN2/P4PPP/2RQKB1R b K - 3 9,cxd4
1,10,0,6,7,-1,1,1,0,2,2,0,2,2,0,1,1,0,-1,69,1,1,7,4,0,6,7,3,5,38,35,0,0,0,2,0,0,0,3,3,0,0,0,0,1,2,3,3,0,0,1,rnbq1rk1/pp2ppbp/6p1/8/3pP3/2P1BN2/P4PPP/2RQKB1R w K - 0 10,cxd4
0,10,0,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,4,0,6,7,3,5,34,40,0,0,0,1,0,0,0,3,5,1,0,0,0,1,2,3,3,0,0,0,rnbq1rk1/pp2ppbp/6p1/8/3PP3/4BN2/P4PPP/2RQKB1R b K - 0 10,Bg4
1,11,1,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,4,0,6,7,3,5,39,37,0,0,0,1,0,0,0,3,5,1,0,0,0,1,2,3,3,0,0,1,rn1q1rk1/pp2ppbp/6p1/8/3PP1b1/4BN2/P4PPP/2RQKB1R w K - 1 11,Be2
0,11,2,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,4,0,6,7,3,5,37,40,0,0,0,1,0,0,0,3,5,1,0,0,0,1,2,3,3,0,0,1,rn1q1rk1/pp2ppbp/6p1/8/3PP1b1/4BN2/P3BPPP/2RQK2R b K - 2 11,Qa5+
1,12,3,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,4,0,6,7,3,5,5,0,1,0,0,1,0,0,0,3,5,1,0,0,0,1,2,3,3,0,0,1,rn3rk1/pp2ppbp/6p1/q7/3PP1b1/4BN2/P3BPPP/2RQK2R w K - 3 12,Qd2
0,12,4,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,4,0,6,7,3,5,46,38,0,0,0,1,0,0,0,3,5,1,0,0,0,1,2,3,3,0,0,1,rn3rk1/pp2ppbp/6p1/q7/3PP1b1/4BN2/P2QBPPP/2R1K2R b K - 4 12,Qxd2+
1,13,0,6,6,0,1,1,0,2,2,0,2,2,0,0,1,-1,-9,59,1,1,7,4,0,6,7,3,5,4,0,1,0,0,1,0,0,0,3,5,1,0,0,0,1,2,3,2,0,1,1,rn3rk1/pp2ppbp/6p1/8/3PP1b1/4BN2/P2qBPPP/2R1K2R w K - 0 13,Nxd2
0,8,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,32,49,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,rnbqk2r/1p2bppp/p2p1n2/4p3/P3P3/1NN1B3/1PP2PPP/R2QKB1R b KQkq - 0 8,Be6
1,9,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,49,36,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,rn1qk2r/1p2bppp/p2pbn2/4p3/P3P3/1NN1B3/1PP2PPP/R2QKB1R w KQkq - 1 9,Be2
0,9,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,36,49,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,0,rn1qk2r/1p2bppp/p2pbn2/4p3/P3P3/1NN1B3/1PP1BPPP/R2QK2R b KQkq - 2 9,d5
1,10,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,49,38,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,3,0,0,1,rn1qk2r/1p2bppp/p3bn2/3pp3/P3P3/1NN1B3/1PP1BPPP/R2QK2R w KQkq - 0 10,exd5
