gene,ref_mean,cancer_mean,change_pct,abs_change,p_value,direction
TOP2A,0.006347892564638388,0.05279405612829683,731.6784758203337,731.6784758203337,3.8906810400108005e-16,UP
MKI67,0.0016438273056757595,0.009948524565970944,505.20497083975704,505.20497083975704,0.000995549140408877,UP
SPI1,0.00876707896360405,0.02188046878078944,149.57535881249345,149.57535881249345,0.0007904672486668344,UP
CCND1,0.8115420041909807,1.8367574234898316,126.32931062155922,126.32931062155922,8.230398591102424e-106,UP
PCNA,0.24858063385187498,0.49181838200095274,97.85064281959272,97.85064281959272,3.503956862648226e-36,UP
KRT5,0.07589498058873687,0.004170981576512149,-94.5042721611406,94.5042721611406,1.8124193891949826e-45,DOWN
SOX10,0.008219136528378797,0.0005319950918135555,-93.52736032578728,93.52736032578728,2.3234910838158744e-09,DOWN
KRT14,0.133901707520719,0.01341530068117427,-89.9812325551573,89.9812325551573,4.114361339627359e-67,DOWN
CDKN1A,1.4955901836581476,0.18161811866471148,-87.85642479810335,87.85642479810335,0.0,DOWN
CCNE1,0.012602676010180823,0.0020580379470307164,-83.66983372921615,83.66983372921615,1.2854377057337122e-07,DOWN
DNMT3A,0.06905145911773239,0.12527390561626622,81.42108395229542,81.42108395229542,3.494653581155431e-09,UP
GATA3,1.111531641464348,1.8800779445555098,69.14299822168516,69.14299822168516,7.965428644283076e-88,UP
TGFBR2,0.0420036122594571,0.013206414071108338,-68.55886110572568,68.55886110572568,3.352417382551378e-11,DOWN
CDK6,0.05215835274484548,0.017668178600319853,-66.1258884329588,66.1258884329588,3.0443806776626035e-12,DOWN
RB1,0.18537277169403285,0.07267226033419133,-60.79669108355321,60.79669108355321,1.0782789589428851e-35,DOWN
NCOA1,0.282158968880957,0.11681242922943325,-58.60049046368735,58.60049046368735,4.580660767289692e-41,DOWN
ESR1,0.7489481090219144,1.1343613038849718,51.460600570363425,51.460600570363425,1.7523015399808374e-43,UP
CDK2,0.12188224166285991,0.06471585476099505,-46.902966438698726,46.902966438698726,1.2748001997112486e-13,DOWN
KDM1A,0.1363256754962589,0.07476560456062709,-45.15662270627896,45.15662270627896,1.4129069679901067e-12,DOWN
PGR,0.35484700936532143,0.1996727996961502,-43.729890790601694,43.729890790601694,2.0263422642833648e-14,DOWN
CDKN2A,0.06921000104506574,0.0937645028728746,35.47825669272903,35.47825669272903,6.740747719952232e-05,UP
NKX3-1,0.08622478495334572,0.057128391431045915,-33.7448142527038,33.7448142527038,7.744246252738733e-05,DOWN
AR,0.9379002957753514,0.644802897718486,-31.250379105016187,31.250379105016187,1.1781097250795569e-28,DOWN
NCOA2,0.2024503592904162,0.14233645830787486,-29.693155988084758,29.693155988084758,8.648518379593721e-07,DOWN
SPDEF,1.194330941835302,0.8800393438676474,-26.315285567724615,26.315285567724615,2.1848276096225158e-26,DOWN
FOXA1,0.39338911723811826,0.4833755787931078,22.874669789230786,22.874669789230786,4.439314865199661e-07,UP
HDAC2,0.4505794254672482,0.5476181986592349,21.536441237048948,21.536441237048948,0.0001340656766585265,UP
TET2,0.06918576665670106,0.05612254046564994,-18.881378095975567,18.881378095975567,0.05456747528847475,DOWN
EZH2,0.04137500999918185,0.04864366143611586,17.567733366294632,17.567733366294632,0.20038497982230885,UP
CD274,0.010410906269279811,0.008593314295345104,-17.458537488691096,17.458537488691096,0.3973709818359411,DOWN
EED,0.07073648484328088,0.05919010004815642,-16.32309666038095,16.32309666038095,0.10941014963194533,DOWN
MYC,1.1009534823975384,1.2633417952422665,14.749788745941949,14.749788745941949,0.001267629776150839,UP
PARP1,0.6547441527817851,0.561397624571615,-14.256947208092269,14.256947208092269,8.534345901059684e-06,DOWN
DNMT3B,0.010504015388375766,0.011525012503372012,9.720064920374442,9.720064920374442,0.5662903189792887,UP
ERBB2,0.5292777441459522,0.4901357525122673,-7.395359443432629,7.395359443432629,0.03762619374315786,DOWN
HDAC1,0.3935733632407571,0.3771193757661529,-4.180665921880222,4.180665921880222,0.19614853054045278,DOWN
TP53,0.14580816689089487,0.1497372978384616,2.6947262498038307,2.6947262498038307,0.5056525343767744,UP
CDK4,0.46459555369274386,0.45676797963931587,-1.6848146718607393,1.6848146718607393,0.38645744413939753,DOWN
