dataset,subtype,n_valid,n_events,logrank_p,cox_hr,cox_p,direction
METABRIC,LumA,698,698,0.652923485140773,0.98310022974058,0.6582163325244046,OK
METABRIC,LumB,475,475,0.3239988542715971,1.0138241307141744,0.7641760201625942,OK
METABRIC,ILC,146,146,0.5630520302600023,1.2285896243010823,0.030486569870224238,OK
GSE25066,TNBC,507,110,9.259467963993068e-05,1.5090247847280627,5.836475670389466e-06,OK
GSE25066,AR,507,110,,1.0184695307339207,0.8471334512697011,REV
GSE25066,EZH2,507,110,,1.3629580396322571,0.0047294781195363865,OK
GSE25066,LAR,507,110,0.8428005980360981,,,OK
