panel,gene,n_mean,t_mean,T_less_N,r_depth,p_depth,sig
INTERCALATED,ATP6V1B1,0.9675765415619905,0.9698863636363637,False,0.5465732218330439,0.0350086527208516,★
INTERCALATED,ATP6V0A4,0.9380977509844994,0.9786363636363635,False,0.30429902997472186,0.2701509587135557,
INTERCALATED,ATP6V1C2,0.5890309784196843,0.8949155011655011,False,0.5215683403408745,0.046150396132844274,★
INTERCALATED,FOXI1,0.522630912483101,0.9845192307692309,False,0.3162797777632559,0.2507761054289557,
INTERCALATED,SLC26A4,0.36546796242042917,0.255719696969697,True,-0.0987255006240238,0.7263030340275279,
INTERCALATED,AQP6,0.6319138414375032,0.7543181818181818,False,0.4806482135759873,0.06973899439952465,~
INTERCALATED,CA2,0.9891258157778964,0.9864539627039627,True,-0.5231691994775904,0.04536734145880185,★
INTERCALATED,RHBG,0.5007883489201279,0.9569580419580419,False,0.25934232444419547,0.35061387710325387,
INTERCALATED,RHCG,0.7143281479634052,0.9766375291375291,False,0.14265357269799261,0.612035209977087,
INTERCALATED,KIT,0.7649387571168158,0.9834819347319347,False,-0.24685482100224224,0.3750987509626428,
INTERCALATED,SLC4A9,0.41032089493926027,0.7254079254079256,False,0.45330130771997573,0.0897008456534001,~
INTERCALATED,UMOD,0.9724265197793692,0.44573426573426567,True,0.2946345495321744,0.28641808432768556,
PROXIMAL,SLC22A6,0.713703570102041,0.31951486013986014,True,0.0004175301542215931,0.9988217001922701,
PROXIMAL,SLC34A1,0.7126031998510005,0.46833624708624705,True,0.6221676717642547,0.013260187542651479,★
PROXIMAL,SLC5A2,0.5206672653765503,0.5332051282051282,False,0.4105199238890027,0.12852730846264887,~
PROXIMAL,FABP1,0.20261905246132916,0.34143648018648015,False,0.3008169371227057,0.27594640183891017,
PROXIMAL,CUBN,0.8649113549004476,0.226685606060606,True,0.5363501406278541,0.03928848116458985,★
PROXIMAL,LRP2,0.7114755344234991,0.20650349650349648,True,0.6048539624282891,0.016902546901248417,★
PROXIMAL,MIOX,0.6041509005802633,0.3411742424242424,True,0.3590743070948255,0.18871246223069063,~
PROXIMAL,GPX3,0.9903032547624732,0.9925815850815851,False,-0.19957322671282196,0.47577661656747394,
PROXIMAL,ACADM,0.9799674812760442,0.85006993006993,True,0.17263430544111694,0.5383877362330678,
PROXIMAL,GOT1,0.973373822962415,0.977782634032634,False,0.6513483797388602,0.008527383449149427,★★
PROXIMAL,OGDHL,0.9170863523047297,0.9925844988344987,False,0.5335249484384615,0.04053710851069616,★
PROXIMAL,FH,0.959909272974243,0.9457284382284382,True,0.5411686817346675,0.0372252806197241,★
PROXIMAL,KHK,0.7408017931325337,0.4734382284382284,True,0.8356591905251458,0.00010466006647760149,★★★
PROXIMAL,SLC13A2,0.483590246951771,0.3155201048951049,True,0.6018729281964721,0.01760042978017342,★
BILIARY,KRT7,0.6952017220580348,0.7129166666666666,False,0.07817232789677042,0.7818433169955861,
BILIARY,KRT19,0.9102695157835696,0.23052738927738922,True,-0.025347674348943666,0.928551223745163,
BILIARY,KRT8,0.8473653732321023,0.9629516317016318,False,-0.6297741889130616,0.011867208608903876,★
BILIARY,KRT18,0.5716846261791784,0.9829516317016317,False,-0.501569986468577,0.05679352789783996,~
BILIARY,ERBB2,0.9569956466869542,0.9118822843822844,True,0.5673627660192181,0.027392699931508946,★
BILIARY,ERBB3,0.8533617488608278,0.8081789044289045,True,0.43989562154753337,0.10083221584568122,~
BILIARY,MUC1,0.9886291506062208,0.9518648018648018,True,0.18882909877292484,0.5003178569174455,
BILIARY,EPCAM,0.9831401441399398,0.9147144522144524,True,-0.00010298551823697405,0.9997093674515846,
BILIARY,SOX4,0.8741360541450671,0.8246940559440559,True,-0.2747565524286039,0.3216571493799442,
BILIARY,CLDN4,0.3929980914784459,0.7767846736596737,False,-0.3761640666980656,0.16700931863234503,~
BILIARY,TACSTD2,0.9883658324333061,0.6944201631701631,True,-0.0009713983244442059,0.9972586486674951,
BILIARY,TFF1,0.13512236267047437,0.4576981351981351,False,0.3915464248314737,0.14894275764709775,~
BILIARY,TFF3,0.7100545796489305,0.443713578088578,True,-0.7238726648881934,0.002280170418032309,★★
BILIARY,GPC1,0.511485917294545,0.7547333916083916,False,0.011349269897330802,0.9679791044894754,
BILIARY,HNF1B,0.8716934034516088,0.9161713286713286,False,0.8470221285646458,6.761890531438164e-05,★★★
