rcc_type,akg_deficit_score,n_contributing,low_power,r_OGDHL,r_SUCLG1,r_FH,r_SLC13A2
ccRCC,2.3242374386677174,4,False,-0.5843964480631861,-0.6143904834324944,-0.4840447728721306,-0.6414057342999061
PRCC,1.7742935671752296,4,False,-0.4018732728399566,-0.5192296127337435,-0.4512573581481378,-0.4019333234533918
cdRCC,1.3214285714285716,2,True,-1.0,0.1785714285714286,0.0714285714285714,-0.3214285714285715
chRCC,0.0,0,False,0.6698,0.7464,0.3806,0.8239
