rcc_type,phase2_tf,pred,r_MYC_depth,r_Phase2TF_depth,r_MKI67_depth,r_MYC_Phase2TF,method,n,low_power,approx,verdict
ccRCC,RUNX1,P2-2a,0.3484403948622884,0.6254768447856361,0.283618857860757,0.4668419419614366,approx_depth_corr,534,False,True,DENIED [APPROX]
ccRCC,BHLHE40,P2-2e,0.3484403948622884,0.1330859629971972,0.283618857860757,0.2153428092539226,approx_depth_corr,534,False,True,DENIED [APPROX]
PRCC,KDM1A,P2-2b,-0.2734857262357888,0.4426651442994188,-0.0241007099762082,-0.3479405099553612,approx_depth_corr,290,False,True,CONFIRMED [APPROX]
chRCC,BHLHE40,P2-2d,-0.3582,-0.4989,0.1288,0.4227363007833607,approx_depth_corr,150,False,True,DENIED [APPROX]
cdRCC,BHLHE40,P2-2c,-0.9642857142857144,0.9285714285714288,0.6071428571428572,0.18131868131868134,expr_direct,13,True,False,DENIED [LOW-POWER]
