rcc_type,pred,r_EZH2_depth,r_DNMT3A_depth,r_pair,method,n,low_power,approx,verdict
ccRCC,P2-1a,0.3041790058924125,0.2517271790793091,0.276713069963176,approx_depth_corr,534,False,True,DENIED [APPROX]
PRCC,P2-1b,0.3075475278401051,0.1234981911846733,0.19488859225611677,approx_depth_corr,290,False,True,DENIED [APPROX]
chRCC,P2-1d,-0.2115,-0.7141,0.38862855016069003,approx_depth_corr,150,False,True,DENIED [APPROX]
cdRCC,P2-1c,0.1428571428571428,0.1071428571428571,0.4230769230769231,expr_direct,13,True,False,CONFIRMED [LOW-POWER]
