sample,label,PC1,PC2,depth,mis50_score,gmm_cluster
TCGA-KI-0001-X01-01A-01-01,chRCC,79.57668188384852,-1.7447575178299768,0.9286969010403696,0.5224842872631692,2
TCGA-KI-0002-X02-01A-01-01,chRCC,78.22812375160639,-1.3580123641228368,0.9188852781965052,0.506759643171247,2
TCGA-KI-0003-X03-01A-01-01,chRCC,84.06136319831303,3.233368183719127,0.9613258256528324,0.5413080788381156,3
TCGA-KI-0004-X04-01A-01-01,chRCC,79.13456825049546,-2.026031630571758,0.9254802416165904,0.5120062349529353,2
TCGA-KI-0005-X05-01A-01-01,chRCC,85.66013378448248,2.0521286727137205,0.9729579041152404,0.5514595203773492,3
TCGA-KI-0006-X06-01A-01-01,chRCC,88.61224540492468,4.046475555324484,0.9944364040925536,0.5652067970475901,3
TCGA-KI-0007-X07-01A-01-01,chRCC,80.74513551727468,0.1517112424561001,0.9371981484746642,0.5354685356639128,2
TCGA-KI-0008-X08-01A-01-01,chRCC,85.97844777247245,1.5926788970543584,0.9752738419464788,0.547323061280368,3
TCGA-KI-0009-X09-01A-01-01,chRCC,77.26039403930513,-2.8486616930522177,0.91184442565564,0.4999423347986099,2
TCGA-KI-0010-X10-01A-01-01,chRCC,79.66921635993845,-2.0942184604556107,0.9293701485317026,0.5259078911886536,2
TCGA-KI-0011-X11-01A-01-01,chRCC,78.97786095115767,-1.2942622194809503,0.9243400957962344,0.5086078354698348,2
TCGA-KI-0012-X12-01A-01-01,chRCC,73.26424326007407,-2.051030836555035,0.8827698731127389,0.4336118167407527,2
TCGA-KI-0013-X13-01A-01-01,chRCC,71.65292961264183,-4.249281001547379,0.8710465358580879,0.43991242166441413,2
TCGA-KI-0014-X14-01A-01-01,chRCC,76.89533080233154,-1.1976106507822502,0.9091883571408996,0.5090409751413085,2
TCGA-KI-0015-X15-01A-01-01,chRCC,74.09561509214974,-3.2060510650992984,0.8888186348711787,0.49472607381241757,2
TCGA-KI-0001-X01-11G-01-01,normal,-45.35172982029293,23.001752014489117,0.0197628114982983,-0.281015227109881,0
TCGA-KI-0001-X01-11I-01-01,normal,-46.76885198490452,0.1515906968211335,0.0094523414707791,-0.3125214917919908,0
TCGA-KI-0001-X01-11H-01-01,normal,-42.50724270205264,-27.65747652359824,0.040458274393919,-0.26984873819951316,1
TCGA-KI-0002-X02-11H-01-01,normal,-41.28946587676346,-30.12188944066137,0.0493183795922545,-0.28534405813535946,1
TCGA-KI-0002-X02-11G-01-01,normal,-46.63268150703786,17.698771327682973,0.0104430687811956,-0.30246415425026607,0
TCGA-KI-0003-X03-11G-01-01,normal,-48.068028702354475,20.221034746098525,0.0,-0.2904848814110152,0
TCGA-KI-0004-X04-11G-01-01,normal,-47.09909122326388,24.24693700616654,0.0070496398166502,-0.29138478833788717,0
