gene,ilc_mean,norm_mean,pct_change,pval,abs_pct
INS,0.08569166666666665,0.003908695652173912,2092.334074898035,0.00615395495412943,2092.334074898035
KRTAP10-3,0.023301470588235295,0.0017193675889328062,1255.2349560513862,0.0035341644677720587,1255.2349560513862
APCS,0.06210637254901961,0.0045992094861660076,1250.3705959867618,0.006324632994420466,1250.3705959867618
C22orf42,0.024742156862745095,0.0019367588932806324,1177.503201280512,0.027887139130566882,1177.503201280512
CELA2A,0.06682745098039215,0.0055687747035573125,1100.0386896187958,0.006424040092233305,1100.0386896187958
REG1B,0.041411764705882356,0.003557707509881423,1064.0013854669744,0.08008834797212779,1064.0013854669744
SNORA51,0.017817156862745095,0.0015379446640316206,1058.5044169299688,0.013870794588749697,1058.5044169299688
OR4S2,0.016297549019607845,0.0014984189723320157,987.6496707889172,0.8786508372070361,987.6496707889172
LCE1D,0.02112892156862745,0.0020822134387351783,914.7337047955094,0.44028175084277943,914.7337047955094
OR5AR1,0.016233333333333332,0.0016743083003952568,869.5546112684923,0.21872593200762291,869.5546112684923
OR8K3,0.028952450980392157,0.003148221343873518,819.6447078517534,0.22205174058838695,819.6447078517534
C14orf177,0.024450980392156863,0.0028339920948616598,762.7751798069298,0.02234820241488957,762.7751798069298
C13orf28,0.025793627450980395,0.003037549407114624,749.15910801536,0.028126245279461778,749.15910801536
PRG3,0.012378431372549022,0.0015703557312252963,688.2565157953443,0.2203843363868141,688.2565157953443
MS4A5,0.01365,0.0017889328063241106,663.0247459125056,0.21872593200762291,663.0247459125056
OR6S1,0.035886764705882354,0.004886166007905138,634.4565176013781,0.0026364633247501117,634.4565176013781
KRTAP4-8,0.060172549019607835,0.00834505928853755,621.0559798210004,0.00040026905248531923,621.0559798210004
?|100130426,0.025690686274509805,0.0037197628458498027,590.6538760440952,0.043182084500989294,590.6538760440952
NOX3,0.04085539215686275,0.0059810276679841895,583.0831493316333,0.03203432023303805,583.0831493316333
REG3A,0.05706323529411765,0.008468774703557313,573.8074549338077,0.2984546289140809,573.8074549338077
KRT28,0.08314313725490197,0.012676284584980237,555.8951615319197,0.0714873681502215,555.8951615319197
OR2G6,0.020398529411764704,0.0031379446640316206,550.0602016849061,0.07954877598574778,550.0602016849061
GC,0.19368872549019608,0.029885375494071147,548.1053769213015,0.15716477940252685,548.1053769213015
KRTAP10-10,0.011252450980392157,0.0018644268774703557,503.5340466481272,0.11058308945545543,503.5340466481272
SNORA44,0.048706372549019605,0.0080901185770751,502.04769664363675,0.00021421364669746678,502.04769664363675
KRTAP9-2,0.01805392156862745,0.0030367588932806323,494.51284092968183,0.48151172655608176,494.51284092968183
PRODH2,0.0653372549019608,0.011995256916996046,444.6924176287098,0.0016204392423489632,444.6924176287098
OR8H1,0.02007450980392157,0.0037391304347826086,436.87642498860015,0.8786508372070361,436.87642498860015
SCARNA15,0.0360906862745098,0.006724901185770751,436.6723655490172,0.0008019805432540358,436.6723655490172
KRTAP10-1,0.027185294117647057,0.005732806324110672,374.2056957918302,0.057427068371736306,374.2056957918302
CCDC70,0.15288627450980394,0.03241699604743083,371.623818215941,4.084127906421209e-06,371.623818215941
LCE2B,0.06351274509803921,0.01427905138339921,344.79667025975533,0.4839779647575638,344.79667025975533
SNORA66,0.01003970588235294,0.0022940711462450594,337.6370758503263,0.056148781218022394,337.6370758503263
SNAR-B2,0.026617156862745097,0.006254150197628459,325.59190332266377,0.272737510678284,325.59190332266377
OR6X1,0.013764215686274511,0.0033466403162055337,311.28458351570225,0.14980092716469054,311.28458351570225
PRLH,0.2886710784313726,0.07127233201581028,305.02544292690874,2.0699584976558238e-08,305.02544292690874
SNORA45,0.10604509803921569,0.026527667984189724,299.75280941550426,1.5254506089624565e-05,299.75280941550426
NKX6-2,0.021208823529411766,0.005309881422924901,299.42179194143057,0.05620559395102283,299.42179194143057
GCG,0.05551176470588236,0.014026482213438734,295.7639831653349,0.30767352149905347,295.7639831653349
