,depth_s3_luminal
TCGA-DK-A6B2-01,0.4470400289600204
TCGA-DK-A3IL-01,0.40680971085499684
TCGA-FT-A61P-01,0.5370220528960736
TCGA-FD-A6TB-01,0.6462124488734007
TCGA-UY-A9PD-01,0.5543077627572786
TCGA-DK-AA6P-01,0.6772579645056264
TCGA-GV-A3QK-01,0.7267786219109775
TCGA-ZF-A9RF-01,0.46824845772771667
TCGA-E7-A519-01,0.715591739608969
TCGA-G2-A3VY-01,0.635331737243821
TCGA-FD-A43U-01,0.7334970074469047
TCGA-4Z-AA7S-01,0.5528095173220624
TCGA-XF-AAML-01,0.45111534185311297
TCGA-KQ-A41R-01,0.512297525343983
TCGA-4Z-AA87-01,0.4635087145644713
TCGA-FD-A6TE-01,0.503569366641597
TCGA-BT-A2LA-01,0.4456279096084759
TCGA-FD-A3NA-01,0.612845859631344
TCGA-ZF-AA5P-01,0.4399126235928533
TCGA-2F-A9KW-01,0.40588398936318826
TCGA-4Z-AA80-01,0.567170751889209
TCGA-XF-A8HD-01,0.3627313182832809
TCGA-SY-A9G0-01,0.5221849539891827
TCGA-K4-A83P-01,0.42247046118469245
TCGA-ZF-A9RL-01,0.7041257968822111
TCGA-GV-A3QH-01,0.6391845620135291
TCGA-4Z-AA84-01,0.35704778787449526
TCGA-S5-A6DX-01,0.49392268722429417
TCGA-G2-AA3B-01,0.4918273973718239
TCGA-DK-A2HX-01,0.29294332342744217
TCGA-GC-A3RB-01,0.6046668510644404
TCGA-FJ-A3ZF-01,0.4168886922921763
TCGA-XF-A9SU-01,0.5733834111912246
TCGA-ZF-A9R9-01,0.5087491916050089
TCGA-XF-A9SH-01,0.7189860289872203
TCGA-XF-A8HC-01,0.34113053527737003
TCGA-BT-A20W-01,0.506802791674968
TCGA-CU-A3YL-01,0.5690135523123421
TCGA-DK-A1AD-01,0.5566641935184925
TCGA-C4-A0F6-01,0.778570495006907
TCGA-DK-AA6U-01,0.5096948942554329
TCGA-CF-A9FM-01,0.6778992401043509
TCGA-E7-A7DU-01,0.73459937913835
TCGA-FD-A3SJ-01,0.4992036725643052
TCGA-CF-A47X-01,0.5539313323523424
TCGA-GV-A40G-01,0.4227157260525749
TCGA-2F-A9KO-01,0.6303013209718576
TCGA-UY-A9PH-01,0.6358549037571802
TCGA-XF-A8HF-01,0.7147114189806021
TCGA-XF-A9T3-01,0.5224600925345468
TCGA-CF-A47W-01,0.7767500103704524
TCGA-GC-A3RD-01,0.7040404393176825
TCGA-4Z-AA81-01,0.4056889799433237
TCGA-G2-A2EC-01,0.6385641389433345
TCGA-K4-A3WS-01,0.6065452571766868
TCGA-XF-A9SW-01,0.4588758212836509
TCGA-GV-A3QG-01,0.4509709442267616
TCGA-XF-A9T0-01,0.6861652069217632
TCGA-XF-AAMJ-01,0.5937048039578388
TCGA-XF-A9SZ-01,0.437105973829564
TCGA-CF-A9FL-01,0.6785022179411158
TCGA-K4-A54R-01,0.43528575898448724
TCGA-FT-A3EE-01,0.5155088584611076
TCGA-FD-A43P-01,0.46849302025840833
TCGA-XF-A9SJ-01,0.298412684082748
TCGA-K4-A5RH-01,0.3260115025068034
TCGA-R3-A69X-01,0.584655540168014
TCGA-UY-A78K-01,0.586877893191956
TCGA-CU-A3QU-01,0.4180572019703529
TCGA-DK-A3IV-01,0.4260540615568761
TCGA-XF-AAMX-01,0.5288950291929853
TCGA-GU-A42R-01,0.7482849622242043
TCGA-E7-A7PW-01,0.44841565110062576
TCGA-CF-A8HX-01,0.7090369022327185
TCGA-E5-A4U1-01,0.685348553985927
TCGA-GV-A3QF-01,0.6580116652517592
TCGA-XF-A9ST-01,0.5431063556806055
TCGA-GV-A6ZA-01,0.7496800517092201
TCGA-CF-A3MG-01,0.727475685654711
TCGA-GU-A767-01,0.5208008286986863
TCGA-H4-A2HO-01,0.4996207610171378
TCGA-XF-AAMZ-01,0.6434677003876257
TCGA-2F-A9KQ-01,0.5956685332776621
TCGA-4Z-AA7M-01,0.6381328752332236
TCGA-FD-A62O-01,0.582754403232
TCGA-ZF-A9RM-01,0.4946332238880499
TCGA-ZF-A9R7-01,0.6558800136351803
TCGA-GV-A3QI-01,0.4967832361554597
TCGA-XF-A8HH-01,0.523022618135068
TCGA-CU-A5W6-01,0.6243430979986935
TCGA-CF-A9FF-01,0.5739555346319173
TCGA-FD-A43N-01,0.5629838439855888
TCGA-E7-A4IJ-01,0.5316682407348994
TCGA-GV-A3JV-01,0.49744568142517087
TCGA-FD-A3SL-01,0.38193651714205584
TCGA-XF-AAMG-01,0.5376831177166368
TCGA-E7-A6ME-01,0.36863011236407717
TCGA-BT-A20R-01,0.341056126270746
TCGA-UY-A8OD-01,0.49446407475779985
TCGA-FD-A6TH-01,0.3105343548346705
TCGA-BT-A20O-01,0.4807703445357565
TCGA-LT-A5Z6-01,0.36933702645135263
TCGA-BT-A20N-01,0.6167816028344091
TCGA-CF-A9FH-01,0.7762851229989807
TCGA-GU-AATP-01,0.42793091543513373
TCGA-CF-A3MI-01,0.5428493378378056
TCGA-LT-A8JT-01,0.6545386301699055
TCGA-CF-A47T-01,0.6814500292714075
TCGA-FJ-A3Z9-01,0.5744800144216411
TCGA-DK-A6AW-01,0.5867921270867826
TCGA-S5-AA26-01,0.7483476064730398
TCGA-ZF-AA52-01,0.4509144926156581
TCGA-DK-AA76-01,0.6886183353879483
TCGA-DK-A6B1-01,0.3444257709605725
TCGA-ZF-AA5H-01,0.5194679192015367
TCGA-KQ-A41O-01,0.734455999559905
TCGA-MV-A51V-01,0.3720491242848957
TCGA-2F-A9KP-01,0.5848151473973214
TCGA-CF-A8HY-01,0.7161758881285938
TCGA-E7-A97Q-01,0.4734568400092793
TCGA-K4-AAQO-01,0.5092104231440172
TCGA-DK-A3X1-01,0.4703861494686152
TCGA-DK-A3IK-01,0.5259718425096565
TCGA-DK-A3IT-01,0.41292180034613607
TCGA-FD-A5BZ-01,0.6389815922187649
TCGA-YC-A89H-01,0.5182349903800322
TCGA-UY-A9PE-01,0.5137064804322355
TCGA-GU-A42P-01,0.37697678477958774
TCGA-KQ-A41Q-01,0.4887604062710067
TCGA-UY-A78O-01,0.5629835262929687
TCGA-G2-AA3D-01,0.6385022661863335
TCGA-KQ-A41P-01,0.524462809730738
TCGA-DK-A1AC-01,0.5106449058529514
TCGA-BT-A20P-01,0.8647457352669168
TCGA-XF-AAMY-01,0.4926904727426679
TCGA-BT-A3PH-01,0.5225889470090159
TCGA-FD-A43X-01,0.877575913964812
TCGA-4Z-AA83-01,0.7204979831061462
TCGA-DK-AA6T-01,0.4526941497310651
TCGA-E7-A8O8-01,0.5753013313270869
TCGA-E7-A7DV-01,0.42536356903979755
TCGA-GU-AATO-01,0.4737039097230711
TCGA-GD-A3OP-01,0.44848771821209454
TCGA-XF-A8HG-01,0.6236952948907022
TCGA-E7-A5KE-01,0.5418742275322196
TCGA-GV-A3JW-01,0.6719465893610526
TCGA-FD-A3SM-01,0.7025746241877806
TCGA-CF-A47S-01,0.6360093020388249
TCGA-XF-AAMQ-01,0.7106379494747923
TCGA-DK-A1A7-01,0.5446362905409415
TCGA-FD-A3SR-01,0.36812512546731807
TCGA-BL-A0C8-01,0.49980513120249104
TCGA-XF-A9SP-01,0.5413527391188502
TCGA-G2-AA3F-01,0.5841085275479094
TCGA-GV-A3JZ-01,0.5358557285242946
TCGA-E7-A541-01,0.6187345892981501
TCGA-E7-A5KF-01,0.8401402613987589
TCGA-GD-A2C5-01,0.5952737002664772
TCGA-YF-AA3L-01,0.4985613365218329
TCGA-GC-A6I3-01,0.7231221515513879
TCGA-XF-A9SV-01,0.616367276711624
TCGA-FD-A6TA-01,0.6042739933642285
TCGA-CF-A3MF-01,0.5908414969917495
TCGA-5N-A9KI-01,0.3137325016712301
TCGA-ZF-AA4X-01,0.40426553895247935
TCGA-ZF-A9R0-01,0.5711223763104472
TCGA-ZF-AA51-01,0.6247238365792915
TCGA-GC-A3OO-01,0.5228270210114562
TCGA-DK-A6B6-01,0.5684721687425429
TCGA-DK-A2I6-01,0.39898932935209075
TCGA-DK-A2I1-01,0.48872764186648954
TCGA-XF-A9SX-01,0.4601470517221485
TCGA-UY-A9PF-01,0.5136792747123662
TCGA-E7-A8O7-01,0.6874685344456122
TCGA-FJ-A3Z7-01,0.5971497869470955
TCGA-ZF-AA4T-01,0.4331835297783682
TCGA-FD-A6TC-01,0.3824756143156722
TCGA-UY-A78N-01,0.696676153525356
TCGA-4Z-AA7R-01,0.4659343168641094
TCGA-DK-A1A3-01,0.4622156102458238
TCGA-E7-A85H-01,0.49072235574128664
TCGA-CF-A27C-01,0.7226695235911554
TCGA-KQ-A41N-01,0.5191417161656173
TCGA-ZF-A9R4-01,0.5512092830871608
TCGA-FJ-A3ZE-01,0.7686335479376408
TCGA-GD-A76B-01,0.5712234914286785
TCGA-G2-A3IE-01,0.6502455296816663
TCGA-DK-A2I4-01,0.43395046827927125
TCGA-H4-A2HQ-01,0.7270883235413834
TCGA-4Z-AA7Y-01,0.7063706025706856
TCGA-FD-A5BV-01,0.5201148595297773
TCGA-ZF-A9R3-01,0.6151350573843939
TCGA-GD-A6C6-01,0.732985793994692
TCGA-XF-AAN1-01,0.7113445104110154
TCGA-BT-A42C-01,0.5578251421123304
TCGA-ZF-AA54-01,0.5753460343675146
TCGA-CF-A7I0-01,0.5637730703025994
TCGA-DK-A6B0-01,0.6677636119258601
TCGA-E7-A4XJ-01,0.5145940893816925
TCGA-HQ-A2OE-01,0.6707640263265544
TCGA-5N-A9KM-01,0.6772124925060029
TCGA-FD-A6TG-01,0.4657529019357186
TCGA-BL-A13I-01,0.4563412940227736
TCGA-BT-A2LD-01,0.3760470678488218
