gene,drug_target,Q1,Q2,Q3,Q4,Q4_Q1
EZH2,EZH2_inhibitor,6.5761301369863014,6.723497222222222,7.108068055555556,7.290082191780821,1.108567034312778
MET,MET_inhibitor,12.682494520547944,13.359843055555555,13.737469444444445,13.80014794520548,1.0881255919110506
ERBB2,ERBB2_targeted,12.11921095890411,12.57402777777778,12.93090138888889,12.983408219178083,1.0713079582405554
ERBB3,ERBB2_targeted,11.542575342465753,11.788366666666667,12.066715277777778,11.612631506849317,1.006069283174314
CDK4,CDK46_inhibitor,11.132635616438355,10.810991666666666,10.758011111111111,10.838004109589042,0.9735343461750776
CCND1,CDK46_inhibitor,11.607427397260274,10.904718055555556,10.914954166666668,11.868287671232876,1.0224734769015826
CDKN2A,CDK46_inhibitor,6.004564383561644,5.125895833333334,5.640918055555556,6.063069863013698,1.0097433329000327
KDM1A,KDM1A_inhibitor,9.972116438356165,10.107780555555555,10.23378611111111,10.455568493150684,1.0484802809215825
FH,aKG_combination,11.059139726027396,10.85717638888889,10.672436111111113,10.207580821917807,0.92299945129503
OGDHL,aKG_combination,13.030664383561644,13.048902777777778,12.648090277777776,10.974194520547947,0.8421822061666965
SUCLG1,aKG_combination,12.137593150684932,11.793558333333333,11.509573611111112,11.180060273972604,0.9211100762783131
TET2,aKG_combination,8.16122191780822,8.56718472222222,8.660320833333333,8.732031506849314,1.0699415510138266
EPAS1,NOT_belzutifan,11.423034246575343,11.126429166666668,10.798886111111111,11.311793150684931,0.9902615991731478
VHL,NOT_belzutifan,8.777291780821917,8.9579875,8.864781944444445,8.931924657534246,1.017617263155468
CA9,NOT_belzutifan,5.402221917808219,4.815102777777778,5.707104166666667,6.302186301369864,1.1665913082918054
