gene,spearman_r,p
CRTAP,-1.0,0.0
LAMTOR4,-1.0,0.0
OGDHL,-1.0,0.0
ZBED6CL,-1.0,0.0
TNXB,-1.0,0.0
ADPRM,-1.0,0.0
SCG2,-1.0,0.0
CAPNS1,0.9642857142857145,0.0004541491691941692
RCAN2,-0.9642857142857145,0.0004541491691941692
S100P,0.9642857142857145,0.0004541491691941692
RPL13AP20,-0.9642857142857145,0.0004541491691941692
HLA-DQB2,-0.9642857142857145,0.0004541491691941692
WSCD1,-0.9642857142857145,0.0004541491691941692
DDIT4,0.9642857142857145,0.0004541491691941692
GBP3,0.9642857142857145,0.0004541491691941692
TSPAN15,0.9642857142857145,0.0004541491691941692
GPC3,-0.9642857142857145,0.0004541491691941692
TRAPPC6A,-0.9642857142857145,0.0004541491691941692
LOC101927630,0.9642857142857145,0.0004541491691941692
TMEM9,-0.9642857142857145,0.0004541491691941692
PPL,0.9642857142857145,0.0004541491691941692
GPRC5A,0.9642857142857145,0.0004541491691941692
GOLM1,0.9642857142857145,0.0004541491691941692
IL1RAP,0.9642857142857145,0.0004541491691941692
AGR2,0.9642857142857145,0.0004541491691941692
PLAC9,-0.9642857142857145,0.0004541491691941692
IMMP2L,-0.9642857142857145,0.0004541491691941692
CREB5,-0.9642857142857145,0.0004541491691941692
KCNK1,0.9642857142857145,0.0004541491691941692
ADH1B,-0.9642857142857145,0.0004541491691941692
TSPAN33,-0.9642857142857145,0.0004541491691941692
MYC,-0.9642857142857145,0.0004541491691941692
RNF135,-0.9642857142857145,0.0004541491691941692
S100A1,-0.9642857142857145,0.0004541491691941692
KLRB1,-0.9642857142857145,0.0004541491691941692
GNAL,-0.9642857142857145,0.0004541491691941692
TDRP,-0.9642857142857145,0.0004541491691941692
KLF10,0.9642857142857145,0.0004541491691941692
GRB14,-0.9642857142857145,0.0004541491691941692
USP45,-0.9642857142857145,0.0004541491691941692
CST6,0.9642857142857145,0.0004541491691941692
FBP1,0.9285714285714288,0.002519472403794688
CRYAB,-0.9285714285714288,0.002519472403794688
GABPB1,0.9285714285714288,0.002519472403794688
GACAT2,-0.9285714285714288,0.002519472403794688
ACSL5,0.9285714285714288,0.002519472403794688
ANXA11,0.9285714285714288,0.002519472403794688
BHLHE40,0.9285714285714288,0.002519472403794688
ALPK2,-0.9285714285714288,0.002519472403794688
CCDC74A,-0.9285714285714288,0.002519472403794688
MUC16,0.9285714285714288,0.002519472403794688
EDNRB,-0.9285714285714288,0.002519472403794688
SNORD94,-0.9285714285714288,0.002519472403794688
ITGB6,0.9285714285714288,0.002519472403794688
UBAP1,0.9285714285714288,0.002519472403794688
LEFTY1,-0.9285714285714288,0.002519472403794688
PLA2G2D,-0.9285714285714288,0.002519472403794688
C15orf48,0.9285714285714288,0.002519472403794688
TMEM121,-0.9285714285714288,0.002519472403794688
GNB5,-0.9285714285714288,0.002519472403794688
ADAMTS1,-0.9285714285714288,0.002519472403794688
SDC4,0.9285714285714288,0.002519472403794688
HK1,0.9285714285714288,0.002519472403794688
TMEM119,-0.9285714285714288,0.002519472403794688
NUP50-AS1,0.9285714285714288,0.002519472403794688
NT5E,0.9285714285714288,0.002519472403794688
MIR31HG,0.9285714285714288,0.002519472403794688
RBP5,-0.9285714285714288,0.002519472403794688
TFG,0.9285714285714288,0.002519472403794688
ITGA2,0.9285714285714288,0.002519472403794688
PLA2G16,0.9285714285714288,0.002519472403794688
ZNF185,0.9285714285714288,0.002519472403794688
SMIM1,-0.9285714285714288,0.002519472403794688
HLA-DOA,-0.8928571428571429,0.006807187408935391
GAMT,-0.8928571428571429,0.006807187408935391
SNORD10,-0.8928571428571429,0.006807187408935391
ERRFI1,0.8928571428571429,0.006807187408935391
PRKCI,0.8928571428571429,0.006807187408935391
OR2A1-AS1,-0.8928571428571429,0.006807187408935391
CYSLTR1,-0.8928571428571429,0.006807187408935391
CD55,0.8928571428571429,0.006807187408935391
CD48,-0.8928571428571429,0.006807187408935391
S100A11,0.8928571428571429,0.006807187408935391
APBB2,0.8928571428571429,0.006807187408935391
LINC00673,0.8928571428571429,0.006807187408935391
ARSE,-0.8928571428571429,0.006807187408935391
ZDHHC5,0.8928571428571429,0.006807187408935391
PHLDA2,0.8928571428571429,0.006807187408935391
AP1S1,-0.8928571428571429,0.006807187408935391
CORO2A,0.8928571428571429,0.006807187408935391
CCNG2,0.8928571428571429,0.006807187408935391
FKBP11,-0.8928571428571429,0.006807187408935391
MLPH,0.8928571428571429,0.006807187408935391
BHMT,-0.8928571428571429,0.006807187408935391
SEMA4B,0.8928571428571429,0.006807187408935391
RBKS,-0.8928571428571429,0.006807187408935391
HOTAIRM1,0.8928571428571429,0.006807187408935391
PRELP,-0.8928571428571429,0.006807187408935391
NLK,-0.8928571428571429,0.006807187408935391
MAPK8IP1,-0.8928571428571429,0.006807187408935391
USP18,0.8928571428571429,0.006807187408935391
SHE,-0.8928571428571429,0.006807187408935391
VEGFA,0.8928571428571429,0.006807187408935391
NET1,0.8928571428571429,0.006807187408935391
INPP4B,0.8928571428571429,0.006807187408935391
GATC,-0.8928571428571429,0.006807187408935391
CCAR1,0.8928571428571429,0.006807187408935391
ENDOV,-0.8928571428571429,0.006807187408935391
NT5DC3,-0.8928571428571429,0.006807187408935391
SMAD1,0.8928571428571429,0.006807187408935391
SLC26A2,-0.8928571428571429,0.006807187408935391
MYH10,-0.8928571428571429,0.006807187408935391
ATP8B1,0.8928571428571429,0.006807187408935391
RASAL2,0.8928571428571429,0.006807187408935391
ALKBH7,-0.8928571428571429,0.006807187408935391
NT5M,-0.8928571428571429,0.006807187408935391
RARRES3,0.8928571428571429,0.006807187408935391
DLL3,-0.8928571428571429,0.006807187408935391
PPARG,0.8928571428571429,0.006807187408935391
EMC3,0.8928571428571429,0.006807187408935391
TRABD2B,-0.8928571428571429,0.006807187408935391
SETD8,0.8928571428571429,0.006807187408935391
SCARNA4,-0.8928571428571429,0.006807187408935391
SNORA47,-0.8928571428571429,0.006807187408935391
LGALS2,-0.8928571428571429,0.006807187408935391
STX10,-0.8928571428571429,0.006807187408935391
FAIM3,-0.8928571428571429,0.006807187408935391
F11R,0.8928571428571429,0.006807187408935391
CMPK2,0.8928571428571429,0.006807187408935391
LONRF1,-0.8571428571428573,0.013697326615325611
RCOR1,0.8571428571428573,0.013697326615325611
LOC101929147,-0.8571428571428573,0.013697326615325611
UBE3D,-0.8571428571428573,0.013697326615325611
TRIM4,-0.8571428571428573,0.013697326615325611
CLEC10A,-0.8571428571428573,0.013697326615325611
EHD3,-0.8571428571428573,0.013697326615325611
C10orf12,0.8571428571428573,0.013697326615325611
SNX1,-0.8571428571428573,0.013697326615325611
S100A16,0.8571428571428573,0.013697326615325611
UROD,-0.8571428571428573,0.013697326615325611
F8,-0.8571428571428573,0.013697326615325611
KIAA1468,0.8571428571428573,0.013697326615325611
GIMAP1,-0.8571428571428573,0.013697326615325611
NEIL2,-0.8571428571428573,0.013697326615325611
LOC100506985,-0.8571428571428573,0.013697326615325611
CDK5,-0.8571428571428573,0.013697326615325611
TPM4,0.8571428571428573,0.013697326615325611
MSRB1,0.8571428571428573,0.013697326615325611
AFAP1L2,0.8571428571428573,0.013697326615325611
PKP3,0.8571428571428573,0.013697326615325611
FKBP9,0.8571428571428573,0.013697326615325611
PNMAL1,-0.8571428571428573,0.013697326615325611
MT1A,-0.8571428571428573,0.013697326615325611
SHROOM3,0.8571428571428573,0.013697326615325611
TSPAN12,-0.8571428571428573,0.013697326615325611
SDHAF1,-0.8571428571428573,0.013697326615325611
FBXL15,-0.8571428571428573,0.013697326615325611
UBL7,-0.8571428571428573,0.013697326615325611
MMP12,0.8571428571428573,0.013697326615325611
NSMCE4A,-0.8571428571428573,0.013697326615325611
TAOK3,0.8571428571428573,0.013697326615325611
MRPL34,-0.8571428571428573,0.013697326615325611
AOAH,-0.8571428571428573,0.013697326615325611
CEACAM5,0.8571428571428573,0.013697326615325611
EEF2,-0.8571428571428573,0.013697326615325611
CEACAM21,-0.8571428571428573,0.013697326615325611
HPD,-0.8571428571428573,0.013697326615325611
BRE-AS1,-0.8571428571428573,0.013697326615325611
CDS2,-0.8571428571428573,0.013697326615325611
TOR1A,0.8571428571428573,0.013697326615325611
WDR44,0.8571428571428573,0.013697326615325611
ITGB4,0.8571428571428573,0.013697326615325611
THOC3,0.8571428571428573,0.013697326615325611
ANKRD36BP2,-0.8571428571428573,0.013697326615325611
SNORD22,-0.8571428571428573,0.013697326615325611
RYK,0.8571428571428573,0.013697326615325611
SFRP1,-0.8571428571428573,0.013697326615325611
C19orf38,-0.8571428571428573,0.013697326615325611
CD9,0.8571428571428573,0.013697326615325611
WARS2,-0.8571428571428573,0.013697326615325611
CMTM6,0.8571428571428573,0.013697326615325611
GLS2,-0.8571428571428573,0.013697326615325611
SIX4,0.8571428571428573,0.013697326615325611
H2AFY,0.8571428571428573,0.013697326615325611
CD79A,-0.8571428571428573,0.013697326615325611
DCBLD1,0.8571428571428573,0.013697326615325611
LINC01279,-0.8571428571428573,0.013697326615325611
PEX13,0.8571428571428573,0.013697326615325611
ERP44,0.8571428571428573,0.013697326615325611
IGFN1,-0.8571428571428573,0.013697326615325611
IKZF2,0.8571428571428573,0.013697326615325611
EZR,0.8571428571428573,0.013697326615325611
CD177,-0.8571428571428573,0.013697326615325611
IKZF1,-0.8571428571428573,0.013697326615325611
CD44,0.8571428571428573,0.013697326615325611
SPINT1,0.8571428571428573,0.013697326615325611
SCARNA2,-0.8571428571428573,0.013697326615325611
XPNPEP3,-0.8571428571428573,0.013697326615325611
CD99,0.8571428571428573,0.013697326615325611
GNAZ,-0.8571428571428573,0.013697326615325611
ADCK3,-0.8571428571428573,0.013697326615325611
CDA,0.8571428571428573,0.013697326615325611
CCP110,0.8571428571428573,0.013697326615325611
RALA,0.8571428571428573,0.013697326615325611
EEF1D,-0.8571428571428573,0.013697326615325611
CDH3,0.8571428571428573,0.013697326615325611
SNX12,0.8571428571428573,0.013697326615325611
C12orf10,-0.8571428571428573,0.013697326615325611
C19orf53,-0.8571428571428573,0.013697326615325611
ST7L,-0.8571428571428573,0.013697326615325611
HMG20A,-0.8571428571428573,0.013697326615325611
TMTC1,-0.8571428571428573,0.013697326615325611
SP110,0.8571428571428573,0.013697326615325611
SP100,0.8571428571428573,0.013697326615325611
CYB5D1,-0.8571428571428573,0.013697326615325611
TMPRSS4,0.8571428571428573,0.013697326615325611
MARCH5,0.8571428571428573,0.013697326615325611
LDLR,0.8571428571428573,0.013697326615325611
TMEM74B,-0.8571428571428573,0.013697326615325611
FHIT,-0.8571428571428573,0.013697326615325611
GPM6B,-0.8571428571428573,0.013697326615325611
PFKM,-0.8571428571428573,0.013697326615325611
KCNK12,-0.8571428571428573,0.013697326615325611
TMEM87B,0.8571428571428573,0.013697326615325611
LIFR,-0.8571428571428573,0.013697326615325611
SEPP1,-0.8571428571428573,0.013697326615325611
FECH,-0.8571428571428573,0.013697326615325611
COL14A1,-0.8571428571428573,0.013697326615325611
COL17A1,0.8571428571428573,0.013697326615325611
RPS14P3,-0.8571428571428573,0.013697326615325611
TPGS1,-0.8571428571428573,0.013697326615325611
C8orf48,-0.8571428571428573,0.013697326615325611
FBLN5,-0.8571428571428573,0.013697326615325611
GOLPH3,0.8571428571428573,0.013697326615325611
IL34,-0.8571428571428573,0.013697326615325611
ZNF30,-0.8571428571428573,0.013697326615325611
HBEGF,0.8571428571428573,0.013697326615325611
S100A6,0.8571428571428573,0.013697326615325611
RAC1,0.8571428571428573,0.013697326615325611
KCNA3,-0.8571428571428573,0.013697326615325611
SAMD9,0.8571428571428573,0.013697326615325611
CXCL12,-0.8571428571428573,0.013697326615325611
KPNA6,0.8571428571428573,0.013697326615325611
ZKSCAN5,-0.8571428571428573,0.013697326615325611
CFAP126,-0.8571428571428573,0.013697326615325611
RPS10P7,-0.8571428571428573,0.013697326615325611
CNPY4,-0.8571428571428573,0.013697326615325611
RWDD2A,-0.8571428571428573,0.013697326615325611
EVA1C,0.8571428571428573,0.013697326615325611
IFI27,0.8571428571428573,0.013697326615325611
AGT,-0.8571428571428573,0.013697326615325611
FABP7,-0.8571428571428573,0.013697326615325611
ARNT2,-0.8571428571428573,0.013697326615325611
SUGT1P3,-0.8571428571428573,0.013697326615325611
CSNK1A1,0.8571428571428573,0.013697326615325611
KLF3,0.8571428571428573,0.013697326615325611
PRMT2,-0.8571428571428573,0.013697326615325611
SAP30L,-0.8571428571428573,0.013697326615325611
B4GALT5,0.8571428571428573,0.013697326615325611
SPRTN,-0.8571428571428573,0.013697326615325611
CHPT1,-0.8571428571428573,0.013697326615325611
MED9,-0.8571428571428573,0.013697326615325611
ELF1,0.8571428571428573,0.013697326615325611
RAD23B,0.8571428571428573,0.013697326615325611
PPP1R14B,0.8571428571428573,0.013697326615325611
SH3GL2,-0.8571428571428573,0.013697326615325611
RPS18P9,-0.8571428571428573,0.013697326615325611
CCDC186,0.8571428571428573,0.013697326615325611
ICE1,0.8571428571428573,0.013697326615325611
IDI2,-0.8571428571428573,0.013697326615325611
TMBIM1,0.8571428571428573,0.013697326615325611
ICAM3,-0.8571428571428573,0.013697326615325611
TP73-AS1,-0.8571428571428573,0.013697326615325611
DLG3,0.8571428571428573,0.013697326615325611
FAM117A,-0.8571428571428573,0.013697326615325611
ECH1,-0.8571428571428573,0.013697326615325611
DAW1,-0.8571428571428573,0.013697326615325611
RIOK3,0.8571428571428573,0.013697326615325611
CYP3A7,-0.8571428571428573,0.013697326615325611
MAP4K5,0.8571428571428573,0.013697326615325611
HSPB2,-0.8571428571428573,0.013697326615325611
IL1RN,0.8571428571428573,0.013697326615325611
CCDC74B,-0.8571428571428573,0.013697326615325611
COPB2,0.8571428571428573,0.013697326615325611
NOMO1,0.8571428571428573,0.013697326615325611
TLR5,-0.8571428571428573,0.013697326615325611
TMEM170A,0.8571428571428573,0.013697326615325611
RAB27B,0.8571428571428573,0.013697326615325611
RPN1,0.8571428571428573,0.013697326615325611
NDUFA7,-0.8571428571428573,0.013697326615325611
ATP6V1C2,-0.8571428571428573,0.013697326615325611
RSAD1,-0.8571428571428573,0.013697326615325611
HERC6,0.8571428571428573,0.013697326615325611
CCAT1,-0.8571428571428573,0.013697326615325611
ENO3,-0.8571428571428573,0.013697326615325611
PDXDC1,0.8571428571428573,0.013697326615325611
CLCN5,-0.8571428571428573,0.013697326615325611
VCL,0.8571428571428573,0.013697326615325611
ERCC1,-0.8571428571428573,0.013697326615325611
WASH7P,0.8571428571428573,0.013697326615325611
CD320,-0.8571428571428573,0.013697326615325611
SERPINA5,-0.8571428571428573,0.013697326615325611
DNPH1,-0.8571428571428573,0.013697326615325611
POGK,-0.8571428571428573,0.013697326615325611
ATRNL1,-0.8571428571428573,0.013697326615325611
PRKAR2B,-0.8571428571428573,0.013697326615325611
MALL,0.8571428571428573,0.013697326615325611
FXYD3,0.8571428571428573,0.013697326615325611
EIF3A,0.8571428571428573,0.013697326615325611
SERPINB5,0.8468812149338255,0.016197127467871622
FAM3C,0.8214285714285715,0.023448808345691494
MIR650,-0.8214285714285715,0.023448808345691494
LOC400043,-0.8214285714285715,0.023448808345691494
LGALS3,0.8214285714285715,0.023448808345691494
ZNF581,-0.8214285714285715,0.023448808345691494
NOV,-0.8214285714285715,0.023448808345691494
FAM219B,-0.8214285714285715,0.023448808345691494
JMJD4,-0.8214285714285715,0.023448808345691494
ANKRD13B,-0.8214285714285715,0.023448808345691494
EPB41L4A-AS1,-0.8214285714285715,0.023448808345691494
H1F0,0.8214285714285715,0.023448808345691494
ODF2L,0.8214285714285715,0.023448808345691494
ITGA7,-0.8214285714285715,0.023448808345691494
STRN3,0.8214285714285715,0.023448808345691494
MIS12,-0.8214285714285715,0.023448808345691494
PKN2,0.8214285714285715,0.023448808345691494
CD28,-0.8214285714285715,0.023448808345691494
TAL1,-0.8214285714285715,0.023448808345691494
DPYSL2,-0.8214285714285715,0.023448808345691494
ITGA6,0.8214285714285715,0.023448808345691494
LOC102723766,-0.8214285714285715,0.023448808345691494
LRRC61,-0.8214285714285715,0.023448808345691494
TMEM252,-0.8214285714285715,0.023448808345691494
SENP2,0.8214285714285715,0.023448808345691494
CCNYL1,0.8214285714285715,0.023448808345691494
WRN,-0.8214285714285715,0.023448808345691494
GPR162,-0.8214285714285715,0.023448808345691494
RAB33A,-0.8214285714285715,0.023448808345691494
C1QL3,-0.8214285714285715,0.023448808345691494
FDXR,-0.8214285714285715,0.023448808345691494
C7orf25,0.8214285714285715,0.023448808345691494
LINC01465,-0.8214285714285715,0.023448808345691494
C1QTNF2,-0.8214285714285715,0.023448808345691494
GNB1,0.8214285714285715,0.023448808345691494
RNF145,0.8214285714285715,0.023448808345691494
ZNF669,-0.8214285714285715,0.023448808345691494
LEPREL2,-0.8214285714285715,0.023448808345691494
OIP5-AS1,-0.8214285714285715,0.023448808345691494
WNT7A,0.8214285714285715,0.023448808345691494
LAX1,-0.8214285714285715,0.023448808345691494
PLAU,0.8214285714285715,0.023448808345691494
AOX1,-0.8214285714285715,0.023448808345691494
CYP3A5,-0.8214285714285715,0.023448808345691494
CCDC80,-0.8214285714285715,0.023448808345691494
SLC11A1,0.8214285714285715,0.023448808345691494
FAM83A,0.8214285714285715,0.023448808345691494
OASL,0.8214285714285715,0.023448808345691494
PIGA,0.8214285714285715,0.023448808345691494
KDM1A,0.8214285714285715,0.023448808345691494
KDM2A,0.8214285714285715,0.023448808345691494
RCSD1,-0.8214285714285715,0.023448808345691494
USP7,0.8214285714285715,0.023448808345691494
ZNF280C,-0.8214285714285715,0.023448808345691494
BAIAP2L1,0.8214285714285715,0.023448808345691494
NAT9,-0.8214285714285715,0.023448808345691494
DIS3L,-0.8214285714285715,0.023448808345691494
