sample_id,depth_s1_TF,depth_s2_metabolic,metab_score,depth_combined
GSM362958,0.34773895431260704,0.5076119852997127,0.4293641891493004,0.4725463466119604
GSM362959,0.5281843245246948,0.6762102308803686,0.6514109451561486,0.6921919410452446
GSM362960,0.40415264694267256,0.5359525010691664,0.43326052305330887,0.5095660066005766
GSM362964,0.19250003620302839,0.2507208767155158,0.24493771769289818,0.2407683087180309
GSM362965,0.31696216420515705,0.41442265190417066,0.3633331365487932,0.39976396263042185
GSM362966,0.30189913913621946,0.3569952072670412,0.3265541059094397,0.3578984789397121
GSM362970,0.2830820303876064,0.3767083087256286,0.15719641064997936,0.3012699684894808
GSM362971,0.171427000600265,0.14509796980536266,0.15623708601452269,0.1596073905669912
GSM362972,0.13548227303277516,0.15916559080478038,0.21850463427593136,0.1705330838239667
GSM362976,0.10776257064183149,0.1111755928547921,0.16526949642836064,0.12152563660964587
GSM362977,0.161683530357373,0.2368331981170786,0.25039848869472836,0.2237170968795915
GSM362978,0.16523538416003655,0.16755034881698838,0.16965287207037005,0.17044746959892865
GSM362982,0.3818505653518299,0.48063523430802507,0.4295708129169372,0.4764595814176487
GSM362983,0.4333179001902474,0.612785423568275,0.5768197650392586,0.6009133482186472
GSM362984,0.09954550335714267,0.10137619297971254,0.20113347895389322,0.1259946407699166
GSM362986,0.46873765993778616,0.5832609644038163,0.46578900761556175,0.5672858543347369
GSM362987,0.16596318756534317,0.3281403267331693,0.5001623472460004,0.3455659440052122
GSM362988,0.24355046637191363,0.3311042625091054,0.35258870063167835,0.3310077341610003
GSM362992,0.25486305197354553,0.29497897101062254,0.250059035362182,0.28716702870828376
GSM362993,0.36583675949734146,0.5208462598654038,0.32808902532617024,0.4519146906845801
GSM362994,0.2029330974253417,0.2534874522868182,0.22399492295885226,0.23939752347819654
GSM363008,0.39724578060180626,0.43709197515021386,0.33644252907491556,0.43452666402551393
GSM363009,0.36868005508184143,0.5767223374858319,0.3952860263297716,0.4980284011391163
GSM363010,0.2400255685830049,0.2852390776401697,0.36173918176987996,0.3140786428189793
GSM363011,0.3894220581237886,0.5701330117282216,0.5723625951945217,0.5633416131198155
GSM363012,0.0810094552347621,0.0648227827098516,0.07736584213944142,0.062037558230598706
GSM363013,0.36871288387633,0.49138921215669984,0.40515969065470214,0.46698851702685357
GSM363014,0.21003781222003673,0.2661216596514614,0.17223566916583033,0.23029163823946397
GSM363015,0.3646162213205368,0.4663824894817867,0.4116830981758074,0.45733251060251084
GSM363016,0.09767956600423341,0.09872924555942689,0.16307042918708303,0.11143738456818437
GSM363017,0.47399554110193753,0.5457267908943688,0.29793671409174094,0.4984943126329789
GSM363029,0.2026191552043867,0.27657675757245337,0.23710077336324475,0.2529239173774081
GSM363030,0.4319177146968491,0.6849939820654585,0.5613967766692249,0.6242316939168464
GSM363031,0.303945549681079,0.3663374347678311,0.2257659838243109,0.328944541042452
GSM363032,0.5302027369983531,0.6459157135036149,0.5678463899876026,0.6530139520981185
GSM363033,0.480898284043405,0.6734486135691046,0.5737204085247063,0.6448033342313858
GSM363034,0.2545799241683439,0.24798805127962378,0.11134069307515193,0.22189243959307334
GSM363035,0.058026922086118,0.05197547354182175,0.0800519511187201,0.0478566287894005
GSM363036,0.2810670967520014,0.2625704345575437,0.2752818938544186,0.29382464330452396
GSM363037,0.3820566038192986,0.4884550866552213,0.2933024381604581,0.43427296113474007
GSM363038,0.28398759624077946,0.36860201158560424,0.34605053427002774,0.361348982909456
GSM363039,0.11766610828061569,0.12644630561340858,0.10416789657004533,0.11157307926055055
GSM363048,0.3858109026848334,0.5270056353742072,0.3816636165062872,0.4808607834903702
GSM363049,0.3457490818597212,0.3843880281279766,0.2196263061573882,0.35218036039699285
GSM363050,0.44173626487989287,0.5349717581360269,0.351806482082768,0.49821844120362146
