drug,gene,p_logrank,subtype,med_hi,med_lo
EZH2_inhibitor,EZH2,0.025732837322964736,Type2,593.0,727.5
MET_inhibitor,MET,0.0979198823757556,Type2,598.5,693.0
ERBB2_targeted,ERBB2,0.10723714647464894,Type2,736.5,573.0
CDK4_inhibitor,CDK4,0.032992841486818775,Type2,479.0,832.5
KDM1A_inhibitor,KDM1A,0.28225429743357,Type2,908.5,503.0
FH_aKG_proxy,FH,0.020748006595691777,Type2,797.5,529.5
OGDHL_aKG_proxy,OGDHL,0.007340817086242787,Type2,677.5,621.0
CA9_targeted,CA9,0.17021022810895486,Type2,833.0,591.5
PDL1_checkpoint,CD274,0.42636865204435215,Type2,548.0,693.0
HAVCR2_checkpoint,HAVCR2,0.031017631477868294,Type2,697.5,628.0
PDK1_DCA,PDK1,0.22617581431398492,Type2,605.0,671.5
SLC16A1_MCT4,SLC16A1,0.9552741307154364,Type2,663.0,628.0
B2M_MHC1,B2M,0.3718090711401121,Type2,651.0,641.5
CDK6_inhibitor,CDK6,0.9657163676963896,Type2,567.5,908.5
CDKN2A_proxy,CDKN2A,0.324795136592275,Type2,638.5,647.5
