prediction,gene,cl_mean,nor_mean,pct_change,pval,note
P1,ESR1,11.151056343283583,11.305473684210526,-1.3658635209828045,0.0023772706471520445,
P1,FOXA1,11.13913880597015,9.812424561403509,13.520758669423866,2.5896213136873735e-16,
P1,GATA3,12.296377985074626,11.18872807017544,9.899694656551056,1.4055931678394377e-14,
P1,PGR,9.330937686567164,10.308375438596489,-9.481976649488475,0.04425315031099532,
P1,SPDEF,10.373897388059703,9.192736842105266,12.848845411786366,2.3147370409715805e-10,
P1,AR,8.237238059701495,8.846830701754387,-6.890520035971814,0.62654762033413,
P2,VIM,14.907374253731344,15.56406403508772,-4.219269336568713,4.0383236399341754e-12,
P2,ZEB1,9.950773880597016,10.290876315789472,-3.3048928464005645,0.0036150878643298303,
P2,ZEB2,9.904277238805971,10.642684210526317,-6.9381648192663,3.836535564689592e-11,
P2,SNAI1,7.1124723880597,6.757104385964911,5.259175851018664,0.004320962342773196,
P2,SNAI2,9.271020895522389,9.577189473684209,-3.1968520514614136,0.00014793817705071992,
P2,TWIST1,7.448801865671641,8.173767543859649,-8.869418836514646,7.265826770284373e-11,
P2,FN1,16.95498208955224,13.415904385964913,26.379717697524306,2.34235935812768e-49,
P2,CDH2,6.8352578358208955,4.612857017543861,48.17840244830228,3.3102704829452783e-29,
P3,CLDN3,9.078094776119404,8.15470701754386,11.32337135581925,0.023120465586419517,
P3,CLDN4,11.597662313432835,10.952233333333332,5.893126638702331,0.8736763833324499,
P3,CLDN7,10.252805597014927,9.282563157894737,10.45231174425145,2.181961733678026e-11,
P3,CLDN8,6.38161343283582,8.726931578947369,-26.87448761222484,3.0071524243438963e-25,
P3,CDH1,12.071990298507464,11.90887543859649,1.3696915443612752,0.006310545685347707,
P4,CD44,13.374220895522386,12.970414035087721,3.113291983912634,8.507157576340936e-09,
P4,CD24,13.877814552238808,12.70913947368421,9.195548455302415,6.474720687290423e-08,
P4,ALDH1A1,9.017973507462687,11.196665789473686,-19.458402375993504,1.2941931921162927e-38,
P4,KRT14,9.475241791044777,12.662836842105262,-25.17283520910099,1.4147367700334928e-22,
P4,KRT5,10.244902985074626,12.991636842105263,-21.142323253130094,2.8240981157852597e-21,
P4,TP63,7.611840298507461,10.120172807017543,-24.7854711213108,2.1946822169592243e-26,
P4,ITGA6,11.35131119402985,12.336755263157894,-7.987870782124882,4.159438436036244e-25,
P4,PROM1,8.639216791044776,10.122033333333333,-14.649393984955825,6.830055425657427e-09,
P5,CDKN1A,10.793652611940297,11.070555263157894,-2.5012535020633644,0.020066124914963745,
P5,MDM2,10.863670522388059,10.845349999999998,0.1689251373912407,0.705631870613507,
P5,BAX,9.214323134328358,8.169457894736842,12.789896870203204,2.0358416742781236e-35,
P5,GADD45A,8.981676492537314,9.09765350877193,-1.274801421298268,0.32720153543757324,
P5,TP53,10.55199552238806,10.489970175438597,0.5912823955847882,0.2601239487872994,
P5,PUMA,,,,,
P6,CD274,4.967840298507464,4.674029824561403,6.286020521352387,0.03846038694116311,
P6,CD8A,7.866493656716417,7.185219298245613,9.481608426859683,2.5974790222601936e-05,
P6,FOXP3,6.399062313432836,3.839282456140351,66.67339239910584,1.63795595018564e-40,
P6,PDCD1,4.728902611940299,3.101528947368421,52.47004597370173,8.587352177075714e-20,
P6,LAG3,5.891169776119403,4.510866666666668,30.599510281529085,9.899267922837967e-17,
P6,TIGIT,6.28867947761194,4.148422807017544,51.59205727472861,6.864642973749232e-28,
P6,CD68,11.519890298507464,10.871327192982456,5.965813501995065,4.493353425934079e-09,
P6,CD163,9.895605223880597,9.518995614035088,3.9564007077619103,0.03290779881728413,
P6,IFNG,2.2517869402985076,1.341730701754386,67.82704139915509,3.1184540928180807e-06,
P9,TACSTD2,12.214159701492537,12.062762280701753,1.2550808618105098,0.0012782313831326713,
P9,BRCA1,8.14528880597015,7.616938596491229,6.936516591092219,1.8871761453878402e-10,
P9,PARP1,12.373867910447762,11.391616666666668,8.622579854317674,1.5301506909739828e-43,
P9,ERBB2,12.341716417910447,11.863894736842102,4.027527988633609,0.0004473512936844932,
P9,ESR1,11.151056343283583,11.305473684210526,-1.3658635209828045,0.0023772706471520445,
P9,CD274,4.967840298507464,4.674029824561403,6.286020521352387,0.03846038694116311,
P9,ALDH1A1,9.017973507462687,11.196665789473686,-19.458402375993504,1.2941931921162927e-38,
P9,PIK3CA,9.254598880597015,9.755741228070175,-5.136896682245153,2.58377713406467e-15,
P9,PTEN,11.00853656716418,11.557200000000002,-4.747373350256305,2.410753865696157e-16,
PROLIF,MKI67,10.511782835820895,7.453943859649122,41.0231017800517,9.205728021279096e-43,
PROLIF,TOP2A,10.77389365671642,7.468062280701755,44.26625343708333,8.581553381576264e-44,
PROLIF,PCNA,10.992845895522388,9.98413596491228,10.103126942131643,2.2545777267160166e-38,
PROLIF,CCNB1,9.44252276119403,7.454857894736842,26.662679483944128,7.131066281870679e-45,
