gene,Normal,Claudin-low,LumA,LumB,HER2-enriched,TNBC/Basal
ESR1,11.305473684210526,11.151056343283583,13.543956862745098,13.628060714285715,8.264325862068965,6.3529285714285715
FOXA1,9.812424561403509,11.13913880597015,12.960461064425768,12.974481547619044,12.541237931034484,6.680157983193277
GATA3,11.18872807017544,12.296377985074626,13.713598879551817,13.695266071428572,11.62388620689655,9.26547226890756
PGR,10.308375438596489,9.330937686567164,11.02871288515406,9.469319642857144,5.950796551724137,4.657357983193276
CLDN3,8.15470701754386,9.078094776119404,9.814809523809524,10.001888095238096,10.040746551724139,9.702995798319327
CLDN4,10.952233333333332,11.597662313432835,11.98441344537815,11.946740476190476,12.287477586206895,12.47853445378151
CLDN7,9.282563157894737,10.252805597014927,10.814452661064427,10.967288095238095,11.082312068965518,10.545121848739498
VIM,15.56406403508772,14.907374253731344,14.092469467787115,13.569236904761905,13.972377586206896,14.677276470588236
ZEB1,10.290876315789472,9.950773880597016,9.634110644257701,9.051680357142857,9.196287931034481,8.41189663865546
SNAI1,6.757104385964911,7.1124723880597,6.424464145658263,6.351339285714286,7.097146551724139,7.514106722689076
CDH1,11.90887543859649,12.071990298507464,12.848367507002802,13.523982738095237,13.643753448275863,12.779660504201678
CD44,12.970414035087721,13.374220895522386,13.191527731092439,12.589177380952378,12.651806896551722,13.396426890756302
CD24,12.70913947368421,13.877814552238808,13.765518487394958,13.570997619047619,15.33298275862069,14.781103361344538
ALDH1A1,11.196665789473686,9.017973507462687,8.506947619047619,7.915405357142858,8.579705172413794,7.801344537815124
KRT14,12.662836842105262,9.475241791044777,8.63223193277311,5.661899404761905,6.56513103448276,9.693050420168069
KRT5,12.991636842105263,10.244902985074626,9.038832773109243,6.114092857142857,8.193475862068967,11.44300756302521
CD274,4.674029824561403,4.967840298507464,4.362239775910364,4.409846428571429,5.155972413793105,4.872525210084035
CD8A,7.185219298245613,7.866493656716417,7.051573389355742,7.007677380952381,7.7075344827586205,7.574967226890757
MKI67,7.453943859649122,10.511782835820895,10.165302521008403,11.367201785714284,11.653908620689657,12.030136134453784
ERBB2,11.863894736842102,12.341716417910447,12.961318767507,12.960385714285714,15.569946551724138,11.857047899159664
CDKN1A,11.070555263157894,10.793652611940297,10.722368067226892,10.630110119047618,10.558893103448275,10.224240336134452
MDM2,10.845349999999998,10.863670522388059,11.264230812324929,11.375263095238095,10.68280172413793,10.660663025210084
