gene,cl_mean,nor_mean,pct_change,pval,abs_pct
DPPA2,0.0974257462686567,0.004397368421052632,inf,0.07592453536400068,inf
LOC146481,0.16027723880597014,0.0,inf,9.2952982518759e-05,inf
IL28A,0.2644384328358209,0.0,inf,1.000325886950638e-08,inf
OC90,0.15620223880597014,0.007714035087719298,inf,6.929530686436936e-05,inf
FLJ36000,0.08944925373134328,0.007960526315789473,inf,0.016101724480009166,inf
PRLH,0.05954365671641792,0.007849122807017545,inf,0.007790840270612863,inf
GAGE1,0.08350634328358209,0.0,inf,0.06292468414104166,inf
HIST1H4L,0.05754216417910448,0.007280701754385965,inf,0.006231614094240843,inf
ADAM18,0.0567276119402985,0.009964912280701755,inf,0.0358659902813756,inf
GAGE2D,0.12211082089552237,0.0,inf,0.03705255182368785,inf
APCS,0.05586156716417911,0.0,inf,0.02198740834414926,inf
FTHL17,0.2038820895522388,0.0,inf,0.0036150912932620513,inf
CT45A4,0.06485783582089552,0.009434210526315788,inf,0.8825265179756328,inf
GAGE12D,0.1517578358208955,0.0,inf,0.01696765704874189,inf
CT45A3,0.0627526119402985,0.0,inf,0.06292468414104166,inf
GAGE12J,0.07576641791044778,0.0,inf,0.02198740834414926,inf
GAGE4,0.1572287313432836,0.0,inf,0.0016666452272662675,inf
GIF,0.09269589552238805,0.008128947368421052,inf,0.002763320035719277,inf
FAM9A,0.09269253731343284,0.0063973684210526325,inf,0.015475815154612337,inf
MC2R,0.06605970149253731,0.0046640350877192975,inf,0.01268820473206149,inf
PDCL2,0.10352761194029853,0.0,inf,2.41640907658059e-05,inf
ASZ1,0.1755738805970149,0.005651754385964913,inf,0.0006952446209725549,inf
STRA8,0.4108376865671642,0.00820263157894737,inf,7.129001085302432e-06,inf
LCE3E,0.08376156716417911,0.0,inf,0.03705255182368785,inf
CGB1,0.056410820895522386,0.0,inf,0.006049972671895998,inf
SPANXN3,0.15492126865671643,0.0,inf,4.786314407047744e-07,inf
OR2B2,0.09125111940298507,0.008569298245614036,inf,0.0002992013181134305,inf
TM4SF5,0.05758283582089552,0.004801754385964912,inf,0.016311560390402456,inf
NOX3,0.05275895522388059,0.008899122807017544,inf,0.09363765133501405,inf
KRTAP5-6,0.07579253731343283,0.0,inf,3.1701536538623406e-05,inf
C1orf141,0.06988582089552238,0.008913157894736842,inf,0.013165956903118038,inf
ELSPBP1,0.07103470149253731,0.0,inf,0.0001582457753490147,inf
PRB1,0.21777910447761195,0.0068324561403508765,inf,0.00010600479442224772,inf
COX7B2,0.17450410447761194,0.004427192982456141,inf,0.01572184313138191,inf
PNLIP,0.1334768656716418,0.007260526315789474,inf,0.003464154571224401,inf
C11orf36,0.06654626865671641,0.0,inf,0.0036150912932620513,inf
TCP10,0.05807686567164179,0.008635964912280702,inf,0.03670134444030271,inf
GAGE2A,0.06767462686567165,0.0,inf,0.06292468414104166,inf
PRAC,0.09922835820895523,0.0,inf,0.006049972671895998,inf
C1orf68,0.06107238805970149,0.007123684210526316,inf,0.07278514780542081,inf
C1QTNF8,0.07620746268656717,0.006147368421052631,inf,0.006007317344225437,inf
CCDC70,0.11408283582089551,0.007654385964912281,inf,2.5433360113722383e-05,inf
LCE2A,0.05332164179104478,0.0032526315789473685,inf,0.057130786412315726,inf
OR4K15,0.09750708955223882,0.004040350877192982,inf,0.0005512446133378452,inf
SPZ1,0.0626679104477612,0.007898245614035088,inf,0.0594031075906049,inf
SPRR4,0.10280074626865672,0.006036842105263158,inf,0.055452697293752136,inf
GIP,0.15842761194029853,0.005176315789473684,inf,4.4785988195550206e-07,inf
ATXN8OS,0.10102761194029851,0.0,inf,0.02198740834414926,inf
CSAG2,0.6725429104477612,0.019918421052631582,3276.4870652681893,6.274265234298984e-07,3276.4870652681893
METTL11B,1.3298309701492539,0.04203421052631579,3063.687276383375,3.6495576102117406e-33,3063.687276383375
ZP4,0.44266455223880596,0.017082456140350876,2491.340194886715,4.67072741977923e-09,2491.340194886715
CSAG1,0.623420895522388,0.03278508771929824,1801.5379823291569,1.1997560047930715e-10,1801.5379823291569
IL28B,0.17806865671641792,0.010262280701754388,1635.1762428986785,4.181991978957299e-05,1635.1762428986785
EFNA2,0.2871694029850746,0.01783421052631579,1510.2165137129755,2.616498099537794e-07,1510.2165137129755
TLX3,0.6478384328358209,0.04090701754385965,1483.68532279632,8.408866904127923e-05,1483.68532279632
TLX1NB,0.7679402985074628,0.050737719298245616,1413.5491092797627,2.762431473842772e-12,1413.5491092797627
IBSP,4.563732462686567,0.31575614035087723,1345.3345096045377,1.183122900575584e-49,1345.3345096045377
IGFL3,1.8423817164179104,0.12822543859649121,1336.830114666752,5.797120146458764e-28,1336.830114666752
BASE,0.20992574626865673,0.014664912280701754,1331.4831364174465,2.831272471837674e-05,1331.4831364174465
CST4,3.9724276119402986,0.29124824561403506,1263.931859422974,1.7457674280752544e-40,1263.931859422974
C17orf93,1.0882089552238807,0.0799798245614035,1260.6043288934975,8.395265469207657e-11,1260.6043288934975
NAA11,0.20012201492537313,0.01647894736842105,1114.4101831945352,0.0511376975137538,1114.4101831945352
HIST1H3I,0.2392623134328358,0.021028070175438594,1037.8234494970502,2.772374639056512e-10,1037.8234494970502
PDX1,0.4315925373134329,0.03806929824561403,1033.702372260452,0.003087809896501517,1033.702372260452
C20orf185,0.19064813432835823,0.017152631578947367,1011.4803781033465,0.24233666439112034,1011.4803781033465
LOC648691,0.5678432835820896,0.05235087719298245,984.687237405466,1.0921856365410717e-07,984.687237405466
