population,label,n,data_source,FOXA1_mean,FOXA1_pct_vs_MatureLum,GATA3_mean,GATA3_pct_vs_MatureLum,ESR1_mean,ESR1_pct_vs_MatureLum,PGR_mean,PGR_pct_vs_MatureLum,SPDEF_mean,SPDEF_pct_vs_MatureLum,LuminalTF_composite_pct,FOXA1_pct_vs_LumA,GATA3_pct_vs_LumA,ESR1_pct_vs_LumA,PGR_pct_vs_LumA,SPDEF_pct_vs_LumA
LumA,Cancer LumA SC,7742,scRNA-seq GSE176078,2.877401113510132,34.86921691894531,5.360471248626709,19.350921630859375,3.4672467708587646,9.419306755065918,1.1592345237731934,-35.218292236328125,4.594820976257324,-5.521230697631836,4.579984474182129,,,,,
LumB,Cancer LumB SC,3368,scRNA-seq GSE176078,2.6303913593292236,23.291404724121094,6.141544818878174,36.74152755737305,4.6321210861206055,46.180389404296875,1.2211285829544067,-31.759456634521484,3.96687388420105,-18.433086395263672,11.204155731201173,,,,,
HER2,Cancer Her2 SC,3708,scRNA-seq GSE176078,1.9929770231246948,-6.5854082107543945,2.1670610904693604,-51.75037384033203,0.23990970849990845,-92.4289321899414,0.06323394924402237,-96.4662857055664,4.1447834968566895,-14.774906158447266,-52.4011812210083,,,,,
TNBC,Cancer Basal SC,4312,scRNA-seq GSE176078,0.4150731861591339,-80.54473876953125,2.1777961254119873,-51.51136016845703,0.14285731315612793,-95.49171447753906,0.045631349086761475,-97.44996643066406,1.1634902954101562,-76.07630157470703,-80.21481628417969,,,,,
CL,Claudin-low (geometry),412,scRNA-seq GSE176078,0.04641455039381981,-97.824462890625,1.9757918119430542,-56.00898361206055,0.02754916064441204,-99.13059997558594,0.0224466510117054,-98.74560546875,0.07344544678926468,-98.48981475830078,-90.03989334106446,,,,,
MatureLum,Mature Luminal (ref),1265,scRNA-seq GSE176078,2.1334750652313232,0.0,4.4913530349731445,0.0,3.1687705516815186,0.0,1.78944730758667,0.0,4.86333703994751,0.0,0.0,,,,,
LumProg,Luminal Progenitor,1992,scRNA-seq GSE176078,0.24788260459899902,-88.38127136230469,2.3755481243133545,-47.1084098815918,0.5840195417404175,-81.56952667236328,0.09361504018306732,-94.76849365234375,1.3257166147232056,-72.7406005859375,-76.91366043090821,,,,,
Myo,Myoepithelial,1098,scRNA-seq GSE176078,0.04379388317465782,-97.94729614257812,2.0114002227783203,-55.216163635253906,0.0847754180431366,-97.32466125488281,0.29241636395454407,-83.65884399414062,0.1428854763507843,-97.06198120117188,-86.24178924560547,,,,,
ILC,Invasive Lobular (TCGA),210,TCGA-BRCA bulk,12.426156190476188,,13.30789761904762,,12.64783761904762,,10.167742857142851,,11.880758095238098,,,-2.4829039019705847,-1.808172775263204,-5.5825519855760035,-7.266636010525636,2.7271631636854416
