gene,panel,normal_mean,mds_mean,change_pct,p_value
ELANE,S1_CONF,702.5027220515276,401.8959412696888,-42.79083501683424,0.001240318380372642
CD34,S1_CONF,340.51318529269787,381.7405146261429,12.107410553869418,0.3254285791543421
CEBPE,S1_CONF,0.39277982366782505,0.9240499964612179,135.25902828519253,0.02849202751508245
EZH2,S1_CONF,81.35125205241722,60.02451330772718,-26.215624476127964,0.0007324117021854361
ASXL1,S1_CONF,95.37078261499872,71.49188251410199,-25.03796178048911,0.002497998148182102
MYC,S1_CONF,258.4388794295774,394.7524718481673,52.745002114023755,0.020895014224450205
ZRSR2,S1_CONF,68.67921782795722,103.34872622694796,50.480348343276916,6.897637919501663e-06
GFI1,GAP,0.2612725495130953,0.43237263285388056,65.48720240976157,0.11985989956510085
GFI1B,GAP,98.85270328168971,249.62358799965835,152.5207502806811,0.00018235172438145643
RCOR1,LSD1,10.847014461494194,4.193667310626582,-61.3380499720575,0.001955483446591633
KDM1A,LSD1,94.24131161391504,98.61134122825693,4.637063660833683,0.31048706121627084
HDAC1,LSD1,172.9239731716805,181.1506115091494,4.757372957942284,0.17989815702514983
HDAC2,LSD1,154.4482423754531,169.37324715423398,9.663434526175577,0.15849297938738685
GATA2,HSPC_ID,102.3419472382277,84.5645728594785,-17.3705649134931,0.21510127114324554
HOXA9,HSPC_ID,13.760494233514525,12.845333754162262,-6.650636698232347,0.0722800236298249
MEIS1,HSPC_ID,377.58066040170036,387.46814691642305,2.6186422006369714,0.4474383555567449
FLT3,HSPC_ID,86.04759210687635,95.79567944736368,11.328716006811222,0.4092209038753531
CEBPB,INFLAM,0.0,0.0,,1.0
CEBPD,INFLAM,4.577623326011214,7.591279433488109,65.83451483114696,0.2910271384153271
IRF1,INFLAM,209.47704591820388,211.01759073563997,0.7354241657759648,0.13256755828723787
STAT3,INFLAM,194.80789012261775,195.38858341493753,0.29808509909648623,0.4639832208335065
MPO,GRANULO,0.316628880616609,0.14801248984206106,-53.2536357536878,0.0581863281075952
PRTN3,GRANULO,25.946900662680246,23.150426343345387,-10.77768152616803,0.21101034780131964
AZU1,GRANULO,57.26336409748117,72.24365221899996,26.160335421470137,0.000278392386460246
CTSG,GRANULO,231.13653396042503,174.1728316445222,-24.645044787967656,0.02969178295381739
CEBPA,GRANULO,0.0237724875068136,0.006048876692124742,-74.55513778105455,0.06532998900820687
SF3B1,SPLICE,414.4739740214452,375.1395911305969,-9.4901936807287,0.06102536180404394
SRSF2,SPLICE,152.48227380468788,136.03496411262262,-10.786374889144398,0.04961721080887158
U2AF1,SPLICE,383.90011935634965,326.156265040365,-15.04137441082293,0.005424282288452105
