gene,raw_r,raw_p,clean_r,clean_p,delta_r,depth_confounded
ATG9A,0.3486,0.001238654364905098,0.4648,9.573626180157495e-06,0.1162,False
MAP3K8,-0.4229,6.804788565059783e-05,-0.4647,9.624664964544231e-06,-0.0418,False
PHYHD1,0.4647,9.615438048106567e-06,0.4647,9.615027934686223e-06,0.0,False
SLC35B4,0.4631,1.0406511821317694e-05,0.4647,9.598426259458945e-06,0.0016,False
ECHDC3,0.3988,0.0001880460211498656,0.4646,9.650854038660388e-06,0.0658,False
C9orf142,-0.1627,0.1417356500665802,-0.4646,9.680127265498797e-06,-0.3019,True
TSHZ2,-0.2178,0.04795265596129235,-0.4646,9.669336802122328e-06,-0.2468,True
ZNF789,0.2837,0.009343006136308861,0.4645,9.706723084480922e-06,0.1808,False
DCPS,-0.2818,0.0098612137453162,-0.4643,9.80087433050726e-06,-0.1825,False
MYOM1,-0.2206,0.04509619939298008,-0.4643,9.81292265916981e-06,-0.2437,True
HIST1H4H,-0.4521,1.783662411984948e-05,-0.4642,9.871399594338837e-06,-0.0121,False
YWHAB,-0.4641,9.923866900946967e-06,-0.4641,9.915241627064417e-06,-0.0,False
GPX4,0.3214,0.003053185344643651,0.4641,9.885025049554547e-06,0.1428,False
ZNF586,-0.2208,0.04484698742725528,-0.4639,9.989670458485665e-06,-0.2431,True
OXT,0.462,1.0992215805449903e-05,0.4639,1.0029653766350467e-05,0.0018,False
DLG2,0.4637,1.008416789594494e-05,0.4638,1.0076896430390679e-05,0.0,False
NKD2,0.3848,0.0003287162514844652,0.4636,1.0173568409066033e-05,0.0788,False
OCRL,-0.2285,0.037741011394043227,-0.4636,1.0156662193585712e-05,-0.2351,True
MCM8,-0.4529,1.7181613437789454e-05,-0.4634,1.0255819087092659e-05,-0.0105,False
USP11,-0.2305,0.03607220918699985,-0.4632,1.0377284987479913e-05,-0.2327,True
NSF,-0.0639,0.566022871557257,-0.4632,1.0370160621574325e-05,-0.3993,True
FKBP4,-0.1784,0.10661617379829387,-0.463,1.0442558605155268e-05,-0.2846,True
RET,0.4524,1.76029558067376e-05,0.463,1.0459725166098195e-05,0.0107,False
PDGFRL,-0.3208,0.0031079632304535365,-0.4627,1.0620112468362331e-05,-0.1419,False
PPM1J,-0.3834,0.00034657910667674097,-0.4627,1.061935325847657e-05,-0.0793,False
NRIP2,0.4507,1.91001051282387e-05,0.4627,1.0620263363478847e-05,0.012,False
EVPL,-0.3554,0.0009761934464502644,-0.4626,1.0681454469654984e-05,-0.1072,False
LRP1B,0.2944,0.006908217037840412,0.4625,1.072314153721103e-05,0.1681,False
TREML1,0.4624,1.0757300678592117e-05,0.4625,1.0742603771125864e-05,0.0,False
C7orf49,-0.4604,1.1878379586490758e-05,-0.4624,1.076635578621187e-05,-0.002,False
GSTO1,0.373,0.0005153298326711878,0.4621,1.0958000853204134e-05,0.0891,False
DLEU1,0.4619,1.1073995537119964e-05,0.462,1.1018091922149161e-05,0.0001,False
SNX4,0.2677,0.014419953821493513,0.4619,1.104755396366488e-05,0.1942,False
LRRC29,0.2168,0.04902409535219487,0.4618,1.1105161064862292e-05,0.245,True
RNF5,0.4513,1.8500969931005503e-05,0.4618,1.1089572113774241e-05,0.0105,False
CIB4,-0.4617,1.1173897961891115e-05,-0.4617,1.1171156494498053e-05,-0.0,False
ITGB1,-0.4098,0.00011923834773866124,-0.4617,1.115321721069662e-05,-0.0519,False
RBPJ,0.105,0.34503122880699166,0.4615,1.1263324804377674e-05,0.3566,True
PRRX2,0.2183,0.04739519799480486,0.4614,1.1325137748915407e-05,0.2431,True
RPLP0,-0.1207,0.27694923827268675,-0.4613,1.1406623641261288e-05,-0.3405,True
MIPOL1,-0.0877,0.4305001047686472,-0.461,1.1548381789209014e-05,-0.3733,True
MESDC1,0.2914,0.00752137659405168,0.461,1.1563062755286159e-05,0.1696,False
COL12A1,-0.4013,0.00017000762643060594,-0.4609,1.159789163079884e-05,-0.0596,False
CLEC11A,-0.2893,0.007983095513250294,-0.4609,1.1638682676824336e-05,-0.1715,False
ARL6IP4,0.329,0.002387394907797508,0.4608,1.1690130023034164e-05,0.1317,False
TDRP,-0.3353,0.001944743321929566,-0.4608,1.1675374691099217e-05,-0.1255,False
OXSM,0.2008,0.06877954349834527,0.4607,1.170037318852137e-05,0.26,True
ARL5B,-0.3887,0.0002819538895621004,-0.4607,1.1707896458720146e-05,-0.072,False
AFG3L2,0.2967,0.006458017715097308,0.4607,1.1731248293373656e-05,0.164,False
TPRG1L,0.2823,0.009717818149615087,0.4603,1.1967288342715258e-05,0.178,False
DNM1L,-0.281,0.010064288769448471,-0.4603,1.1949797276877243e-05,-0.1793,False
CRTC1,-0.1625,0.14223159035513408,-0.4603,1.1942158383612107e-05,-0.2979,True
DMXL1,0.3892,0.00027605163977914506,0.4602,1.199648561915227e-05,0.071,False
DNAL4,-0.1536,0.16555328943530206,-0.4602,1.20096141156608e-05,-0.3066,True
PHLDA1,-0.3998,0.00018074783378590228,-0.4602,1.2045830771303646e-05,-0.0604,False
FBXO15,0.1063,0.33869985740805486,0.4602,1.1989770502583497e-05,0.3539,True
TNXB,0.3052,0.0050194227649674045,0.4602,1.2033770714223281e-05,0.155,False
HNRNPA2B1,-0.2906,0.007705085631730237,-0.46,1.2133019659246037e-05,-0.1694,False
LRRC57,-0.3493,0.0012088913081238898,-0.4599,1.2222464976246014e-05,-0.1105,False
TRAF5,-0.2933,0.007115385383863011,-0.4599,1.2178368139303167e-05,-0.1666,False
ZFAS1,-0.4042,0.00015113081442969973,-0.4598,1.2242308808344607e-05,-0.0557,False
ADAMTS6,-0.4522,1.7772179283320064e-05,-0.4597,1.231084773619202e-05,-0.0076,False
ESRRB,-0.3673,0.0006369995764782155,-0.4596,1.2371520292150576e-05,-0.0923,False
PROM2,-0.2385,0.02988295761501945,-0.4595,1.2450651470195702e-05,-0.2209,True
KMT2E,-0.3312,0.0022265495776928657,-0.4595,1.2436134365645943e-05,-0.1283,False
SNIP1,-0.186,0.09229938072094064,-0.4592,1.2633003253256177e-05,-0.2732,True
CDK17,-0.1853,0.0935685540004073,-0.4589,1.2839664563746391e-05,-0.2736,True
SDC2,-0.202,0.06707698103855318,-0.4586,1.2969465159780581e-05,-0.2567,True
PGLYRP4,0.2117,0.05467041617647024,0.4585,1.3081050833858384e-05,0.2468,True
MIF4GD,-0.287,0.008519090674900056,-0.4585,1.3095300162042073e-05,-0.1714,False
COMMD8,0.4319,4.554963712482256e-05,0.4584,1.3148254997624146e-05,0.0264,False
ANKRD2,-0.4343,4.098549074842653e-05,-0.4584,1.3143838306240524e-05,-0.0241,False
ZBTB3,-0.3719,0.0005357678329363286,-0.4582,1.3250537013127512e-05,-0.0863,False
SC5D,0.2599,0.017666735411502828,0.4582,1.3246948265358592e-05,0.1983,False
H6PD,-0.2765,0.01139924581428914,-0.458,1.3372665298988603e-05,-0.1815,False
C15orf59,0.2254,0.040446189367641334,0.458,1.3413653056559729e-05,0.2325,True
FGGY,0.1046,0.3468471222552512,0.458,1.3381069677330741e-05,0.3535,True
VTCN1,-0.1473,0.1839978297402634,-0.4579,1.346973425727752e-05,-0.3106,True
PLA2G4A,-0.4445,2.556795538065296e-05,-0.4578,1.3534511615386347e-05,-0.0133,False
ECHDC1,0.4432,2.7157405009791622e-05,0.4578,1.3488904650707207e-05,0.0146,False
DNAH14,-0.2811,0.01003994290105991,-0.4577,1.3567686458425174e-05,-0.1766,False
HES4,-0.1619,0.14373107404976757,-0.4576,1.365641029466237e-05,-0.2957,True
LTB4R,-0.2978,0.006253525571392,-0.4575,1.3697552266455228e-05,-0.1597,False
DACH1,0.1248,0.2608813025032544,0.4575,1.369842569190753e-05,0.3327,True
IGSF5,0.4313,4.68913792657224e-05,0.4573,1.384409166041006e-05,0.026,False
UBE2G1,0.434,4.142430453374067e-05,0.4572,1.3889298214483766e-05,0.0232,False
LIG3,-0.3388,0.0017297664581446843,-0.4572,1.3928057668215429e-05,-0.1184,False
METTL10,-0.3052,0.005023753259545077,-0.457,1.405317143718524e-05,-0.1518,False
ALPI,0.4047,0.00014753952523210967,0.457,1.4048530889737113e-05,0.0523,False
HBP1,0.221,0.044624066711297386,0.4567,1.4232416581203839e-05,0.2357,True
TNNI3K,0.2718,0.012929395231139914,0.4565,1.437288621399967e-05,0.1847,False
PRX,0.1979,0.072883652112188,0.4565,1.4385695030453448e-05,0.2586,True
DENND5A,-0.4206,7.511813000078306e-05,-0.4564,1.4451469408618739e-05,-0.0358,False
PKDCC,0.1551,0.1613564623051408,0.4562,1.461043012401279e-05,0.3011,True
MAST2,0.2415,0.027824337127069033,0.456,1.4795764345399383e-05,0.2144,True
U2AF2,-0.2607,0.01730624581334893,-0.456,1.474937982458347e-05,-0.1953,False
MRPS2,0.4538,1.6418489243963075e-05,0.4559,1.4865168061874006e-05,0.0021,False
SLC35G2,-0.284,0.00926912982201504,-0.4557,1.4952483279464018e-05,-0.1717,False
AMBP,0.3746,0.0004843685946275394,0.4556,1.5070699994214329e-05,0.0809,False
DBT,0.1039,0.34977045859220735,0.4554,1.5227369397705185e-05,0.3514,True
JMJD7-PLA2G4B,-0.3751,0.0004764847459853342,-0.4553,1.5275727281893558e-05,-0.0802,False
GPAA1,0.2916,0.007477669758873285,0.4552,1.5327463377748215e-05,0.1636,False
CD1C,0.3961,0.00021002726321418986,0.455,1.5487557601771413e-05,0.0589,False
MIA2,0.119,0.2841109572536345,0.455,1.5486804781964106e-05,0.3361,True
FLRT1,-0.4544,1.597819962369067e-05,-0.4549,1.5547651350842178e-05,-0.0006,False
STX18-AS1,-0.1701,0.12411775843395492,-0.4549,1.556296493483286e-05,-0.2848,True
PBX1,0.294,0.006979524040663999,0.4549,1.5540926831146506e-05,0.1609,False
FASTKD5,0.4326,4.430181554140217e-05,0.4549,1.5549586789272774e-05,0.0224,False
RRP15,-0.1786,0.10620504208094603,-0.4548,1.567831351647569e-05,-0.2762,True
PRDM10,-0.1809,0.10163945224726895,-0.4547,1.5717128441474008e-05,-0.2738,True
TRA2B,-0.3033,0.005319330445189499,-0.4546,1.5793514577612436e-05,-0.1513,False
ANO3,0.2538,0.020575942207145037,0.4544,1.5944541737749514e-05,0.2006,True
MAPK1,-0.0931,0.40248796545360754,-0.4544,1.591795216215562e-05,-0.3613,True
NIPAL4,0.1941,0.07873753497439646,0.4542,1.6106338468118792e-05,0.2601,True
RYK,-0.3416,0.001577072160027505,-0.4539,1.632314824999253e-05,-0.1124,False
CNTRL,-0.2873,0.008454862447827224,-0.4539,1.6364805248489583e-05,-0.1666,False
NUB1,-0.4371,3.596032310577781e-05,-0.4536,1.658652646744807e-05,-0.0165,False
GSPT2,-0.1856,0.09298900339960188,-0.4535,1.6650750083371667e-05,-0.2679,True
TMEM127,-0.1512,0.1723308942942483,-0.4535,1.668047874482093e-05,-0.3022,True
KANK3,-0.4049,0.00014681780250081478,-0.4535,1.6686540457473052e-05,-0.0486,False
ANO1,-0.2748,0.011929044623177919,-0.4534,1.6708374018702203e-05,-0.1786,False
NLRP14,-0.3767,0.0004486225421459864,-0.4534,1.6768811641138047e-05,-0.0767,False
CCNL1,-0.2037,0.06467868479018866,-0.4532,1.6922992236460914e-05,-0.2494,True
SLC5A7,0.102,0.35901771755042355,0.4532,1.6875173485659988e-05,0.3513,True
TBC1D22B,0.1589,0.15142776139633718,0.4531,1.6983629829620596e-05,0.2942,True
SURF4,0.3296,0.0023406041679300423,0.453,1.707550694367898e-05,0.1233,False
PCGF5,-0.2594,0.017860792298462068,-0.4529,1.712374641918387e-05,-0.1935,False
RPAP2,0.4528,1.7222431047754214e-05,0.4528,1.7196630608068682e-05,0.0,False
PAFAH1B2,-0.1011,0.3631536788516531,-0.4527,1.7333787887265492e-05,-0.3516,True
CANT1,-0.1762,0.11111987995037757,-0.4524,1.758802475394295e-05,-0.2762,True
XPR1,0.3352,0.0019516187131083202,0.4524,1.7526380059895317e-05,0.1173,False
SLC35F5,-0.437,3.622037393545592e-05,-0.4521,1.782557352078488e-05,-0.0151,False
B4GALT3,-0.3701,0.0005745542105271929,-0.4518,1.8097783898025017e-05,-0.0817,False
ELF1,-0.2682,0.01423404363381496,-0.4517,1.8182305312769048e-05,-0.1835,False
KCNAB1,0.359,0.0008583580842171456,0.4516,1.8262416608238554e-05,0.0926,False
CYP1B1,-0.1683,0.1283453052259622,-0.4515,1.8376573828491426e-05,-0.2832,True
TCHH,-0.2847,0.009080641407045651,-0.4515,1.8369366991476508e-05,-0.1667,False
SMAP1,0.3017,0.005577091490136053,0.4515,1.8337414528335568e-05,0.1498,False
NES,0.2866,0.008618192367640875,0.4514,1.8392532998587316e-05,0.1648,False
DTNB,-0.2757,0.011648325992354786,-0.4514,1.8407674616250593e-05,-0.1757,False
FANCB,-0.3935,0.0002328858832541775,-0.4512,1.8601052228370646e-05,-0.0577,False
HIST1H4E,-0.4496,2.0040631454922948e-05,-0.4512,1.8637941997380674e-05,-0.0015,False
SFN,-0.2313,0.03537631031327101,-0.4512,1.8651105718841296e-05,-0.2198,True
MAP3K11,0.4446,2.5482177148652058e-05,0.4511,1.869081183766077e-05,0.0065,False
RIMS4,0.4314,4.670736545715811e-05,0.451,1.8746970120571362e-05,0.0197,False
C12orf76,-0.1585,0.15232284084898282,-0.4509,1.886055297864429e-05,-0.2924,True
NECAP2,-0.4428,2.766114407637245e-05,-0.4509,1.8833590580501838e-05,-0.0081,False
NR1D1,0.0973,0.3816381581815559,0.4507,1.905937230639672e-05,0.3534,True
CIDECP,-0.1951,0.07709650132537478,-0.4504,1.9332479512454368e-05,-0.2553,True
PEF1,-0.4419,2.8883464113543134e-05,-0.4503,1.9380545986721747e-05,-0.0085,False
NDUFA13,-0.2713,0.013101462703765375,-0.4503,1.9443358563366475e-05,-0.179,False
PIGR,0.3853,0.00032218741031261725,0.4502,1.9563913166613322e-05,0.0649,False
RBM46,0.275,0.011873779802022375,0.4501,1.9614464307008113e-05,0.1751,False
FOXF2,0.4379,3.478746049355144e-05,0.4501,1.96254657959041e-05,0.0122,False
PRPF19,-0.2424,0.027262970314008608,-0.4501,1.9628539322535124e-05,-0.2077,True
TMEM106B,-0.2576,0.018714895697528242,-0.45,1.9703489278416205e-05,-0.1924,False
TRIM45,-0.4484,2.123361707189033e-05,-0.45,1.971722405165066e-05,-0.0016,False
PINK1,0.3177,0.0034244618770772933,0.4497,2.0037213600719152e-05,0.1319,False
FBXO43,0.3366,0.0018644176539906736,0.4494,2.023183340199515e-05,0.1129,False
C5orf42,-0.4447,2.527108584340003e-05,-0.4492,2.043775515226899e-05,-0.0045,False
DNHD1,0.1609,0.14607316328828754,0.4492,2.051955153827028e-05,0.2882,True
AGTRAP,0.3257,0.002655540792108599,0.449,2.0699974183698194e-05,0.1232,False
C11orf31,-0.1168,0.2930774315952102,-0.449,2.0677200787005517e-05,-0.3322,True
TFPT,-0.1391,0.20973135985470118,-0.4489,2.0799726041635838e-05,-0.3097,True
MYO9B,-0.3209,0.0030997804017201514,-0.4489,2.0782121318876117e-05,-0.128,False
HSD17B6,-0.3217,0.0030250981159794933,-0.4488,2.084217252564194e-05,-0.1272,False
SLC39A10,-0.1891,0.08692942189779232,-0.4488,2.086035814548767e-05,-0.2597,True
SERPINB7,0.3627,0.0007526690762467929,0.4488,2.089534903070785e-05,0.0861,False
MUC15,-0.173,0.1177907978584933,-0.4487,2.096854033910326e-05,-0.2757,True
RSG1,-0.3477,0.0012790024544817734,-0.4486,2.104184489202526e-05,-0.1009,False
IDH1,0.2626,0.01645635317382238,0.4486,2.1065478927287245e-05,0.186,False
GLP1R,0.0713,0.5220764857005045,0.4486,2.1018483408363768e-05,0.3774,True
GAN,-0.348,0.0012645433747741348,-0.4486,2.10745447756348e-05,-0.1006,False
SUPV3L1,0.3753,0.00047175217336202957,0.4486,2.1081515003942477e-05,0.0733,False
NUP188,-0.208,0.05910968284019103,-0.4485,2.112013070731228e-05,-0.2405,True
BTG3,-0.4354,3.8983700390047685e-05,-0.4485,2.1158414169246086e-05,-0.0131,False
SYK,-0.437,3.625876713668176e-05,-0.4484,2.1232140337875153e-05,-0.0115,False
NIFK,-0.3648,0.0006961342680304461,-0.4483,2.135105669855983e-05,-0.0835,False
CPSF6,-0.2066,0.06096543316984635,-0.4482,2.146217732195552e-05,-0.2416,True
SLC39A14,0.4383,3.40960313089097e-05,0.4481,2.158329402507952e-05,0.0098,False
KIF5B,-0.142,0.2003503019045122,-0.448,2.1691572015819754e-05,-0.306,True
INPP5D,-0.2697,0.013682871472775722,-0.4478,2.1889070432018223e-05,-0.1781,False
DYNLL2,0.1567,0.15712905790372686,0.4478,2.1890819235414918e-05,0.2911,True
CDK18,0.2928,0.007218996726690325,0.4477,2.196191254645617e-05,0.1549,False
RTCB,0.4346,4.0294011003518366e-05,0.4477,2.1946416546095088e-05,0.0131,False
SYP,-0.3735,0.0005049357129717441,-0.4474,2.226824544577075e-05,-0.0739,False
SPN,0.2997,0.0059181893070742305,0.4474,2.2321752219052833e-05,0.1477,False
PPP1R1B,0.4137,0.00010143555242629002,0.4474,2.2292375857285917e-05,0.0337,False
IRF7,-0.199,0.07123042399821748,-0.4474,2.228893781615182e-05,-0.2484,True
ATAD2,0.1623,0.14275649212907998,0.4472,2.2467954831673326e-05,0.285,True
TRAF3IP3,0.4177,8.522465159011012e-05,0.4472,2.2520031539234553e-05,0.0295,False
PLEKHB2,0.2178,0.04787982263541207,0.4472,2.2543780285690008e-05,0.2293,True
EOGT,-0.1106,0.31953774125744144,-0.4472,2.2515588309290156e-05,-0.3366,True
RMDN3,-0.2729,0.012545859324318325,-0.4472,2.2530305496279826e-05,-0.1742,False
TAB1,0.1317,0.2352819151315385,0.4472,2.2532332929142216e-05,0.3155,True
PHC2,-0.1435,0.1957159966441414,-0.4471,2.2613166262948743e-05,-0.3036,True
C8orf88,-0.2683,0.01420318809878793,-0.4471,2.2637113823151703e-05,-0.1788,False
TMEM50B,-0.3223,0.0029632781656263657,-0.4469,2.2837367663194948e-05,-0.1246,False
C18orf8,0.2618,0.016828912342323993,0.4468,2.2986476428589505e-05,0.185,False
KCTD11,-0.3815,0.0003730715262371032,-0.4468,2.298478505953863e-05,-0.0653,False
CCDC151,-0.4368,3.647011523935744e-05,-0.4468,2.294969868025289e-05,-0.01,False
TAP1,-0.3924,0.00024390156374630372,-0.4468,2.2886573343144223e-05,-0.0545,False
WDR54,-0.1019,0.35954544789830417,-0.4466,2.3140743655700684e-05,-0.3448,True
PRRX1,-0.2989,0.006047359927773894,-0.4466,2.310654597310094e-05,-0.1477,False
CCNT2,-0.446,2.3875336707724993e-05,-0.4466,2.3124180734434984e-05,-0.0007,False
NYAP1,-0.3752,0.00047349704088489115,-0.4465,2.330795958754366e-05,-0.0712,False
SLC16A6,-0.3789,0.00041170823211254023,-0.4464,2.3350948321595467e-05,-0.0675,False
TBX18,0.3356,0.0019279312488035794,0.4464,2.337788415796564e-05,0.1108,False
LCA5,-0.4462,2.3601406178076345e-05,-0.4462,2.360132752047207e-05,-0.0,False
HBD,-0.4353,3.919318211329912e-05,-0.4462,2.3612961147698272e-05,-0.0109,False
TUBG2,0.1945,0.07810061061809612,0.4462,2.3643717652600378e-05,0.2517,True
MPP5,0.4427,2.781838384871063e-05,0.4462,2.3650235842065274e-05,0.0035,False
TUBG1,0.2287,0.037519044577171166,0.446,2.380253367655476e-05,0.2173,True
ZMYND10,-0.3224,0.002958146862793778,-0.4459,2.3946488964403988e-05,-0.1235,False
ACTR10,-0.2153,0.05061710312419629,-0.4458,2.4020338449026424e-05,-0.2305,True
NDUFV3,0.121,0.2756660651735222,0.4458,2.405657277537437e-05,0.3247,True
RGS7BP,-0.3221,0.0029830311945481984,-0.4458,2.4090143401358924e-05,-0.1237,False
MST1R,-0.2357,0.03198317586455398,-0.4457,2.4198347620491194e-05,-0.21,True
SHISA3,-0.1651,0.13591077123989492,-0.4457,2.4157639640990222e-05,-0.2806,True
VWDE,-0.3956,0.00021425880928680944,-0.4454,2.4507442384825266e-05,-0.0498,False
CAT,0.3255,0.0026731897811406277,0.4454,2.448217274978707e-05,0.1199,False
MASTL,-0.1496,0.1771214114427889,-0.4453,2.4597814616733242e-05,-0.2957,True
TRIM46,-0.3884,0.0002853189003862187,-0.4452,2.4777137350698845e-05,-0.0568,False
PIGT,-0.4378,3.4873981962600916e-05,-0.4452,2.471740868777253e-05,-0.0074,False
TOX3,-0.2864,0.008679786707623717,-0.4451,2.485653879003764e-05,-0.1587,False
PPIH,-0.4227,6.864727093854582e-05,-0.4449,2.5138603295071484e-05,-0.0221,False
HABP4,0.2125,0.0537681371240017,0.4447,2.527069223045819e-05,0.2322,True
CALHM2,-0.3235,0.0028531826300229337,-0.4447,2.5265425914914126e-05,-0.1213,False
AGRN,-0.4096,0.00012044341861388456,-0.4447,2.5305656202601282e-05,-0.0351,False
EI24,-0.4062,0.00013910903289216179,-0.4445,2.5607449799761345e-05,-0.0383,False
SUPT6H,0.1088,0.3276237327970441,0.4445,2.5550672280688785e-05,0.3357,True
ATP6AP1L,0.4081,0.00012820821618436066,0.4445,2.5539415705843918e-05,0.0364,False
MTFR1,0.3093,0.0044403781956766615,0.4444,2.5640117642497674e-05,0.1352,False
SLC45A4,-0.2624,0.016550694582781786,-0.4444,2.565413991703292e-05,-0.182,False
ELF3,-0.4264,5.845768908169816e-05,-0.4444,2.564650584045966e-05,-0.0181,False
BASP1,-0.376,0.00046055787799221246,-0.4444,2.5706844876058554e-05,-0.0684,False
TCEAL2,0.059,0.5962559061380549,0.4444,2.5692560491976976e-05,0.3854,True
ACSL1,0.3649,0.0006948012623262462,0.4443,2.574216518130109e-05,0.0795,False
VCAN,-0.3715,0.0005441048968646697,-0.4443,2.5810513247707357e-05,-0.0728,False
GRINA,0.4284,5.328376500218974e-05,0.4442,2.590284802303826e-05,0.0158,False
SURF1,0.3151,0.0037100255266390727,0.4442,2.5978310407371696e-05,0.129,False
ANKLE2,-0.2519,0.021607849841807875,-0.4442,2.5881263927377334e-05,-0.1923,False
TNF,-0.3179,0.003404374574706132,-0.4441,2.6058676707784894e-05,-0.1262,False
IL31RA,0.3779,0.00042792040159014323,0.4439,2.6264111914484856e-05,0.066,False
SLC26A3,0.4189,8.088309018346549e-05,0.4438,2.6387369035585236e-05,0.0249,False
TLCD1,-0.3897,0.0002711958007252765,-0.4437,2.658275352373452e-05,-0.054,False
REV3L,-0.3233,0.0028685454186322696,-0.4437,2.6550303691119234e-05,-0.1204,False
HSBP1,-0.3513,0.0011300430017947799,-0.4436,2.6666221032753497e-05,-0.0923,False
UBR4,0.4357,3.848362046445175e-05,0.4435,2.681958984825096e-05,0.0078,False
IGFBP4,0.3114,0.0041678005537673585,0.4434,2.6859433897131737e-05,0.1321,False
TEX10,-0.3599,0.0008309253848797657,-0.4434,2.689731417323319e-05,-0.0835,False
GALNT18,-0.119,0.2839413143999443,-0.4434,2.6907453316818712e-05,-0.3244,True
MKRN2,-0.243,0.02688593786842893,-0.4434,2.68646768572431e-05,-0.2005,True
PLOD2,-0.2849,0.009036956652442649,-0.4433,2.7100849556887954e-05,-0.1583,False
GPSM3,-0.1884,0.08812621077055235,-0.4433,2.708071440950037e-05,-0.2549,True
TYMS,0.4429,2.75075826315959e-05,0.4433,2.7040564147859106e-05,0.0004,False
PYROXD2,0.4373,3.561659522730238e-05,0.4433,2.6984118223475217e-05,0.006,False
EDIL3,-0.287,0.008513577644443588,-0.443,2.7468197242650796e-05,-0.1559,False
CAPNS1,-0.1427,0.19810289205646622,-0.4428,2.7708107187858493e-05,-0.3001,True
ELOVL4,0.264,0.01587398306757815,0.4426,2.79221888138526e-05,0.1786,False
B4GALT2,-0.1522,0.16948995399089203,-0.4426,2.7923976308497663e-05,-0.2904,True
TDRD9,-0.1021,0.3584771227191318,-0.4425,2.8042998654473194e-05,-0.3404,True
C14orf37,0.0991,0.3728470472801219,0.4424,2.815963608174766e-05,0.3434,True
KRT85,0.3046,0.0051187869904230675,0.4422,2.8420554385512607e-05,0.1377,False
ASB14,0.1134,0.30727911884637915,0.4422,2.8444476705432013e-05,0.3288,True
MTHFSD,-0.3295,0.002352064850185041,-0.4421,2.8593077253879623e-05,-0.1126,False
DACH2,-0.1996,0.07047793656030271,-0.4421,2.8630165954731865e-05,-0.2425,True
PHLDB3,-0.4088,0.0001247383717800566,-0.442,2.872371848846177e-05,-0.0332,False
CCDC173,-0.152,0.17012610788348734,-0.442,2.872953417065115e-05,-0.29,True
IWS1,-0.4187,8.183089319937393e-05,-0.442,2.8733371375842274e-05,-0.0233,False
SUMF2,0.4228,6.843688906349023e-05,0.4419,2.8907334837830154e-05,0.0191,False
FRS2,0.0829,0.4562158396032086,0.4418,2.901040722988118e-05,0.3589,True
SFXN3,0.2948,0.0068189788226923915,0.4418,2.8929646007075274e-05,0.147,False
MAPK9,-0.4411,2.99524831555004e-05,-0.4416,2.9247402954341064e-05,-0.0005,False
ATP5G3,0.129,0.24519183828367416,0.4415,2.9423877711333365e-05,0.3125,True
SLC25A1,0.3982,0.00019305633220368501,0.4415,2.9432567257062448e-05,0.0433,False
AR,0.3979,0.00019502918959308398,0.4415,2.933966803275912e-05,0.0436,False
TMEM150B,0.2886,0.008144311775562662,0.4413,2.974311895831539e-05,0.1526,False
AMT,0.4041,0.0001512401155302671,0.4413,2.966760032476799e-05,0.0372,False
APRT,0.4388,3.324773330745761e-05,0.4413,2.9690626572674823e-05,0.0024,False
GCM1,0.1088,0.3277040101703963,0.4413,2.9665647988865576e-05,0.3325,True
PAK6,-0.43,4.961370223089871e-05,-0.4412,2.98214949847345e-05,-0.0112,False
TSPY1,0.0924,0.4061316462770894,0.4412,2.9834366004156835e-05,0.3488,True
SEC24D,-0.1784,0.1066676008133742,-0.4411,2.999582645494301e-05,-0.2627,True
U2SURP,-0.1867,0.0910126214346259,-0.4411,2.9961997413662086e-05,-0.2544,True
HMGN5,-0.1262,0.2557314573793348,-0.4411,2.9903018587477618e-05,-0.315,True
ACAD8,0.3662,0.0006633622576329278,0.441,3.0139293111378204e-05,0.0748,False
CHCHD6,-0.2252,0.0406210126032156,-0.441,3.012485070910891e-05,-0.2157,True
PRKACA,0.1021,0.35827789130001464,0.441,3.0154783336532324e-05,0.3388,True
ZSCAN29,-0.2927,0.007243532321338421,-0.4408,3.0389539249393382e-05,-0.1481,False
SPRED2,0.347,0.0013113948220333253,0.4407,3.0498297693423557e-05,0.0938,False
RAB23,-0.0893,0.4222049326025387,-0.4407,3.057404405149979e-05,-0.3514,True
RNF123,0.4398,3.188373346350172e-05,0.4405,3.075571657206226e-05,0.0008,False
IL23A,-0.3031,0.00533995035581387,-0.4405,3.0867911312360116e-05,-0.1373,False
HDAC11,-0.4201,7.687613872908188e-05,-0.4404,3.0881381903377335e-05,-0.0203,False
MMAA,0.4359,3.812717714652e-05,0.4403,3.103662738110199e-05,0.0045,False
RAMP1,-0.3828,0.00035463816055465405,-0.4402,3.121267233323975e-05,-0.0574,False
IKBKE,-0.2102,0.056533476759333214,-0.4401,3.136573116145528e-05,-0.23,True
TSPAN17,-0.2401,0.02878486781219608,-0.4401,3.133654620018562e-05,-0.2,True
RAI2,-0.383,0.0003518874037057389,-0.44,3.14619867414658e-05,-0.057,False
TPBG,-0.3551,0.0009874521744866816,-0.44,3.1476086192791296e-05,-0.0849,False
LYAR,-0.2379,0.030331138775840635,-0.44,3.153791409911832e-05,-0.2021,True
NPC1,-0.2602,0.017495251712361406,-0.4399,3.16933563012538e-05,-0.1796,False
CABLES2,-0.3144,0.0037914480132945146,-0.4399,3.162535398212627e-05,-0.1255,False
SLC45A1,0.1727,0.11855034010482604,0.4397,3.1897125486626695e-05,0.2671,True
