gene,r_pc1,r_pc2,r_depth,clean_r,dominant
ENTPD1,0.5631,-0.533,0.5631,-0.645,depth
STAT3,0.4705,-0.5689,0.4705,-0.6447,PC2
CSTB,0.2099,-0.63,0.2099,-0.6444,PC2
C1QTNF6,-0.136,0.6383,-0.136,0.6443,PC2
UBE2A,0.6098,-0.5106,0.6098,-0.6442,depth
C19orf57,0.6533,0.4874,0.6533,0.6437,depth
UNC13C,-0.5659,-0.5304,-0.5659,-0.6433,depth
LRRC69,-0.5823,-0.5227,-0.5823,-0.6429,depth
GPA33,0.6659,0.4796,0.6659,0.6429,depth
HEPACAM,-0.4662,0.5684,-0.4662,0.6425,PC2
IL6,-0.2599,-0.6203,-0.2599,-0.6424,PC2
KLK10,-0.365,0.598,-0.365,0.6423,PC2
CCNG1,0.2256,0.6257,0.2256,0.6422,PC2
SCD,0.4641,0.5681,0.4641,0.6414,PC2
ST13,0.5371,0.541,0.5371,0.6414,PC2
CDC14A,-0.0726,0.6395,-0.0726,0.6412,PC2
CACNB3,0.5545,-0.5332,0.5545,-0.6407,depth
LRRN2,-0.0761,-0.6388,-0.0761,-0.6406,PC2
SLC30A3,0.5727,0.5252,0.5727,0.6406,depth
PRKCE,0.7243,0.4417,0.7243,0.6405,depth
CNN2,-0.5298,-0.543,-0.5298,-0.6402,PC2
NYX,0.7051,0.4539,0.7051,0.6401,depth
NPAS2,0.3395,-0.6019,0.3395,-0.6399,PC2
EDN2,-0.5036,-0.5527,-0.5036,-0.6397,PC2
GCLC,0.5542,0.5319,0.5542,0.639,depth
SF3B3,0.5616,-0.5281,0.5616,-0.6383,depth
INTS3,-0.3049,-0.6078,-0.3049,-0.6382,PC2
USPL1,-0.0875,-0.6352,-0.0875,-0.6376,PC2
CALCR,-0.7058,0.451,-0.7058,0.6367,depth
GPHN,0.3398,0.5988,0.3398,0.6367,PC2
MKKS,0.4429,0.5706,0.4429,0.6364,PC2
RNF182,-0.7087,-0.449,-0.7087,-0.6364,depth
TNFRSF10C,0.505,0.5489,0.505,0.6359,PC2
SMPD1,0.1008,0.6324,0.1008,0.6356,PC2
LAYN,-0.1345,-0.6297,-0.1345,-0.6355,PC2
HMOX1,-0.5802,0.5172,-0.5802,0.6351,depth
RTP3,0.4349,0.5714,0.4349,0.6346,PC2
C2orf82,0.5498,0.53,0.5498,0.6345,depth
ESYT1,-0.0773,-0.6323,-0.0773,-0.6342,PC2
C21orf33,-0.4057,0.5793,-0.4057,0.6338,PC2
PIK3IP1,0.3583,-0.5915,0.3583,-0.6335,PC2
MYL12A,-0.4451,-0.5671,-0.4451,-0.6333,PC2
VSTM4,-0.0417,0.6325,-0.0417,0.6331,PC2
KIAA1549L,-0.6771,-0.4659,-0.6771,-0.6331,depth
PCDH12,0.7158,-0.442,0.7158,-0.6329,depth
STX10,0.3945,0.5816,0.3945,0.6329,PC2
TRAM2,-0.2666,-0.6096,-0.2666,-0.6325,PC2
C11orf80,-0.3699,-0.5876,-0.3699,-0.6325,PC2
C9orf50,-0.2336,-0.6147,-0.2336,-0.6322,PC2
GAS2L3,0.0015,0.6316,0.0015,0.6316,PC2
OR10J1,0.4286,0.5705,0.4286,0.6314,PC2
CYP19A1,0.0613,0.6301,0.0613,0.6313,PC2
CCL19,-0.6298,0.4904,-0.6298,0.6313,depth
ART4,0.4662,0.5582,0.4662,0.6309,PC2
TMEM71,-0.6866,-0.4586,-0.6866,-0.6307,depth
ZMYM5,-0.7066,-0.4461,-0.7066,-0.6305,depth
ISG15,-0.4552,-0.5611,-0.4552,-0.6302,PC2
MMP24,0.308,0.5995,0.308,0.6301,PC2
KDM2B,-0.3607,-0.5876,-0.3607,-0.63,PC2
ACTN1,-0.5508,-0.5258,-0.5508,-0.63,depth
SH2D3A,0.4875,-0.5491,0.4875,-0.6289,PC2
AGPAT2,0.5476,-0.5262,0.5476,-0.6289,depth
CCL14,-0.2498,0.6086,-0.2498,0.6286,PC2
ADRA2B,0.5079,0.5414,0.5079,0.6285,PC2
ZDHHC11,0.149,0.6211,0.149,0.6281,PC2
LINC00152,0.4587,-0.558,0.4587,-0.628,PC2
WIPF1,0.6612,0.4709,0.6612,0.6276,depth
ANKZF1,0.4551,0.5588,0.4551,0.6275,PC2
CHST15,-0.482,-0.5495,-0.482,-0.6271,PC2
ASB13,-0.3751,0.5811,-0.3751,0.6269,PC2
PRRG1,0.4812,-0.5493,0.4812,-0.6266,PC2
MTMR4,-0.3899,0.5768,-0.3899,0.6264,PC2
SFXN4,-0.5302,0.5311,-0.5302,0.6264,PC2
SNRPN,0.3446,-0.5881,0.3446,-0.6264,PC2
SUPT16H,0.2363,-0.6087,0.2363,-0.6264,PC2
IL32,-0.7229,0.4324,-0.7229,0.6259,depth
GPR137B,-0.4989,0.5421,-0.4989,0.6255,PC2
SELP,-0.1781,-0.6147,-0.1781,-0.6247,PC2
TRIM2,0.575,-0.5111,0.575,-0.6247,depth
CLPTM1,-0.3229,0.591,-0.3229,0.6245,PC2
ITGA5,0.2291,-0.6078,0.2291,-0.6244,PC2
ACADSB,0.602,0.4983,0.602,0.624,depth
PPP1R14D,0.5174,0.534,0.5174,0.624,PC2
TTLL11,0.2286,-0.6074,0.2286,-0.624,PC2
C15orf61,0.7293,0.4269,0.7293,0.6239,depth
TUBB6,0.3113,-0.5926,0.3113,-0.6236,PC2
DOK5,0.5788,-0.5085,0.5788,-0.6236,depth
SMIM24,0.0574,0.6225,0.0574,0.6235,PC2
PIAS3,-0.6137,-0.4921,-0.6137,-0.6233,depth
KDELR3,-0.4356,-0.5608,-0.4356,-0.623,PC2
WNT10A,0.3609,-0.581,0.3609,-0.6229,PC2
FAM129B,-0.7246,-0.4292,-0.7246,-0.6228,depth
MOSPD3,0.4921,0.5421,0.4921,0.6228,PC2
TIFA,-0.1755,-0.6131,-0.1755,-0.6227,PC2
DPP4,-0.4191,0.565,-0.4191,0.6223,PC2
EEF1A2,-0.2351,-0.6047,-0.2351,-0.6221,PC2
ITGA7,0.5132,0.5337,0.5132,0.6219,PC2
CD109,0.3378,0.5853,0.3378,0.6219,PC2
CILP,0.6615,-0.4661,0.6615,-0.6215,depth
TMPRSS3,0.6248,-0.4852,0.6248,-0.6214,depth
GINS3,-0.4257,-0.5616,-0.4257,-0.6206,PC2
IGF2BP1,-0.5818,0.5048,-0.5818,0.6206,depth
PIGC,-0.6713,-0.4594,-0.6713,-0.6199,depth
SF3B2,0.557,-0.5146,0.557,-0.6196,depth
FOXJ1,0.5628,-0.512,0.5628,-0.6194,depth
ALDH3A2,-0.7129,0.4342,-0.7129,0.6192,depth
FAM122B,0.724,-0.4269,0.724,-0.6189,depth
ATXN1L,-0.7069,0.4375,-0.7069,0.6185,depth
MANSC1,-0.1924,-0.6065,-0.1924,-0.618,PC2
FZD2,0.686,-0.4496,0.686,-0.6179,depth
MPP1,0.1897,0.6067,0.1897,0.6179,PC2
SH3BP4,0.7298,-0.4222,0.7298,-0.6177,depth
MYH9,-0.4854,-0.54,-0.4854,-0.6177,PC2
SYT7,-0.0635,-0.6162,-0.0635,-0.6175,PC2
PDPN,-0.4367,0.5552,-0.4367,0.6172,PC2
COL5A1,-0.5284,-0.5235,-0.5284,-0.6166,depth
ITPR3,-0.4495,-0.5507,-0.4495,-0.6165,PC2
UBAP2L,0.21,-0.6026,0.21,-0.6163,PC2
PNCK,0.6058,0.4902,0.6058,0.6161,depth
PRKCG,0.7344,0.4179,0.7344,0.6157,depth
RTN2,-0.4572,-0.5475,-0.4572,-0.6156,PC2
NME1-NME2,0.575,-0.5036,0.575,-0.6155,depth
FAM20B,-0.4149,-0.5596,-0.4149,-0.6151,PC2
TBCB,-0.3192,-0.5828,-0.3192,-0.615,PC2
ABCA11P,-0.0694,-0.6132,-0.0694,-0.6147,PC2
BANF1,0.5972,-0.4925,0.5972,-0.6141,depth
PTK7,0.1545,-0.6067,0.1545,-0.6141,PC2
CMTM3,-0.1577,-0.6063,-0.1577,-0.614,PC2
EIF2A,0.734,0.417,0.734,0.6139,depth
ANKIB1,-0.6282,0.4776,-0.6282,0.6138,depth
HK1,-0.3594,-0.5728,-0.3594,-0.6138,PC2
BNC2,0.5222,0.5234,0.5222,0.6137,PC2
HNRNPR,-0.1726,-0.6043,-0.1726,-0.6135,PC2
OAT,0.4971,0.532,0.4971,0.6131,PC2
PRAME,0.157,0.6053,0.157,0.6129,PC2
EFNB3,0.6886,-0.4444,0.6886,-0.6128,depth
CNPY2,0.5014,0.5301,0.5014,0.6127,PC2
FMOD,0.1743,-0.6031,0.1743,-0.6124,PC2
STRADA,-0.5545,-0.5093,-0.5545,-0.612,depth
MFSD6,0.5241,-0.5212,0.5241,-0.6119,depth
ZDHHC12,0.6745,-0.4516,0.6745,-0.6117,depth
C4orf32,-0.4426,-0.5484,-0.4426,-0.6116,PC2
AMPH,-0.6779,-0.449,-0.6779,-0.6107,depth
CBX4,0.2317,-0.5941,0.2317,-0.6107,PC2
SMPDL3A,-0.2329,0.5933,-0.2329,0.6101,PC2
GPR155,0.6414,0.4678,0.6414,0.6097,depth
ADNP,0.4261,-0.5511,0.4261,-0.6092,PC2
FBXO2,-0.1402,-0.6032,-0.1402,-0.6092,PC2
XRCC5,0.7002,-0.4348,0.7002,-0.6091,depth
TSC22D1,-0.3152,-0.578,-0.3152,-0.6091,PC2
TCIRG1,-0.3973,-0.5588,-0.3973,-0.6089,PC2
FXYD5,-0.1857,-0.5975,-0.1857,-0.608,PC2
CREB3L4,0.3333,-0.5727,0.3333,-0.6074,PC2
AKNA,-0.0823,-0.6052,-0.0823,-0.6073,PC2
FBXW5,0.6738,0.4488,0.6738,0.6073,depth
GADL1,-0.5599,-0.5028,-0.5599,-0.6068,depth
ATP6V1C1,0.4722,0.5348,0.4722,0.6067,PC2
PPARA,0.6453,0.4632,0.6453,0.6063,depth
TMEM246,0.0994,-0.6033,0.0994,-0.6063,PC2
MAEL,-0.2465,0.5872,-0.2465,0.6059,PC2
RGR,0.1806,0.5957,0.1806,0.6057,PC2
FSD1,0.2882,-0.5799,0.2882,-0.6056,PC2
SBK1,-0.3855,-0.5586,-0.3855,-0.6054,PC2
ADAM19,-0.4333,-0.5456,-0.4333,-0.6054,PC2
C11orf63,0.6444,0.4628,0.6444,0.6052,depth
TCEAL3,-0.6112,-0.4789,-0.6112,-0.6051,depth
RBMS2,0.3951,-0.5557,0.3951,-0.605,PC2
ASGR2,0.3934,0.5563,0.3934,0.605,PC2
TGFBI,-0.6994,-0.4321,-0.6994,-0.6046,depth
HIF3A,0.6032,0.482,0.6032,0.6043,depth
TRIB1,0.2762,-0.5806,0.2762,-0.6041,PC2
BTG2,0.5275,-0.5127,0.5275,-0.6035,depth
PRKCZ,-0.4254,0.546,-0.4254,0.6033,PC2
TDP2,0.407,0.5509,0.407,0.6031,PC2
RCC1,0.6141,-0.4755,0.6141,-0.6024,depth
RAD51B,-0.5613,-0.4985,-0.5613,-0.6024,depth
LOC93622,-0.0508,-0.6011,-0.0508,-0.6019,PC2
FBXL16,0.4253,-0.5448,0.4253,-0.6019,PC2
PALM2,-0.7049,-0.4267,-0.7049,-0.6016,depth
BLOC1S1,0.5792,0.4902,0.5792,0.6014,depth
BTD,0.0697,0.6,0.0697,0.6014,PC2
SNRK,-0.211,-0.5878,-0.211,-0.6013,PC2
NYNRIN,-0.6774,-0.4421,-0.6774,-0.601,depth
TCAIM,0.7175,0.4184,0.7175,0.6007,depth
TMEM140,-0.3524,0.5621,-0.3524,0.6007,PC2
AATF,0.0291,0.6003,0.0291,0.6006,PC2
TMEM98,0.7015,0.4278,0.7015,0.6003,depth
FSCN2,-0.4457,-0.5369,-0.4457,-0.5997,PC2
CD68,0.0756,0.5976,0.0756,0.5994,PC2
NSMCE2,0.7244,0.4132,0.7244,0.5994,depth
CBX6,0.5165,-0.5131,0.5165,-0.5993,depth
CD8A,0.5136,0.5139,0.5136,0.599,PC2
RGS7,-0.5999,0.4789,-0.5999,0.5985,depth
RSBN1L,-0.271,-0.576,-0.271,-0.5984,PC2
PHLDA3,0.4193,-0.5427,0.4193,-0.5977,PC2
DYNC1I1,-0.3373,0.5624,-0.3373,0.5974,PC2
DHX15,-0.2263,-0.5818,-0.2263,-0.5973,PC2
CHD4,0.1852,-0.5869,0.1852,-0.5973,PC2
C2orf70,-0.5122,-0.513,-0.5122,-0.5973,PC2
PPP4R1,0.6959,-0.4288,0.6959,-0.5971,depth
SORT1,0.3775,-0.5527,0.3775,-0.5968,PC2
SLC25A30,0.6767,0.4392,0.6767,0.5965,depth
KCNA5,-0.2091,0.5829,-0.2091,0.5961,PC2
SLC50A1,-0.3386,-0.5607,-0.3386,-0.5959,PC2
CYP2C18,-0.4296,-0.5376,-0.4296,-0.5953,PC2
HOPX,-0.7121,-0.4178,-0.7121,-0.595,depth
XPO1,0.7088,-0.4196,0.7088,-0.5948,depth
METTL12,0.4231,-0.539,0.4231,-0.5948,PC2
AES,0.4015,-0.5447,0.4015,-0.5947,PC2
ARPC1B,0.6114,-0.4705,0.6114,-0.5945,depth
AQP1,-0.5025,0.5137,-0.5025,0.5941,PC2
KCTD14,-0.1985,-0.5816,-0.1985,-0.5934,PC2
TRNP1,0.6155,-0.4674,0.6155,-0.593,depth
SRRD,0.7252,0.4082,0.7252,0.5929,depth
SLC25A48,0.3531,0.5546,0.3531,0.5928,PC2
TSHZ3,-0.1913,-0.5817,-0.1913,-0.5926,PC2
ANXA2,0.1049,-0.589,0.1049,-0.5923,PC2
DMKN,-0.4552,-0.5271,-0.4552,-0.592,PC2
CYB561D1,-0.4506,-0.5283,-0.4506,-0.5918,PC2
PTPRN2,0.7437,-0.3952,0.7437,-0.5911,depth
MECOM,-0.149,-0.5844,-0.149,-0.591,PC2
HNRNPD,-0.7298,-0.4039,-0.7298,-0.5908,depth
TMEM123,0.2635,-0.57,0.2635,-0.5908,PC2
EPHX1,-0.3315,0.557,-0.3315,0.5904,PC2
PRKX,-0.6577,-0.4446,-0.6577,-0.5902,depth
NDST2,0.1943,-0.5785,0.1943,-0.5897,PC2
ZRANB2,0.3907,-0.5422,0.3907,-0.589,PC2
MX2,0.4208,-0.5337,0.4208,-0.5884,PC2
SERINC2,0.6187,-0.4619,0.6187,-0.5879,depth
ACTR1B,-0.1982,-0.5761,-0.1982,-0.5878,PC2
YBX3,0.3144,-0.5579,0.3144,-0.5877,PC2
PDE6D,-0.2939,-0.5618,-0.2939,-0.5877,PC2
TMEM87A,-0.4103,-0.5355,-0.4103,-0.5872,PC2
IQGAP2,-0.1715,0.5783,-0.1715,0.587,PC2
PKN3,-0.459,-0.5215,-0.459,-0.5869,PC2
LRMP,0.4424,0.5264,0.4424,0.5869,PC2
ZFHX3,-0.1307,-0.5811,-0.1307,-0.5862,PC2
PLA2G16,-0.4324,0.5286,-0.4324,0.5862,PC2
ARHGEF2,-0.2409,-0.5684,-0.2409,-0.5857,PC2
F13A1,-0.3169,0.5556,-0.3169,0.5857,PC2
JARID2,0.5762,-0.4786,0.5762,-0.5856,depth
COL8A2,-0.6253,0.4569,-0.6253,0.5855,depth
OSBPL1A,0.0978,0.5826,0.0978,0.5854,PC2
WBSCR22,0.3988,-0.5368,0.3988,-0.5854,PC2
RHBDF1,0.1427,-0.5792,0.1427,-0.5852,PC2
PDE8B,-0.6832,-0.4271,-0.6832,-0.5849,depth
LY9,0.7041,0.4153,0.7041,0.5848,depth
LINC00887,-0.5688,-0.4809,-0.5688,-0.5847,depth
CNNM2,0.7348,0.3965,0.7348,0.5846,depth
MFAP1,0.5355,-0.4935,0.5355,-0.5844,depth
TAF4B,-0.5171,0.5,-0.5171,0.5841,depth
PLCE1,-0.4481,0.5221,-0.4481,0.584,PC2
AMACR,-0.6879,0.4238,-0.6879,0.5839,depth
STK11IP,-0.0547,-0.583,-0.0547,-0.5839,PC2
ACVRL1,-0.58,-0.4757,-0.58,-0.5839,depth
SYT6,-0.3722,0.5418,-0.3722,0.5837,PC2
CTU2,-0.2863,0.5593,-0.2863,0.5837,PC2
MTBP,0.0864,-0.5814,0.0864,-0.5836,PC2
HS3ST1,-0.1647,-0.5755,-0.1647,-0.5835,PC2
COL7A1,-0.155,-0.5761,-0.155,-0.5832,PC2
SULF2,-0.5173,0.4987,-0.5173,0.5827,depth
TNFAIP1,0.258,-0.5629,0.258,-0.5826,PC2
FKBP1B,0.2067,-0.5689,0.2067,-0.5815,PC2
HSD3B7,-0.4069,0.5312,-0.4069,0.5815,PC2
SCUBE1,0.6967,0.417,0.6967,0.5814,depth
C1orf116,-0.734,-0.3949,-0.734,-0.5814,depth
TTPAL,0.3263,-0.5494,0.3263,-0.5812,PC2
MCM2,0.7392,-0.3912,0.7392,-0.5809,depth
FABP5,-0.4249,-0.5257,-0.4249,-0.5807,PC2
TBX1,0.7527,0.382,0.7527,0.5803,depth
PREP,0.6077,-0.4609,0.6077,-0.5803,depth
NAT8L,0.7376,-0.3919,0.7376,-0.5803,depth
ANKRD55,-0.0279,0.58,-0.0279,0.5802,PC2
IL12A,-0.249,-0.5619,-0.249,-0.5801,PC2
KCNJ2,0.1985,-0.5684,0.1985,-0.5799,PC2
CMYA5,0.6258,0.4523,0.6258,0.5799,depth
VIPR1,-0.3943,0.5326,-0.3943,0.5795,PC2
FAM109A,0.447,0.5184,0.447,0.5795,PC2
VPREB3,-0.5801,0.4718,-0.5801,0.5792,depth
VASP,0.7516,-0.382,0.7516,-0.579,depth
HCN3,-0.2713,0.5573,-0.2713,0.579,PC2
MORF4L2-AS1,0.2983,-0.5526,0.2983,-0.5789,PC2
BEND7,-0.6342,0.4475,-0.6342,0.5788,depth
FBXO17,-0.5022,0.5001,-0.5022,0.5783,depth
IRF2BPL,-0.1315,-0.5731,-0.1315,-0.5782,PC2
C1QTNF5,-0.4698,-0.5103,-0.4698,-0.5781,PC2
KCNJ8,-0.7306,-0.3945,-0.7306,-0.5778,depth
SCARB2,-0.1429,-0.5718,-0.1429,-0.5777,PC2
ASPRV1,0.1153,0.5738,0.1153,0.5776,PC2
SYCP2,-0.7447,0.3855,-0.7447,0.5776,depth
ALDH6A1,-0.4233,0.5233,-0.4233,0.5776,PC2
NRG1,0.7457,0.3848,0.7457,0.5775,depth
TFPI2,-0.7416,-0.3874,-0.7416,-0.5774,depth
LINC00526,-0.2209,0.5632,-0.2209,0.5774,PC2
HABP2,0.1703,0.5688,0.1703,0.5773,PC2
ZNF629,0.5753,-0.4721,0.5753,-0.5771,depth
TRERF1,-0.6292,-0.4479,-0.6292,-0.5763,depth
LRIF1,0.3743,-0.5341,0.3743,-0.576,PC2
MCM4,-0.0853,-0.5738,-0.0853,-0.5759,PC2
PTBP3,-0.1441,-0.5694,-0.1441,-0.5754,PC2
TRIB3,0.5157,-0.493,0.5157,-0.5754,depth
PMP2,-0.7142,0.4026,-0.7142,0.5752,depth
WNK1,0.012,0.5751,0.012,0.5751,PC2
SLC52A3,0.6386,-0.4424,0.6386,-0.5749,depth
RHBDL3,0.6528,0.4355,0.6528,0.5749,depth
FABP3,0.206,0.5624,0.206,0.5747,PC2
CDK5R1,-0.5119,0.4934,-0.5119,0.5744,depth
MBP,-0.4802,-0.5038,-0.4802,-0.5743,PC2
RGS14,0.548,0.4802,0.548,0.5741,depth
TRIM47,0.4126,0.5229,0.4126,0.574,PC2
PLIN3,-0.724,-0.3957,-0.724,-0.5737,depth
KCTD16,0.0181,-0.5734,0.0181,-0.5735,PC2
SAT2,-0.5834,0.4658,-0.5834,0.5735,depth
ANGPTL2,-0.7046,-0.4069,-0.7046,-0.5734,depth
CXCL9,0.3591,0.5351,0.3591,0.5733,PC2
C8orf82,0.7573,0.3742,0.7573,0.573,depth
C1orf159,-0.1552,-0.566,-0.1552,-0.5729,PC2
MAGOHB,-0.1058,-0.5697,-0.1058,-0.5729,PC2
RGS6,0.6933,0.4126,0.6933,0.5725,depth
KRBA1,-0.0537,-0.5712,-0.0537,-0.5721,PC2
C2orf88,0.3356,0.5388,0.3356,0.572,PC2
LEPR,-0.4476,-0.5115,-0.4476,-0.572,PC2
DUSP5P1,-0.6088,-0.4538,-0.6088,-0.572,depth
ALKBH4,0.6498,0.4346,0.6498,0.5717,depth
TMEM43,0.3166,-0.5418,0.3166,-0.5711,PC2
EEFSEC,0.7485,0.3782,0.7485,0.5704,depth
C19orf12,-0.0291,0.5701,-0.0291,0.5703,PC2
FAM103A1,0.514,-0.4887,0.514,-0.5697,depth
ATP1A3,-0.4856,0.4978,-0.4856,0.5694,PC2
JADE1,0.6791,-0.4179,0.6791,-0.5693,depth
XRCC6,0.7198,-0.3951,0.7198,-0.5691,depth
PJA1,0.75,-0.3763,0.75,-0.5689,depth
UPK1B,-0.6337,0.44,-0.6337,0.5688,depth
COX4I2,0.6759,-0.4192,0.6759,-0.5688,depth
ACOT13,-0.7525,0.3745,-0.7525,0.5687,depth
TTR,0.5246,0.484,0.5246,0.5685,depth
FBXL22,-0.6,-0.4548,-0.6,-0.5685,depth
GAB1,0.3571,-0.5308,0.3571,-0.5683,PC2
TRIM43,-0.3671,0.5285,-0.3671,0.5682,PC2
MAPRE1,-0.0889,-0.5656,-0.0889,-0.5679,PC2
CLRN1,0.4466,0.5081,0.4466,0.5679,PC2
NUP205,-0.3112,-0.5392,-0.3112,-0.5674,PC2
ADCY5,0.7179,-0.395,0.7179,-0.5674,depth
ACKR4,-0.3705,-0.5267,-0.3705,-0.567,PC2
LOC642852,-0.4235,-0.5134,-0.4235,-0.5667,PC2
TMEM52B,-0.2442,0.5495,-0.2442,0.5667,PC2
MKL1,0.5619,-0.4687,0.5619,-0.5666,depth
SLC18B1,-0.3516,-0.5302,-0.3516,-0.5664,PC2
SCCPDH,-0.3136,-0.5377,-0.3136,-0.5663,PC2
SH3GLB2,-0.7141,-0.3962,-0.7141,-0.5659,depth
AQP6,0.5456,-0.4742,0.5456,-0.5659,depth
MED9,-0.4408,-0.5079,-0.4408,-0.5659,PC2
CCL21,0.0201,0.5656,0.0201,0.5657,PC2
KIAA2013,-0.5135,0.4853,-0.5135,0.5656,depth
SYNGR1,0.5678,-0.4655,0.5678,-0.5655,depth
AATK,0.7154,0.3951,0.7154,0.5654,depth
ELFN2,0.6968,-0.4053,0.6968,-0.5651,depth
SYPL1,-0.3573,-0.5276,-0.3573,-0.5649,PC2
DERL1,-0.426,-0.511,-0.426,-0.5648,PC2
ADAM12,0.6903,-0.4085,0.6903,-0.5646,depth
SAMD13,-0.4957,-0.4903,-0.4957,-0.5645,depth
ELMSAN1,-0.3705,-0.5242,-0.3705,-0.5643,PC2
GNAZ,0.2359,-0.5482,0.2359,-0.5641,PC2
CCL16,0.588,0.4563,0.588,0.5641,depth
C16orf59,0.442,-0.5059,0.442,-0.564,PC2
LIPG,-0.6097,-0.4467,-0.6097,-0.5635,depth
TSPAN2,-0.4507,0.503,-0.4507,0.5635,PC2
PON1,-0.193,0.5529,-0.193,0.5635,PC2
ZMYND8,0.4259,-0.5094,0.4259,-0.563,PC2
FOCAD,0.5499,-0.4702,0.5499,-0.563,depth
RGS19,0.705,-0.3991,0.705,-0.5628,depth
NCAM2,-0.6476,-0.4287,-0.6476,-0.5626,depth
TICAM2,0.2688,-0.5418,0.2688,-0.5625,PC2
PDCL,0.3491,-0.5269,0.3491,-0.5623,PC2
ZKSCAN7,-0.665,-0.4198,-0.665,-0.5621,depth
RBM5,0.4605,-0.4982,0.4605,-0.5613,PC2
FAM110B,0.6478,-0.4273,0.6478,-0.561,depth
SLX4,0.5046,-0.4842,0.5046,-0.5608,depth
ROR1,-0.1046,0.5578,-0.1046,0.5608,PC2
TOR1AIP2,0.3925,-0.5157,0.3925,-0.5607,PC2
GIPC1,-0.4475,-0.5011,-0.4475,-0.5604,PC2
SIX5,0.0884,-0.5581,0.0884,-0.5603,PC2
LRP3,-0.6912,-0.4048,-0.6912,-0.5602,depth
TMEM133,-0.3754,0.5191,-0.3754,0.5601,PC2
ESM1,-0.2244,0.5458,-0.2244,0.5601,PC2
EEPD1,0.6501,-0.4252,0.6501,-0.5596,depth
CBLN3,-0.001,-0.5595,-0.001,-0.5595,PC2
PTPRE,-0.7425,-0.3746,-0.7425,-0.5593,depth
DCK,-0.3429,-0.5253,-0.3429,-0.5592,PC2
FAM83B,0.3151,-0.5306,0.3151,-0.5591,PC2
SELT,0.7374,-0.3774,0.7374,-0.5588,depth
ERF,0.3085,0.5312,0.3085,0.5585,PC2
STK19,-0.7096,0.3935,-0.7096,0.5584,depth
SQLE,-0.4381,-0.5015,-0.4381,-0.5579,PC2
PLA2G4F,0.7205,-0.3868,0.7205,-0.5578,depth
GAL,0.1246,-0.5534,0.1246,-0.5577,PC2
CRHBP,-0.5544,0.4638,-0.5544,0.5573,depth
C16orf70,0.1989,0.5457,0.1989,0.5568,PC2
STAU1,-0.3266,0.5263,-0.3266,0.5568,PC2
CKAP5,-0.7543,-0.3656,-0.7543,-0.5568,depth
ALLC,0.522,0.4749,0.522,0.5567,depth
NINL,0.7081,0.3929,0.7081,0.5565,depth
PPP1R16A,-0.7314,0.3794,-0.7314,0.5564,depth
ABT1,0.2252,-0.5419,0.2252,-0.5562,PC2
POMC,-0.1037,-0.5529,-0.1037,-0.5559,PC2
DNAJB9,-0.0312,0.5556,-0.0312,0.5559,PC2
TCTEX1D1,-0.3607,-0.5182,-0.3607,-0.5556,PC2
DHCR24,-0.2018,-0.544,-0.2018,-0.5555,PC2
TMEM217,-0.7601,-0.3604,-0.7601,-0.5546,depth
RASAL2,0.5792,-0.452,0.5792,-0.5545,depth
PARD6A,-0.4695,-0.4895,-0.4695,-0.5545,PC2
PAK2,-0.2327,-0.5391,-0.2327,-0.5543,PC2
FAM20A,-0.5031,-0.479,-0.5031,-0.5543,depth
GPCPD1,0.3084,-0.5273,0.3084,-0.5543,PC2
C21orf62,-0.6828,-0.4049,-0.6828,-0.5542,depth
TIMM9,0.3507,0.5189,0.3507,0.5541,PC2
P2RX4,0.6228,0.4335,0.6228,0.554,depth
ICA1L,-0.61,-0.4388,-0.61,-0.5537,depth
ZNF239,-0.7168,-0.386,-0.7168,-0.5536,depth
HGD,-0.6273,0.431,-0.6273,0.5534,depth
CSRNP2,-0.7456,-0.3686,-0.7456,-0.5531,depth
SRL,0.7663,-0.3553,0.7663,-0.553,depth
KDM5B,0.1462,-0.5469,0.1462,-0.5528,PC2
GPR83,-0.2191,-0.5392,-0.2191,-0.5526,PC2
BEGAIN,-0.349,0.5179,-0.349,0.5526,PC2
DHRS12,0.1467,0.5466,0.1467,0.5525,PC2
KIAA1958,-0.2087,0.54,-0.2087,0.5522,PC2
ERLEC1,0.6155,-0.4346,0.6155,-0.5514,depth
TMEM109,0.4451,-0.4934,0.4451,-0.551,PC2
ZNF77,0.0978,-0.5484,0.0978,-0.551,PC2
MUC2,0.2768,0.5294,0.2768,0.551,PC2
HSPA4L,0.2826,0.5283,0.2826,0.5508,PC2
INTS6-AS1,-0.7042,-0.3909,-0.7042,-0.5506,depth
SPRYD4,-0.5873,0.4455,-0.5873,0.5505,depth
ZNF347,-0.6912,-0.3977,-0.6912,-0.5504,depth
YAP1,0.3322,-0.5188,0.3322,-0.5501,PC2
TMED2,0.7361,-0.3722,0.7361,-0.5499,depth
RHOBTB3,-0.3737,-0.5096,-0.3737,-0.5494,PC2
PLAUR,0.6734,-0.4061,0.6734,-0.5493,depth
TNRC6C,0.3959,-0.5041,0.3959,-0.549,PC2
KAT6A,0.7179,-0.3819,0.7179,-0.5486,depth
FBXO21,-0.6488,0.4175,-0.6488,0.5486,depth
ODAM,-0.1997,-0.5376,-0.1997,-0.5486,PC2
HOXD10,-0.4214,-0.4975,-0.4214,-0.5485,PC2
RPSA,0.4983,-0.4753,0.4983,-0.5483,depth
HSD3B2,-0.3591,0.5118,-0.3591,0.5483,PC2
