gene,r_pc1,r_pc2,r_depth,clean_r,dominant
KCNJ15,-0.5254,0.637,-0.5254,0.7487,PC2
HSPD1,-0.2195,0.73,-0.2195,0.7482,PC2
ACAD10,-0.6398,0.5743,-0.6398,0.7473,depth
SUCLG1,0.0919,0.7433,0.0919,0.7464,PC2
OSBPL3,0.643,-0.5711,0.643,-0.7457,depth
SEPP1,0.4853,0.6517,0.4853,0.7454,PC2
DPP6,0.2476,0.7219,0.2476,0.7451,PC2
LDHD,-0.5907,0.6012,-0.5907,0.745,PC2
FIBCD1,0.2925,0.712,0.2925,0.7446,PC2
DBNL,-0.4018,-0.6815,-0.4018,-0.7442,PC2
TMEM63A,0.2606,0.7183,0.2606,0.744,PC2
TMC6,0.0597,-0.7426,0.0597,-0.7439,PC2
GCSH,0.451,0.6639,0.451,0.7438,PC2
B4GALT4,-0.237,0.7225,-0.237,0.7437,PC2
VWA5A,-0.4376,-0.6686,-0.4376,-0.7436,PC2
SLCO2B1,-0.644,0.5687,-0.644,0.7434,depth
DPY19L2P4,-0.4378,0.6681,-0.4378,0.7431,PC2
PSD4,-0.1736,-0.7313,-0.1736,-0.7426,PC2
P2RY2,-0.2809,-0.7124,-0.2809,-0.7423,PC2
PLEKHS1,-0.6781,-0.5453,-0.6781,-0.7419,depth
RHEB,0.464,-0.657,0.464,-0.7417,PC2
CCNJL,0.5865,-0.6006,0.5865,-0.7415,PC2
PRKCQ,-0.1467,-0.733,-0.1467,-0.741,PC2
IDH3G,0.4355,0.6653,0.4355,0.7391,PC2
ULK4,-0.6609,0.5547,-0.6609,0.7391,depth
HSD17B2,-0.5831,-0.6005,-0.5831,-0.7391,PC2
CTNNBIP1,0.052,0.7381,0.052,0.7391,PC2
ST3GAL2,0.3965,-0.6782,0.3965,-0.7388,PC2
DOCK6,0.5034,-0.6383,0.5034,-0.7387,PC2
SEC14L4,-0.2573,-0.7136,-0.2573,-0.7384,PC2
SEMA6A,-0.1296,0.7321,-0.1296,0.7383,PC2
SAMM50,0.2458,0.7157,0.2458,0.7383,PC2
C11orf45,-0.6698,-0.5481,-0.6698,-0.7382,depth
SYN2,-0.3973,0.6769,-0.3973,0.7376,PC2
SHMT2,-0.2327,0.7173,-0.2327,0.7375,PC2
FAM43B,-0.2966,-0.7042,-0.2966,-0.7374,PC2
BCL6B,-0.4637,-0.6528,-0.4637,-0.7368,PC2
