sample_id,depth_v2_metabolic,depth_pure_metab
TCGA-FV-A495-01,0.43705295400765404,0.10856120969337346
TCGA-CC-A3MB-01,0.37183136585657334,0.1645227611643063
TCGA-BC-A3KF-01,0.26706363040516123,0.07738472353362447
TCGA-DD-A4NV-01,0.18650858942998577,0.07551759331999974
TCGA-CC-A1HT-01,0.7434447934190739,0.6505831105308966
TCGA-BD-A3EP-01,0.31566166540605856,0.19345092606477865
TCGA-CC-A3MA-01,0.5651153447691966,0.4052031401201961
TCGA-ZP-A9CV-01,0.19251538035632715,0.1282031371788258
TCGA-DD-AACY-01,0.11543930640473879,0.08419380741042193
TCGA-XR-A8TG-01,0.2837731249743394,0.08364437463781049
TCGA-CC-A9FW-01,0.5370144959945158,0.3581366346363154
TCGA-BC-A10Y-01,0.2656114554053404,0.14787153626519256
TCGA-KR-A7K7-01,0.5151010961204,0.23519546335613017
TCGA-ED-A459-01,0.3018225347219475,0.15386058878731546
TCGA-PD-A5DF-01,0.3009222819108549,0.1808504442814819
TCGA-ED-A5KG-01,0.6028948129169796,0.4363331539146592
TCGA-DD-AAVX-01,0.16678860195409875,0.21212693426514162
TCGA-ED-A7PY-01,0.4190771025683744,0.11878160047319797
TCGA-RC-A7SF-01,0.22948638118226566,0.06747846241223376
TCGA-DD-AAW0-01,0.26665115776534243,0.10958007217899113
TCGA-ED-A66X-01,0.5817738481177785,0.2918841014507868
TCGA-DD-AAC8-01,0.30422498585605084,0.39837346722094635
TCGA-FV-A3I1-01,0.3728418674690537,0.1949574542558563
TCGA-RC-A7S9-01,0.35880654685871777,0.18463058881707095
TCGA-ZP-A9D2-01,0.5303321752555257,0.35094988926076665
TCGA-G3-A5SL-01,0.1778450361293195,0.06711844864682537
TCGA-CC-A3M9-01,0.7992592132080849,1.0
TCGA-BC-A216-01,0.47900411939302895,0.15569360004933297
TCGA-ED-A7XP-01,0.26720613298747203,0.1814810566288303
TCGA-DD-A11A-01,0.2339146880875351,0.09330356748977353
TCGA-DD-A73B-01,0.2644312159343599,0.06730727939605996
TCGA-DD-AACA-01,0.2649430521246498,0.2159641398052926
TCGA-DD-A1EH-01,0.5223871971727594,0.36221561412664083
TCGA-DD-AA3A-01,0.6304638954754962,0.5255777426785773
TCGA-RG-A7D4-01,0.4506722581019665,0.25363087412177343
TCGA-DD-A73F-01,0.2699024626197597,0.07359928467896437
TCGA-WX-AA46-01,0.06035882507827423,0.0
TCGA-K7-AAU7-01,0.5898078109125717,0.3275913490809482
TCGA-DD-A3A2-01,0.11327428479650711,0.11630091738819293
TCGA-EP-A26S-01,0.15651338182846464,0.1685105606981161
TCGA-FV-A2QQ-01,0.2444582529592507,0.11290961124978927
TCGA-3K-AAZ8-01,0.08168694591618561,0.11554030007076665
TCGA-DD-A3A5-01,0.17069827844504343,0.0971148896872025
TCGA-DD-AADP-01,0.2956228412014075,0.11130190272005025
TCGA-CC-5259-01,0.37966312085676646,0.16325800692389303
TCGA-DD-AAD2-01,0.38360187936874124,0.17467550229882112
TCGA-ES-A2HT-01,0.11949931742553985,0.07068387908975815
