sample_id,depth_s1
GSM362958,0.34773895431260704
GSM362959,0.5281843245246948
GSM362960,0.40415264694267256
GSM362964,0.19250003620302839
GSM362965,0.31696216420515705
GSM362966,0.30189913913621946
GSM362970,0.2830820303876064
GSM362971,0.171427000600265
GSM362972,0.13548227303277516
GSM362976,0.10776257064183149
GSM362977,0.161683530357373
GSM362978,0.16523538416003655
GSM362982,0.3818505653518299
GSM362983,0.4333179001902474
GSM362984,0.09954550335714267
GSM362986,0.46873765993778616
GSM362987,0.16596318756534317
GSM362988,0.24355046637191363
GSM362992,0.25486305197354553
GSM362993,0.36583675949734146
GSM362994,0.2029330974253417
GSM363008,0.39724578060180626
GSM363009,0.36868005508184143
GSM363010,0.2400255685830049
GSM363011,0.3894220581237886
GSM363012,0.0810094552347621
GSM363013,0.36871288387633
GSM363014,0.21003781222003673
GSM363015,0.3646162213205368
GSM363016,0.09767956600423341
GSM363017,0.47399554110193753
GSM363029,0.2026191552043867
GSM363030,0.4319177146968491
GSM363031,0.303945549681079
GSM363032,0.5302027369983531
GSM363033,0.480898284043405
GSM363034,0.2545799241683439
GSM363035,0.058026922086118
GSM363036,0.2810670967520014
GSM363037,0.3820566038192986
GSM363038,0.28398759624077946
GSM363039,0.11766610828061569
GSM363048,0.3858109026848334
GSM363049,0.3457490818597212
GSM363050,0.44173626487989287
GSM363051,0.47523892484409924
GSM363052,0.4324885808635265
GSM363053,0.18996261436600412
GSM363054,0.5112311477163334
GSM363055,0.526712389490804
GSM363056,0.4886285610659491
GSM363057,0.15088274240414049
GSM363069,0.4294847815340312
GSM363070,0.7220459711672149
GSM363071,0.26203284554710604
GSM363072,0.17403310557929186
GSM363073,0.40193850200946546
GSM363074,0.289537637038823
GSM363075,0.23721513566484143
GSM363076,0.37369065481845887
GSM363077,0.4491926033303963
GSM363078,0.27104902145864485
GSM363079,0.44523234669209016
GSM363080,0.6099206965193262
GSM363081,0.4402481928990435
GSM363082,0.13522043866529962
GSM363083,0.5058223106834461
GSM363084,0.09559693350268406
GSM363085,0.5166237571452563
GSM363086,0.17030703391804924
GSM363087,0.32064168996963466
GSM363098,0.267877103195702
GSM363099,0.32961916629841315
GSM363100,0.3897307362610464
GSM363101,0.41563192886012884
GSM363102,0.11822418782461028
GSM363104,0.07373243434844814
GSM363105,0.46908956253822703
GSM363106,0.32545414138694395
GSM363107,0.21631103690103537
GSM363108,0.12807118737142095
GSM363109,0.35061137370914486
GSM363115,0.26600027405114623
GSM363121,0.45476826718534646
GSM363122,0.1982604879256465
GSM363123,0.29142288533010974
GSM363124,0.053972240697433976
GSM363125,0.371763490115067
GSM363126,0.26554065100369195
GSM363127,0.5436820738439923
GSM363128,0.3003562874108087
GSM363129,0.7008792191341926
GSM363130,0.11221107104306136
GSM363142,0.278291044755957
GSM363143,0.2560605353765193
GSM363144,0.20464061714061027
GSM363145,0.4678176248280613
GSM363146,0.38172009995877265
GSM363147,0.42553229350372457
GSM363148,0.3828087590909748
GSM363149,0.11848860840731629
GSM363150,0.6189151695422683
GSM363151,0.29869534447546053
GSM363152,0.3515249701790257
GSM363164,0.29701742576679624
GSM363166,0.18330208203715392
GSM363168,0.20939070650052333
GSM363169,0.3731391045713134
GSM363170,0.39170824449312086
GSM363172,0.3471058446400018
GSM363174,0.36041388557208226
GSM363176,0.045704277972183155
GSM363178,0.2578276257104031
GSM363180,0.3611264546155609
GSM363182,0.23762038044875797
GSM363184,0.8019057750297676
GSM363186,0.03594050354877731
GSM363188,0.21810528847222493
GSM363190,0.4183948903830881
GSM363192,0.2345471826835255
GSM363194,0.55344220704372
GSM363196,0.0910856874951886
GSM363198,0.24915537259036974
GSM363200,0.1366226923338978
GSM363202,0.16675533054624067
GSM363204,0.4508739391108022
GSM363205,0.20527296370040105
GSM363207,0.31725777079771533
GSM363209,0.4396541055879869
GSM363211,0.38003841350511547
GSM363213,0.28177463283733495
GSM363215,0.4120646902647822
GSM363217,0.41594319620130976
GSM363218,0.6154945661625544
GSM363220,0.2122031597748068
GSM363222,0.6284069500362103
GSM363224,0.25397810012867383
GSM363226,0.09806786589798977
GSM363228,0.3167480831662104
GSM363230,0.23038578006734817
GSM363232,0.23011488996164264
GSM363235,0.5038855542696384
GSM363237,0.5451969583813571
GSM363239,0.2617403750891955
GSM363241,0.2151099859954651
GSM363243,0.07010842952426799
GSM363245,0.5730276378978926
GSM363247,0.20418826159704934
GSM363249,0.5932422144222039
GSM363251,0.24942714137166608
GSM363263,0.5879560124080631
GSM363264,0.14665908133857325
GSM363265,0.3329823867824109
GSM363266,0.3281650349056567
GSM363267,0.18586883789092062
GSM363268,0.5064191555614358
GSM363269,0.06778278643674597
GSM363270,0.23445940080031127
GSM363271,0.5399334624602572
GSM363272,0.08307513188761195
GSM363273,0.05444444315155837
GSM363274,0.42934495854480303
GSM363275,0.15283382461726047
GSM363288,0.26286860949105584
GSM363289,0.296531212322301
GSM363290,0.25020560610328935
GSM363291,0.32474720503256926
GSM363292,0.30441586128909115
GSM363293,0.12226419074826884
GSM363294,0.3382092373487193
GSM363295,0.02850942552715885
GSM363296,0.5102781543021124
GSM363297,0.48330219002857583
GSM363298,0.4530084264232008
GSM363309,0.3761011349308662
GSM363310,0.26849211932400185
GSM363311,0.19249903797973825
GSM363312,0.15992411996694528
GSM363313,0.1320802304296252
GSM363314,0.3841782078746243
GSM363315,0.3662030028405568
GSM363316,0.44434495109299643
GSM363317,0.4857992376188173
GSM363326,0.43422617479504266
GSM363327,0.12994039435390875
GSM363328,0.21433585287548373
GSM363329,0.42413288905529567
GSM363330,0.55417981535284
GSM363331,0.34906826296371846
GSM363332,0.5693840601266269
GSM363333,0.3736231123607548
GSM363334,0.31669515641098955
GSM363335,0.08842563761303436
GSM363336,0.17903682434957754
GSM363337,0.43764364204010897
GSM363339,0.4688050539570969
GSM363341,0.4466408766149069
GSM363343,0.340565466715135
GSM363344,0.23077182250204742
GSM363346,0.2801752091481022
GSM363348,0.5521051317770704
GSM363350,0.4507902437664462
GSM363352,0.4387934398582501
GSM363354,0.5798996501069964
GSM363355,0.39379258254184857
GSM363357,0.5353612819941425
GSM363358,0.2008253569182243
GSM363360,0.38669625899942117
GSM363362,0.3769694706417508
GSM363364,0.11765955208553397
GSM363366,0.10221413477165261
GSM363368,0.21818849865216747
GSM363371,0.22122837648111315
GSM363376,0.27305851965885
