sample_id,s1_depth,stromal_score,immune_score
TCGA-B1-A657-01,0.7757326292484992,0.40372117011290654,0.638326978007055
TCGA-A4-A5Y1-01,0.3948178556676152,0.5286628341721334,0.6035347851329385
TCGA-Q2-A5QZ-01,0.456350775576376,0.5341682885825958,0.5552954915251703
TCGA-A4-8312-01,0.5762612375156051,0.3036803349543656,0.3900265536634005
TCGA-UZ-A9PX-01,0.6480391586726135,0.40575497313895115,0.46748650514087886
TCGA-A4-8311-01,0.740746432100998,0.34530170287914397,0.3405687982411624
TCGA-GL-A9DD-01,0.6244779693981207,0.5259144158716185,0.6471975793557517
TCGA-F9-A4JJ-01,0.8593073607364745,0.4827140000954586,0.6450953797290145
TCGA-IA-A83V-01,0.6826639864297688,0.83279858720958,0.7305222608073078
TCGA-SX-A7SO-01,0.1686265660021144,0.2614828996144527,0.3121562953445123
TCGA-PJ-A5Z9-01,0.6642421761515549,0.40848284127851203,0.41666742803226287
TCGA-F9-A8NY-01,0.8088144012367259,0.4821134050688631,0.4519720891678163
TCGA-G7-7502-01,0.698631803558597,0.595558248436862,0.6586471336246456
TCGA-MH-A856-01,0.8165580382959567,0.4747272794768859,0.45141310838994425
TCGA-BQ-5879-01,0.7883383727166949,0.6937668047283935,0.5099474491622348
TCGA-MH-A855-01,0.4634472842148073,0.4452318323318997,0.7023381675895803
TCGA-2Z-A9JP-01,0.5842621190240647,0.3716171783435773,0.49384913499178135
TCGA-DW-7840-01,0.6587356626107483,0.39813881832597064,0.4980958938584374
TCGA-DW-5560-01,0.7349187724681594,0.4705012383129247,0.4780398628877461
TCGA-BQ-5892-01,0.3345005477391538,0.7240013947593114,0.6867274042610447
TCGA-BQ-5875-01,0.3192990901939169,0.3637902186537127,0.3493380687504827
TCGA-HE-A5NJ-01,0.8234368172698779,0.46475647396360914,0.2076592825278223
TCGA-G7-6790-01,0.529879062961219,0.3593063061151974,0.4522868792344039
TCGA-B9-A5W9-01,0.5699242491571849,0.38907553443676673,0.33667254440907096
TCGA-GL-8500-01,0.665027593127332,0.1837853926804305,0.332028767991415
TCGA-V9-A7HT-01,0.5827182211026132,0.38161847764407647,0.6287254656858062
TCGA-P4-AAVK-01,0.5756827244075985,0.5004196210285157,0.44856670850024544
TCGA-PJ-A5Z8-01,0.5980707242298045,0.5984266531610127,0.7235902346971742
TCGA-B9-A44B-01,0.4386881117812281,0.5483094509527322,0.26025497164812944
TCGA-UZ-A9Q1-01,0.2662450341146962,0.02670659143098064,0.3650709274346602
TCGA-A4-A772-01,0.6777235957270287,0.38964099531721497,0.5577025142506876
TCGA-5P-A9KH-01,0.611155013012838,0.18271346976872468,0.38153718883334153
TCGA-UZ-A9PJ-01,0.8110597247685514,0.24975604970222165,0.24057768545412406
TCGA-UZ-A9PQ-01,0.4848454405156215,0.45048405572673345,0.18760740446038418
TCGA-2Z-A9JM-01,0.7279404583552047,0.5506740452792968,0.6530797515234925
TCGA-A4-8518-01,0.3026668890991768,0.479301347560232,0.5112132540737904
TCGA-BQ-7059-01,0.6418045040732145,0.5988688130757359,0.7279524442742676
TCGA-B3-4103-01,0.6447433527077595,0.53293395310851,0.4918756753658915
TCGA-BQ-7062-01,0.6651665563979068,0.4833212242062336,0.7103433039003237
TCGA-Y8-A8S1-01,0.4617660424155961,0.7262440139369868,0.8759062673124153
TCGA-2Z-A9J1-01,0.6966320563827965,0.38674077098900617,0.5917579820876976
TCGA-BQ-5891-01,0.5147844168575105,0.289122203189385,0.3626024417409967
TCGA-Y8-A8S0-01,0.7034534764644564,0.3312666058558679,0.3318734494097478
TCGA-DW-7837-01,0.6656295688067468,0.4546829176455614,0.5679128421888459
TCGA-P4-AAVM-01,0.4680466332354285,0.1975944379332108,0.28602539749513484
TCGA-GL-A9DE-01,0.1324406479671082,0.2170594178073114,0.40832258423541307
TCGA-B1-A656-01,0.4209588789833847,0.7695498321515888,0.8152987972361597
TCGA-BQ-7053-01,0.4218045216848402,0.5441291504696043,0.5994350390414435
TCGA-2Z-A9JQ-01,0.7703711610192112,0.41802540795384047,0.43066105083402756
TCGA-EV-5902-01,0.6703936967466992,0.13809177834463812,0.10256092932007832
TCGA-MH-A857-01,0.5860434237129658,0.33937066126440496,0.32018884081672655
TCGA-IZ-8196-01,0.74982404510865,0.5425063506626434,0.2489524301543966
TCGA-DW-7842-01,0.769628415276977,0.4272073524498447,0.2392055662192882
TCGA-SX-A7SM-01,0.4897730284954318,0.5579037244846552,0.43715536094128027
TCGA-UZ-A9PZ-01,0.7728232929718999,0.37091714705430034,0.32724794576640576
TCGA-J7-8537-01,0.3637599403689353,0.6392246888307889,0.8409928096633075
TCGA-A4-A48D-01,0.5090504034666194,0.2145735112402752,0.5787186964535036
TCGA-IA-A83S-01,0.5878417139285403,0.5135982403758955,0.5771613577335779
TCGA-UZ-A9PR-01,0.7277965464593734,0.3103611259897225,0.30327655760865857
TCGA-B3-3925-01,0.7020471700164255,0.4553418486129304,0.5773008952828832
TCGA-A4-7734-01,0.8108136934568271,0.5445036937257046,0.5524092237642414
TCGA-DW-7841-01,0.748544707354452,0.4685045581582816,0.7681857709906419
TCGA-G7-A4TM-01,0.7629912518008832,0.5538699267618781,0.59521818107821
TCGA-IA-A83W-01,0.7931531580661548,0.5725659328712421,0.6699189436343053
TCGA-DZ-6131-01,0.451352686518422,0.5273250849848592,0.42072813683317867
