gene,CIMP_hi,CIMP_mid,non_CIMP,p_hi_vs_rest
CDKN2A,4.988522222222222,6.188209090909091,5.715484814814814,0.27487814908855335
CDK4,11.362111111111112,10.706481818181818,10.877017037037037,0.004379723571744348
KRT19,14.931022222222222,12.848699999999997,11.972184074074075,0.00027374188192360265
SLC22A6,0.6943666666666667,2.712,4.849837777777778,0.001776751645326952
SETD2,10.812877777777778,10.550454545454546,10.462956666666667,0.09588385786774406
PBRM1,9.948288888888888,9.318890909090909,9.236285925925927,0.01195520651696082
TET2,8.756266666666669,8.868,8.508272222222221,0.679122222827933
B2M,14.970233333333333,15.210918181818181,15.267998518518517,0.3835258459329388
HLA-A,14.387633333333333,15.55518181818182,15.459834444444446,0.01775550065837711
MKI67,10.525155555555555,8.513045454545454,7.217302592592592,1.1431605881417659e-06
MET,12.487355555555556,13.989763636363637,13.399873333333334,0.25420590965534107
ERBB2,12.631377777777779,12.755963636363635,12.647585555555557,0.6336075779500878
EZH2,8.33862222222222,7.867627272727273,6.838943333333333,2.5831029413985187e-06
FH,9.200422222222223,10.185063636363635,10.769493333333333,2.2824703954746083e-06
OGDHL,6.686588888888889,11.291163636363637,12.659837407407409,1.2182593092095512e-06
CA9,5.7558,4.038454545454545,5.614057407407407,0.861640302646203
ARG1,1.0048333333333332,0.46830909090909095,0.44798518518518515,0.13062447268735305
