gene,normal_mean,tumor_mean,change_pct,p_value,r_depth
PAEP,0.012803553312561868,1.9885692585842658,15431.385780486684,0.002591040386242343,0.015207719742133585
CST1,0.021457693385172515,1.7974994297941023,8276.946196072468,0.0032316732208015663,-0.2975765881050738
S100A7,0.015886494623112816,1.264994106173156,7862.701251494157,0.002981417722161174,0.747420390872466
AGR2,2.632379659725593,4.207754182661421,59.846022480664864,0.2948717948717949,0.9266964878862318
IL1RAP,3.864995696735946,6.1678386816865265,59.58203231365486,0.0011655011655011655,0.9682265423635348
ANXA8,0.012058186573171365,1.5405691566532833,12676.126387701976,0.03310613000038076,0.8530716211485845
ANXA8L1,0.0055711987620596995,1.754666291159763,17490.950923977034,0.0041628508391532235,0.8033142537985815
LY6D,0.0,1.6567849377651327,16567.849377651328,0.0065720223637605974,0.877981660795308
HOXC13,0.0,1.4237752922265052,14237.75292226505,0.0065720223637605974,0.34262503953987555
BARX1,0.0,0.8801626111644509,8801.62611164451,0.0065720223637605974,0.740725167988395
NPBWR1,0.00398063554930365,1.362122604499545,13581.41968950241,0.002591040386242343,0.16258718633584807
ISL2,0.011016230809656517,0.9179044922124783,8232.291761787244,0.002591040386242343,-0.20323793633653972
ESRP1,4.8362503573890026,4.541278597801598,-6.0991829990094715,0.6282051282051282,0.9026036362347971
ESRP2,5.200196228784096,4.075299617526299,-21.63181083496957,0.6282051282051282,0.6528634839950862
GPRC5A,3.963203512474667,6.237599206171319,57.38780979926247,0.03496503496503496,0.9556084705867547
SERPINA1,7.291901916466692,8.70875588697192,19.43051328358744,0.10139860139860139,0.9121564447938935
