gene,normal_mean,tumor_mean,change_pct,p_value
AVPR2,2.6297811245122538,1.3512516628990776,-48.6173335756338,0.03496503496503496
AVPR1A,5.853910133983544,2.8860551729340926,-50.69867649351575,0.002331002331002331
ADCY3,3.8755070280558037,5.44950287102737,40.613933391863334,0.0011655011655011655
ADCY6,6.514937074842038,5.880881444780679,-9.732336978507687,0.18065268065268064
PRKAR1A,8.82276080006577,8.34734332185261,-5.388534144659298,0.23426573426573427
PRKAR2A,5.466156679017192,5.099345232649079,-6.710591516269247,0.07342657342657342
PRKAR2B,4.635680037383113,4.864655532702086,4.939415435760566,0.4452214452214452
PRKACB,6.72278817705643,6.277897095895973,-6.617657279144745,0.13752913752913754
PRKACA,5.420275776019011,5.210351653947201,-3.872941723751034,0.36596736596736595
AQP2,9.695706927427835,2.73366768770583,-71.80538037950944,0.002331002331002331
AQP3,7.3480791578914335,4.897287236582652,-33.352824168704906,0.05128205128205128
AQP4,2.826766155126794,1.886262552600449,-33.27136207643462,0.2948717948717949
SCNN1A,7.978805608764042,5.3963470553122805,-32.366480399211,0.0011655011655011655
SCNN1B,5.43605727696669,2.2040057177544328,-59.45580398696123,0.008158508158508158
SCNN1G,7.025290603941575,2.690507116593641,-61.70255056660407,0.0011655011655011655
IL1RAP,3.864995696735946,6.1678386816865265,59.58203231365486,0.0011655011655011655
IL1B,1.7725070664765823,3.410719444690275,92.42346105114025,0.0011655011655011655
IL1A,0.23984204131970788,2.4896208294256645,938.0252001387097,0.002331002331002331
IL1R1,6.890908366741489,7.224835376716979,4.845906986474619,0.7307692307692307
IL1R2,2.714455087061434,3.5650647087009486,31.336293818010898,0.13752913752913754
IL1RN,0.9681823372963159,3.5173739356091795,263.29664362929543,0.0011655011655011655
NLRP3,2.578060829927527,3.9849056228285327,54.56988355626016,0.0011655011655011655
IL18,4.213531363478039,4.969214670755383,17.93467858878279,0.36596736596736595
NFKB1,5.9413886925983554,6.398765567896006,7.698147671561026,0.05128205128205128
NFKBIA,6.921227047037476,7.319320586229111,5.751776910165553,0.5337995337995338
IL6,0.771591377545691,2.7428569977440302,255.48051437130113,0.002331002331002331
PPARG,4.922418181855783,4.959445224993151,0.7522124648785562,0.8356643356643356
RXRA,6.406350450106511,5.631356664975631,-12.097274277556808,0.05128205128205128
KLF5,4.228668174925267,5.665614273526517,33.98105595331194,0.03496503496503496
KLF4,4.260570991041452,4.402779222122201,3.3377740068118897,0.6282051282051282
KLF2,4.63375708572899,3.638860934822334,-21.470615150948024,0.18065268065268064
FABP4,2.286658707492674,2.3488436515208293,2.719467659270472,0.7307692307692307
ADIPOQ,0.22724651483198402,1.1124056889333738,389.51496121110466,0.41895695524741705
CEBPA,3.0024639470012975,3.7095226195851008,23.549281026004532,0.13752913752913754
CEBPB,3.5935876503746584,5.5425085188395204,54.23329157594563,0.0011655011655011655
FASN,5.795402074852585,6.67947645431407,15.254754856400075,0.18065268065268064
SCD,5.082752629361768,7.427716150641298,46.13570032374332,0.03496503496503496
ACACA,6.240108034952367,7.018863379555874,12.479837532323291,0.008158508158508158
VDR,6.2318673622772325,5.292179076355896,-15.078759403793828,0.07342657342657342
CYP24A1,6.389690967999138,4.841369717706939,-24.231551385606977,0.13752913752913754
CYP27B1,4.423920085284122,2.30070748159957,-47.99391857794354,0.008158508158508158
CYP2R1,3.234105116582878,2.933188864650162,-9.304467266378188,0.23426573426573427
GC,1.9409097920283893,0.9624115208546603,-50.41441262198634,0.10139860139860139
CUBN,10.521159344574267,4.382063407685886,-58.349994861110964,0.0011655011655011655
LRP2,11.446342971001306,4.495663368518279,-60.724020065554555,0.0011655011655011655
CASR,6.270642300541161,2.5034482785983085,-60.07668499314243,0.004662004662004662
PTHLH,1.4804559332539766,2.6493192460107013,78.95292838521813,0.23426573426573427
EZH2,2.7647362062880987,4.688789604724444,69.59265748610265,0.002331002331002331
EED,4.229658237278972,4.637620881031909,9.645286235121151,0.18065268065268064
SUZ12,6.09020045248126,6.432716145752008,5.624046300991633,0.5337995337995338
BMI1,1.30406685743576,1.08780297884249,-16.583802997533294,0.2948717948717949
DNMT3A,5.426394669406689,5.566466444276998,2.5813045936377543,0.7307692307692307
DNMT3B,3.2866199731202825,4.668270698811452,42.03865177571609,0.008158508158508158
