,OLIG2,SOX10,MBP,MOG,PLP1,PDGFRA,SOX2,EGFR,NES,CDX2,SPI1,KLF4,IRF8,OLIG1,GFAP,MKI67
MGH101-P1-F09,0.0,0.0,0.0,0.8456153047777365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1375386352812313,0.0,0.0,0.0
MGH101-P1-F10,0.0,0.0,0.0,0.5073219135534419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8443092773124103,1.7823927268183029,0.0,0.0,0.0
MGH101-P1-F11,0.0,0.0,0.0,0.4978865818249382,0.0,0.0,0.0,0.0,0.0,0.0,1.554977613310868,0.0,1.9610150321607327,0.0,0.0,0.0
MGH101-P1-G02,0.0,0.0,0.0,0.659369399635223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000858456339838,0.0,0.0,0.0
MGH101-P1-G03,0.0,0.0,0.0,0.7090701560276564,0.0,0.0,0.0,0.0,0.0,0.0,1.443807967114568,0.0,2.217717824561468,0.0,0.0,0.0
MGH101-P1-G10,0.0,0.0,1.7672607441642039,0.4213802383976546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4966043457473062,0.0,0.0,0.0
MGH101-P1-G11,0.0,0.0,0.0,0.4426306638154233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1584190593061687,0.0,0.0,0.0
MGH101-P1-G12,0.0,0.0,0.0,0.6166968711003241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.822785377818543,0.0,0.0,0.0
MGH101-P1-H04,0.0,0.0,0.0,0.46116718824197883,0.0,0.0,0.0,0.0,0.0,0.0,0.5542940717748811,0.0,1.2842939030919667,0.0,0.0,0.0
MGH101-P1-H10,0.0,0.0,0.0,0.5493068751041592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05635204252300283,0.0,0.0,0.0,0.0
MGH101-P1-H12,0.0,0.0,0.0,0.24481869792844882,0.0,0.021252289175965264,0.0,0.0,0.0,0.0,0.0,0.0,0.051088372836145125,0.0,0.0,0.0
MGH100-P5-A01,1.5420654376365441,0.0,0.0,0.420061887652355,0.0,1.1736851471279894,1.4749282758044775,1.605985050678743,0.1447488199689923,0.0,0.0,0.34228983205538216,0.0,1.8049866149265026,2.4303792535293747,0.0
