predictor,hr,ci_lo,ci_hi,p,c_index,n,verdict,events
S2_depth,49.33020470368639,10.176170346206687,239.13407630943522,1.293803915793345e-06,0.60304715924993,532,,
S5_depth,8.132817759807388,1.8596861881011517,35.56660534311654,0.00536804730203319,0.5556255247691015,532,,
panel_depth,10.888881771241431,1.9010954770170345,62.368117572987885,0.007331365315104241,0.5520570948782536,532,,
TI_neg_continuous,6.938527016609007,3.6235225956411496,13.28628589707872,5.0908912466292315e-09,0.6265568150013994,532,CONFIRMED ✓,175.0
