analysis,logrank_p,n_t1,n_t2,med_t1,med_t2,verdict,hr,p,c,c_index,n,events
Type1_vs_Type2,0.001778006224397562,92.0,142.0,infd,infd,CONFIRMED ✓,,,,,,
FA1_TI_Type1,0.047031594188204184,,,,,CONFIRMED ✓,0.0014565799998571933,0.008906960079398321,0.10695187165775401,,,
FA2_TI_Type2,0.38515627064431235,,,,,NOT CONFIRMED ✗,1.0768919543246112,0.8745254976927697,0.4834467120181406,,,
gene_CDK4_Type2,,,,,,,1.7395470833473214,0.05413996723698998,,0.5804988662131519,142.0,31.0
gene_MKI67_Type2,,,,,,,3.402581796866068,9.811761761348512e-10,,0.83718820861678,142.0,31.0
gene_EZH2_Type2,,,,,,,1.848776313728618,0.006631734216746722,,0.6408163265306123,142.0,31.0
gene_RUNX1_Type2,,,,,,,1.1931995883627715,0.05567209439100317,,0.6163265306122448,142.0,31.0
gene_FH_Type2,,,,,,,0.7649671706641239,0.22999121648281767,,0.40861678004535146,142.0,31.0
gene_OGDHL_Type2,,,,,,,0.9204594083018488,0.15555158699572746,,0.29342403628117913,142.0,31.0
