,depth_s2
GSM661762,0.09067830297718338
GSM661763,0.31959023417279675
GSM661764,0.11916299801021706
GSM661765,0.06310751676718118
GSM661766,0.08575561498388046
GSM661767,0.2145579009864876
GSM661768,0.09118595365991092
GSM661769,0.295188509275929
GSM661770,0.1461875112834263
GSM661771,0.1735315350669407
GSM661772,0.41607740483321337
GSM661773,0.14629923030778896
GSM661774,0.1299685150611592
GSM661775,0.28842200996639794
GSM661776,0.26759632626991
GSM661777,0.2784501783265404
GSM661778,0.553482197820161
GSM661779,0.23745094068362735
GSM661780,0.6549115721074416
